alpha,beta,mach,Cl_q [1/rad]
-0.026179938779914945,-0.008726646259971648,0.2,-0.335
-0.026179938779914945,0.0,0.2,0.0
-0.026179938779914945,0.008726646259971648,0.2,0.335
-0.026179938779914945,0.017453292519943295,0.2,0.1562
-0.026179938779914945,0.026179938779914945,0.2,-0.0
-0.026179938779914945,0.03490658503988659,0.2,-0.1134
-0.017453292519943295,-0.03490658503988659,0.2,0.2908
-0.017453292519943295,-0.026179938779914945,0.2,0.1562
-0.017453292519943295,-0.017453292519943295,0.2,-0.0
-0.017453292519943295,-0.008726646259971648,0.2,-0.2359
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.008726646259971648,0.2,0.2358
-0.017453292519943295,0.017453292519943295,0.2,-0.0
-0.017453292519943295,0.026179938779914945,0.2,-0.1562
-0.017453292519943295,0.03490658503988659,0.2,-0.2908
-0.008726646259971648,-0.03490658503988659,0.2,0.3737
-0.008726646259971648,-0.026179938779914945,0.2,0.335
-0.008726646259971648,-0.017453292519943295,0.2,0.2359
-0.008726646259971648,-0.008726646259971648,0.2,-0.0
-0.008726646259971648,0.0,0.2,-0.0
-0.008726646259971648,0.008726646259971648,0.2,-0.0
-0.008726646259971648,0.017453292519943295,0.2,-0.2358
-0.008726646259971648,0.026179938779914945,0.2,-0.335
-0.008726646259971648,0.03490658503988659,0.2,-0.3737
0.0,-0.03490658503988659,0.2,0.0
0.0,-0.026179938779914945,0.2,0.0
0.0,-0.017453292519943295,0.2,0.0
0.0,-0.008726646259971648,0.2,0.0
0.0,0.0,0.2,-0.0
0.0,0.008726646259971648,0.2,0.0
0.0,0.017453292519943295,0.2,0.0
0.0,0.026179938779914945,0.2,0.0
0.0,0.03490658503988659,0.2,-0.0
0.008726646259971648,-0.03490658503988659,0.2,-0.3737
0.008726646259971648,-0.026179938779914945,0.2,-0.335
0.008726646259971648,-0.017453292519943295,0.2,-0.2359
0.008726646259971648,-0.008726646259971648,0.2,0.0
0.008726646259971648,0.0,0.2,0.0
0.008726646259971648,0.008726646259971648,0.2,-0.0
0.008726646259971648,0.017453292519943295,0.2,0.2358
0.008726646259971648,0.026179938779914945,0.2,0.335
0.008726646259971648,0.03490658503988659,0.2,0.3737
0.017453292519943295,-0.03490658503988659,0.2,-0.2908
0.017453292519943295,-0.026179938779914945,0.2,-0.1562
0.017453292519943295,-0.017453292519943295,0.2,-0.0
0.017453292519943295,-0.008726646259971648,0.2,0.2359
0.017453292519943295,0.0,0.2,0.0
0.017453292519943295,0.008726646259971648,0.2,-0.2358
0.017453292519943295,0.017453292519943295,0.2,-0.0
0.017453292519943295,0.026179938779914945,0.2,0.1562
