alpha,beta,mach,Cmp [1/rad]
-0.03490658503988659,-0.008726646259971648,0.3,6.8341
-0.03490658503988659,0.0,0.3,7.1589
-0.03490658503988659,0.008726646259971648,0.3,6.8386
-0.03490658503988659,0.017453292519943295,0.3,5.9907
-0.03490658503988659,0.026179938779914945,0.3,4.7963
-0.03490658503988659,0.03490658503988659,0.3,3.4355
-0.026179938779914945,-0.03490658503988659,0.3,2.5277
-0.026179938779914945,-0.026179938779914945,0.3,3.8207
-0.026179938779914945,-0.017453292519943295,0.3,4.9645
-0.026179938779914945,-0.008726646259971648,0.3,5.7476
-0.026179938779914945,0.0,0.3,6.0196
-0.026179938779914945,0.008726646259971648,0.3,5.7509
-0.026179938779914945,0.017453292519943295,0.3,4.9688
-0.026179938779914945,0.026179938779914945,0.3,3.8208
-0.026179938779914945,0.03490658503988659,0.3,2.5159
-0.017453292519943295,-0.03490658503988659,0.3,1.668
-0.017453292519943295,-0.026179938779914945,0.3,2.6949
-0.017453292519943295,-0.017453292519943295,0.3,3.5808
-0.017453292519943295,-0.008726646259971648,0.3,4.1505
-0.017453292519943295,0.0,0.3,4.3427
-0.017453292519943295,0.008726646259971648,0.3,4.1522
-0.017453292519943295,0.017453292519943295,0.3,3.5808
-0.017453292519943295,0.026179938779914945,0.3,2.687
-0.017453292519943295,0.03490658503988659,0.3,1.6445
-0.008726646259971648,-0.03490658503988659,0.3,0.8384
-0.008726646259971648,-0.026179938779914945,0.3,1.4188
-0.008726646259971648,-0.017453292519943295,0.3,1.8737
-0.008726646259971648,-0.008726646259971648,0.3,2.1725
-0.008726646259971648,0.0,0.3,2.2823
-0.008726646259971648,0.008726646259971648,0.3,2.1724
-0.008726646259971648,0.017453292519943295,0.3,1.8698
-0.008726646259971648,0.026179938779914945,0.3,1.4047
-0.008726646259971648,0.03490658503988659,0.3,0.8066
0.0,-0.03490658503988659,0.3,0.0174
0.0,-0.026179938779914945,0.3,0.0082
0.0,-0.017453292519943295,0.3,0.0027
0.0,-0.008726646259971648,0.3,0.0004
0.0,0.0,0.3,0.0
0.0,0.008726646259971648,0.3,-0.0004
0.0,0.017453292519943295,0.3,-0.0027
0.0,0.026179938779914945,0.3,-0.0082
0.0,0.03490658503988659,0.3,-0.0174
0.008726646259971648,-0.03490658503988659,0.3,-0.8066
0.008726646259971648,-0.026179938779914945,0.3,-1.4047
0.008726646259971648,-0.017453292519943295,0.3,-1.8698
0.008726646259971648,-0.008726646259971648,0.3,-2.1724
0.008726646259971648,0.0,0.3,-2.2823
0.008726646259971648,0.008726646259971648,0.3,-2.1724
0.008726646259971648,0.017453292519943295,0.3,-1.8736
0.008726646259971648,0.026179938779914945,0.3,-1.4188
0.008726646259971648,0.03490658503988659,0.3,-0.8384
0.017453292519943295,-0.03490658503988659,0.3,-1.6445
0.017453292519943295,-0.026179938779914945,0.3,-2.687
0.017453292519943295,-0.017453292519943295,0.3,-3.5808
0.017453292519943295,-0.008726646259971648,0.3,-4.1521
0.017453292519943295,0.0,0.3,-4.3427
0.017453292519943295,0.008726646259971648,0.3,-4.1505
0.017453292519943295,0.017453292519943295,0.3,-3.5808
0.017453292519943295,0.026179938779914945,0.3,-2.6949
0.017453292519943295,0.03490658503988659,0.3,-1.668
0.026179938779914945,-0.03490658503988659,0.3,-2.5159
0.026179938779914945,-0.026179938779914945,0.3,-3.8207
0.026179938779914945,-0.017453292519943295,0.3,-4.9688
0.026179938779914945,-0.008726646259971648,0.3,-5.7509
0.026179938779914945,0.0,0.3,-6.0196
0.026179938779914945,0.008726646259971648,0.3,-5.7476
0.026179938779914945,0.017453292519943295,0.3,-4.9645
0.026179938779914945,0.026179938779914945,0.3,-3.8207
0.026179938779914945,0.03490658503988659,0.3,-2.5276
0.03490658503988659,-0.03490658503988659,0.3,-3.4354
0.03490658503988659,-0.026179938779914945,0.3,-4.7963
0.03490658503988659,-0.017453292519943295,0.3,-5.9906
0.03490658503988659,-0.008726646259971648,0.3,-6.8386
0.03490658503988659,0.0,0.3,-7.1589
0.03490658503988659,0.008726646259971648,0.3,-6.8341
0.03490658503988659,0.017453292519943295,0.3,-5.9833
0.03490658503988659,0.026179938779914945,0.3,-4.7896
0.03490658503988659,0.03490658503988659,0.3,-3.4355
-0.03490658503988659,-0.03490658503988659,0.4,3.4107
-0.03490658503988659,-0.026179938779914945,0.4,4.7571
-0.03490658503988659,-0.017453292519943295,0.4,5.9442
-0.03490658503988659,-0.008726646259971648,0.4,6.7905
-0.03490658503988659,0.0,0.4,7.1136
-0.03490658503988659,0.008726646259971648,0.4,6.7949
-0.03490658503988659,0.017453292519943295,0.4,5.9515
-0.03490658503988659,0.026179938779914945,0.4,4.7636
-0.03490658503988659,0.03490658503988659,0.4,3.4107
-0.026179938779914945,-0.03490658503988659,0.4,2.5074
-0.026179938779914945,-0.026179938779914945,0.4,3.794
-0.026179938779914945,-0.017453292519943295,0.4,4.9327
-0.026179938779914945,-0.008726646259971648,0.4,5.7125
-0.026179938779914945,0.0,0.4,5.9834
-0.026179938779914945,0.008726646259971648,0.4,5.7158
-0.026179938779914945,0.017453292519943295,0.4,4.9369
-0.026179938779914945,0.026179938779914945,0.4,3.794
-0.026179938779914945,0.03490658503988659,0.4,2.4957
-0.017453292519943295,-0.03490658503988659,0.4,1.6535
-0.017453292519943295,-0.026179938779914945,0.4,2.6755
-0.017453292519943295,-0.017453292519943295,0.4,3.5582
-0.017453292519943295,-0.008726646259971648,0.4,4.1262
-0.017453292519943295,0.0,0.4,4.3178
-0.017453292519943295,0.008726646259971648,0.4,4.1278
-0.017453292519943295,0.017453292519943295,0.4,3.5582
-0.017453292519943295,0.026179938779914945,0.4,2.6676
-0.017453292519943295,0.03490658503988659,0.4,1.6303
-0.008726646259971648,-0.03490658503988659,0.4,0.8308
-0.008726646259971648,-0.026179938779914945,0.4,1.4084
-0.008726646259971648,-0.017453292519943295,0.4,1.8618
-0.008726646259971648,-0.008726646259971648,0.4,2.16
-0.008726646259971648,0.0,0.4,2.2699
-0.008726646259971648,0.008726646259971648,0.4,2.16
-0.008726646259971648,0.017453292519943295,0.4,1.858
-0.008726646259971648,0.026179938779914945,0.4,1.3945
-0.008726646259971648,0.03490658503988659,0.4,0.7992
0.0,-0.03490658503988659,0.4,0.0173
0.0,-0.026179938779914945,0.4,0.0081
0.0,-0.017453292519943295,0.4,0.0027
0.0,-0.008726646259971648,0.4,0.0004
0.0,0.0,0.4,0.0
0.0,0.008726646259971648,0.4,-0.0004
0.0,0.017453292519943295,0.4,-0.0027
0.0,0.026179938779914945,0.4,-0.0081
0.0,0.03490658503988659,0.4,-0.0173
0.008726646259971648,-0.03490658503988659,0.4,-0.7992
0.008726646259971648,-0.026179938779914945,0.4,-1.3945
0.008726646259971648,-0.017453292519943295,0.4,-1.858
0.008726646259971648,-0.008726646259971648,0.4,-2.16
0.008726646259971648,0.0,0.4,-2.2698
0.008726646259971648,0.008726646259971648,0.4,-2.16
0.008726646259971648,0.017453292519943295,0.4,-1.8618
0.008726646259971648,0.026179938779914945,0.4,-1.4084
0.008726646259971648,0.03490658503988659,0.4,-0.8308
0.017453292519943295,-0.03490658503988659,0.4,-1.6302
0.017453292519943295,-0.026179938779914945,0.4,-2.6676
0.017453292519943295,-0.017453292519943295,0.4,-3.5582
0.017453292519943295,-0.008726646259971648,0.4,-4.1278
0.017453292519943295,0.0,0.4,-4.3178
0.017453292519943295,0.008726646259971648,0.4,-4.1262
0.017453292519943295,0.017453292519943295,0.4,-3.5582
0.017453292519943295,0.026179938779914945,0.4,-2.6755
0.017453292519943295,0.03490658503988659,0.4,-1.6535
0.026179938779914945,-0.03490658503988659,0.4,-2.4957
0.026179938779914945,-0.026179938779914945,0.4,-3.794
0.026179938779914945,-0.017453292519943295,0.4,-4.9369
0.026179938779914945,-0.008726646259971648,0.4,-5.7158
0.026179938779914945,0.0,0.4,-5.9834
0.026179938779914945,0.008726646259971648,0.4,-5.7125
0.026179938779914945,0.017453292519943295,0.4,-4.9327
0.026179938779914945,0.026179938779914945,0.4,-3.794
0.026179938779914945,0.03490658503988659,0.4,-2.5074
0.03490658503988659,-0.03490658503988659,0.4,-3.4107
0.03490658503988659,-0.026179938779914945,0.4,-4.7636
0.03490658503988659,-0.017453292519943295,0.4,-5.9515
0.03490658503988659,-0.008726646259971648,0.4,-6.795
0.03490658503988659,0.0,0.4,-7.1136
0.03490658503988659,0.008726646259971648,0.4,-6.7905
0.03490658503988659,0.017453292519943295,0.4,-5.9442
0.03490658503988659,0.026179938779914945,0.4,-4.7571
0.03490658503988659,0.03490658503988659,0.4,-3.4107
-0.03490658503988659,-0.03490658503988659,0.5,3.3938
-0.03490658503988659,-0.026179938779914945,0.5,4.7352
-0.03490658503988659,-0.017453292519943295,0.5,5.9182
-0.03490658503988659,-0.008726646259971648,0.5,6.7617
-0.03490658503988659,0.0,0.5,7.0837
-0.03490658503988659,0.008726646259971648,0.5,6.7661
-0.03490658503988659,0.017453292519943295,0.5,5.9255
-0.03490658503988659,0.026179938779914945,0.5,4.7418
-0.03490658503988659,0.03490658503988659,0.5,3.3938
-0.026179938779914945,-0.03490658503988659,0.5,2.4931
-0.026179938779914945,-0.026179938779914945,0.5,3.7759
-0.026179938779914945,-0.017453292519943295,0.5,4.9117
-0.026179938779914945,-0.008726646259971648,0.5,5.6896
-0.026179938779914945,0.0,0.5,5.96
-0.026179938779914945,0.008726646259971648,0.5,5.6929
-0.026179938779914945,0.017453292519943295,0.5,4.9159
-0.026179938779914945,0.026179938779914945,0.5,3.7758
-0.026179938779914945,0.03490658503988659,0.5,2.4816
-0.017453292519943295,-0.03490658503988659,0.5,1.6432
