alpha,beta,mach,Cl_p [1/rad]
-0.03490658503988659,0.0,0.2,-28.9813
-0.03490658503988659,0.008726646259971648,0.2,-29.017
-0.03490658503988659,0.017453292519943295,0.2,-29.1243
-0.03490658503988659,0.026179938779914945,0.2,-29.2984
-0.03490658503988659,0.03490658503988659,0.2,-29.55
-0.026179938779914945,-0.03490658503988659,0.2,-29.2984
-0.026179938779914945,-0.026179938779914945,0.2,-28.9483
-0.026179938779914945,-0.017453292519943295,0.2,-28.6991
-0.026179938779914945,-0.008726646259971648,0.2,-28.5523
-0.026179938779914945,0.0,0.2,-28.5004
-0.026179938779914945,0.008726646259971648,0.2,-28.5516
-0.026179938779914945,0.017453292519943295,0.2,-28.6982
-0.026179938779914945,0.026179938779914945,0.2,-28.9483
-0.026179938779914945,0.03490658503988659,0.2,-29.2998
-0.017453292519943295,-0.03490658503988659,0.2,-29.1243
-0.017453292519943295,-0.026179938779914945,0.2,-28.6982
-0.017453292519943295,-0.017453292519943295,0.2,-28.3738
-0.017453292519943295,-0.008726646259971648,0.2,-28.1795
-0.017453292519943295,0.0,0.2,-28.1203
-0.017453292519943295,0.008726646259971648,0.2,-28.1792
-0.017453292519943295,0.017453292519943295,0.2,-28.3738
-0.017453292519943295,0.026179938779914945,0.2,-28.6991
-0.017453292519943295,0.03490658503988659,0.2,-29.1263
-0.008726646259971648,-0.03490658503988659,0.2,-29.017
-0.008726646259971648,-0.026179938779914945,0.2,-28.5516
-0.008726646259971648,-0.017453292519943295,0.2,-28.1792
-0.008726646259971648,-0.008726646259971648,0.2,-27.9411
-0.008726646259971648,0.0,0.2,-27.8569
-0.008726646259971648,0.008726646259971648,0.2,-27.9411
-0.008726646259971648,0.017453292519943295,0.2,-28.1795
-0.008726646259971648,0.026179938779914945,0.2,-28.5523
-0.008726646259971648,0.03490658503988659,0.2,-29.0185
0.0,-0.03490658503988659,0.2,-28.9813
0.0,-0.026179938779914945,0.2,-28.5004
0.0,-0.017453292519943295,0.2,-28.1203
0.0,-0.008726646259971648,0.2,-27.8569
0.0,0.0,0.2,-27.7615
0.0,0.008726646259971648,0.2,-27.8569
0.0,0.017453292519943295,0.2,-28.1203
0.0,0.026179938779914945,0.2,-28.5004
0.0,0.03490658503988659,0.2,-28.9813
0.008726646259971648,-0.03490658503988659,0.2,-29.0185
0.008726646259971648,-0.026179938779914945,0.2,-28.5523
0.008726646259971648,-0.017453292519943295,0.2,-28.1795
0.008726646259971648,-0.008726646259971648,0.2,-27.9411
0.008726646259971648,0.0,0.2,-27.8569
0.008726646259971648,0.008726646259971648,0.2,-27.9411
0.008726646259971648,0.017453292519943295,0.2,-28.1792
0.008726646259971648,0.026179938779914945,0.2,-28.5516
0.008726646259971648,0.03490658503988659,0.2,-29.017
