alpha,beta,mach,Cmq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,716.5935
-0.03490658503988659,-0.026179938779914945,0.01,800.5317
-0.03490658503988659,-0.017453292519943295,0.01,900.9376
-0.03490658503988659,-0.008726646259971648,0.01,996.8849
-0.03490658503988659,0.0,0.01,-1031.0885
-0.03490658503988659,0.008726646259971648,0.01,996.8852
-0.03490658503988659,0.017453292519943295,0.01,900.9373
-0.03490658503988659,0.026179938779914945,0.01,800.5315
-0.03490658503988659,0.03490658503988659,0.01,716.5934
-0.026179938779914945,-0.03490658503988659,0.01,623.6423
-0.026179938779914945,-0.026179938779914945,0.01,719.8535
-0.026179938779914945,-0.017453292519943295,0.01,833.0062
-0.026179938779914945,-0.008726646259971648,0.01,962.7808
-0.026179938779914945,0.0,0.01,-1043.9288
-0.026179938779914945,0.008726646259971648,0.01,962.7808
-0.026179938779914945,0.017453292519943295,0.01,833.006
-0.026179938779914945,0.026179938779914945,0.01,719.8533
-0.026179938779914945,0.03490658503988659,0.01,623.6422
-0.017453292519943295,-0.03490658503988659,0.01,469.9526
-0.017453292519943295,-0.026179938779914945,0.01,581.4598
-0.017453292519943295,-0.017453292519943295,0.01,720.0032
-0.017453292519943295,-0.008726646259971648,0.01,894.6606
-0.017453292519943295,0.0,0.01,-1057.8596
-0.017453292519943295,0.008726646259971648,0.01,894.6602
-0.017453292519943295,0.017453292519943295,0.01,720.0031
-0.017453292519943295,0.026179938779914945,0.01,581.4596
-0.017453292519943295,0.03490658503988659,0.01,469.9526
-0.008726646259971648,-0.03490658503988659,0.01,242.6306
-0.008726646259971648,-0.026179938779914945,0.01,327.4347
-0.008726646259971648,-0.017453292519943295,0.01,470.1843
-0.008726646259971648,-0.008726646259971648,0.01,716.8221
-0.008726646259971648,0.0,0.01,-1072.6655
-0.008726646259971648,0.008726646259971648,0.01,716.8221
-0.008726646259971648,0.017453292519943295,0.01,470.1841
-0.008726646259971648,0.026179938779914945,0.01,327.4347
-0.008726646259971648,0.03490658503988659,0.01,242.6305
0.0,-0.03490658503988659,0.01,-43.3136
0.0,-0.026179938779914945,0.01,-43.3658
0.0,-0.017453292519943295,0.01,-43.4191
0.0,-0.008726646259971648,0.01,-43.4691
0.0,0.0,0.01,-1087.8654
0.0,0.008726646259971648,0.01,-43.4691
0.0,0.017453292519943295,0.01,-43.4191
0.0,0.026179938779914945,0.01,-43.3658
0.0,0.03490658503988659,0.01,-43.3136
0.008726646259971648,-0.03490658503988659,0.01,-329.2578
0.008726646259971648,-0.026179938779914945,0.01,-414.1663
0.008726646259971648,-0.017453292519943295,0.01,-557.0222
0.008726646259971648,-0.008726646259971648,0.01,-803.7603
0.008726646259971648,0.0,0.01,-1101.8458
0.008726646259971648,0.008726646259971648,0.01,-803.7603
0.008726646259971648,0.017453292519943295,0.01,-557.0222
0.008726646259971648,0.026179938779914945,0.01,-414.1661
0.008726646259971648,0.03490658503988659,0.01,-329.258
0.017453292519943295,-0.03490658503988659,0.01,-556.5799
0.017453292519943295,-0.026179938779914945,0.01,-668.1912
0.017453292519943295,-0.017453292519943295,0.01,-806.8412
0.017453292519943295,-0.008726646259971648,0.01,-981.5984
0.017453292519943295,0.0,0.01,-1114.7209
0.017453292519943295,0.008726646259971648,0.01,-981.5987
0.017453292519943295,0.017453292519943295,0.01,-806.8412
0.017453292519943295,0.026179938779914945,0.01,-668.1913
0.017453292519943295,0.03490658503988659,0.01,-556.58
0.026179938779914945,-0.03490658503988659,0.01,-710.2695
0.026179938779914945,-0.026179938779914945,0.01,-806.5848
0.026179938779914945,-0.017453292519943295,0.01,-919.8441
0.026179938779914945,-0.008726646259971648,0.01,-1049.7189
0.026179938779914945,0.0,0.01,-1126.0072
0.026179938779914945,0.008726646259971648,0.01,-1049.7191
0.026179938779914945,0.017453292519943295,0.01,-919.8441
0.026179938779914945,0.026179938779914945,0.01,-806.5848
0.026179938779914945,0.03490658503988659,0.01,-710.2693
0.03490658503988659,-0.03490658503988659,0.01,-803.2208
0.03490658503988659,-0.026179938779914945,0.01,-887.2632
0.03490658503988659,-0.017453292519943295,0.01,-987.7753
0.03490658503988659,-0.008726646259971648,0.01,-1083.8231
0.03490658503988659,0.0,0.01,-1135.1521
0.03490658503988659,0.008726646259971648,0.01,-1083.8234
0.03490658503988659,0.017453292519943295,0.01,-987.7753
0.03490658503988659,0.026179938779914945,0.01,-887.2632
0.03490658503988659,0.03490658503988659,0.01,-803.2207
-0.03490658503988659,-0.03490658503988659,0.1,715.687
-0.03490658503988659,-0.026179938779914945,0.1,799.7827
-0.03490658503988659,-0.017453292519943295,0.1,900.3975
-0.03490658503988659,-0.008726646259971648,0.1,996.6102
-0.03490658503988659,0.0,0.1,-1032.3547
-0.03490658503988659,0.008726646259971648,0.1,996.6101
-0.03490658503988659,0.017453292519943295,0.1,900.3974
-0.03490658503988659,0.026179938779914945,0.1,799.7826
-0.03490658503988659,0.03490658503988659,0.1,715.6869
-0.026179938779914945,-0.03490658503988659,0.1,622.7198
-0.026179938779914945,-0.026179938779914945,0.1,719.0571
-0.026179938779914945,-0.017453292519943295,0.1,832.413
-0.026179938779914945,-0.008726646259971648,0.1,962.4777
-0.026179938779914945,0.0,0.1,-1045.1953
-0.026179938779914945,0.008726646259971648,0.1,962.4777
-0.026179938779914945,0.017453292519943295,0.1,832.413
-0.026179938779914945,0.026179938779914945,0.1,719.0569
-0.026179938779914945,0.03490658503988659,0.1,622.7199
-0.017453292519943295,-0.03490658503988659,0.1,469.0586
-0.017453292519943295,-0.026179938779914945,0.1,580.631
-0.017453292519943295,-0.017453292519943295,0.1,719.3183
-0.017453292519943295,-0.008726646259971648,0.1,894.2855
-0.017453292519943295,0.0,0.1,-1059.1116
-0.017453292519943295,0.008726646259971648,0.1,894.2853
-0.017453292519943295,0.017453292519943295,0.1,719.3182
-0.017453292519943295,0.026179938779914945,0.1,580.6309
-0.017453292519943295,0.03490658503988659,0.1,469.0585
-0.008726646259971648,-0.03490658503988659,0.1,241.8319
-0.008726646259971648,-0.026179938779914945,0.1,326.6678
-0.008726646259971648,-0.017453292519943295,0.1,469.4468
-0.008726646259971648,-0.008726646259971648,0.1,716.2477
-0.008726646259971648,0.0,0.1,-1073.8767
-0.008726646259971648,0.008726646259971648,0.1,716.2477
-0.008726646259971648,0.017453292519943295,0.1,469.4467
-0.008726646259971648,0.026179938779914945,0.1,326.6678
-0.008726646259971648,0.03490658503988659,0.1,241.8318
0.0,-0.03490658503988659,0.1,-43.8108
0.0,-0.026179938779914945,0.1,-43.8638
0.0,-0.017453292519943295,0.1,-43.9179
0.0,-0.008726646259971648,0.1,-43.9686
0.0,0.0,0.1,-1089.0033
0.0,0.008726646259971648,0.1,-43.9687
0.0,0.017453292519943295,0.1,-43.9179
0.0,0.026179938779914945,0.1,-43.8638
0.0,0.03490658503988659,0.1,-43.811
0.008726646259971648,-0.03490658503988659,0.1,-329.4536
0.008726646259971648,-0.026179938779914945,0.1,-414.3955
0.008726646259971648,-0.017453292519943295,0.1,-557.2826
0.008726646259971648,-0.008726646259971648,0.1,-804.1851
0.008726646259971648,0.0,0.1,-1102.8892
0.008726646259971648,0.008726646259971648,0.1,-804.1851
0.008726646259971648,0.017453292519943295,0.1,-557.2825
0.008726646259971648,0.026179938779914945,0.1,-414.3955
0.008726646259971648,0.03490658503988659,0.1,-329.4536
0.017453292519943295,-0.03490658503988659,0.1,-556.6805
0.017453292519943295,-0.026179938779914945,0.1,-668.3586
0.017453292519943295,-0.017453292519943295,0.1,-807.1539
0.017453292519943295,-0.008726646259971648,0.1,-982.2227
0.017453292519943295,0.0,0.1,-1115.6604
0.017453292519943295,0.008726646259971648,0.1,-982.2229
0.017453292519943295,0.017453292519943295,0.1,-807.1539
0.017453292519943295,0.026179938779914945,0.1,-668.3588
0.017453292519943295,0.03490658503988659,0.1,-556.6804
0.026179938779914945,-0.03490658503988659,0.1,-710.3416
0.026179938779914945,-0.026179938779914945,0.1,-806.7845
0.026179938779914945,-0.017453292519943295,0.1,-920.2488
0.026179938779914945,-0.008726646259971648,0.1,-1050.4149
0.026179938779914945,0.0,0.1,-1126.8457
0.026179938779914945,0.008726646259971648,0.1,-1050.4149
0.026179938779914945,0.017453292519943295,0.1,-920.2487
0.026179938779914945,0.026179938779914945,0.1,-806.7845
0.026179938779914945,0.03490658503988659,0.1,-710.3416
0.03490658503988659,-0.03490658503988659,0.1,-803.3087
0.03490658503988659,-0.026179938779914945,0.1,-887.5102
0.03490658503988659,-0.017453292519943295,0.1,-988.2332
0.03490658503988659,-0.008726646259971648,0.1,-1084.5472
0.03490658503988659,0.0,0.1,-1135.9023
0.03490658503988659,0.008726646259971648,0.1,-1084.5475
0.03490658503988659,0.017453292519943295,0.1,-988.2332
0.03490658503988659,0.026179938779914945,0.1,-887.5102
0.03490658503988659,0.03490658503988659,0.1,-803.3087
-0.03490658503988659,-0.03490658503988659,0.2,713.2625
-0.03490658503988659,-0.026179938779914945,0.2,797.7939
-0.03490658503988659,-0.017453292519943295,0.2,898.9832
-0.03490658503988659,-0.008726646259971648,0.2,995.9741
-0.03490658503988659,0.0,0.2,-1035.9449
-0.03490658503988659,0.008726646259971648,0.2,995.9741
-0.03490658503988659,0.017453292519943295,0.2,898.9832
-0.03490658503988659,0.026179938779914945,0.2,797.7937
-0.03490658503988659,0.03490658503988659,0.2,713.2623
-0.026179938779914945,-0.03490658503988659,0.2,620.2598
-0.026179938779914945,-0.026179938779914945,0.2,716.9418
-0.026179938779914945,-0.017453292519943295,0.2,830.8567
-0.026179938779914945,-0.008726646259971648,0.2,961.7556
-0.026179938779914945,0.0,0.2,-1048.7936
-0.026179938779914945,0.008726646259971648,0.2,961.7556
-0.026179938779914945,0.017453292519943295,0.2,830.8565
-0.026179938779914945,0.026179938779914945,0.2,716.9417
-0.026179938779914945,0.03490658503988659,0.2,620.2599
-0.017453292519943295,-0.03490658503988659,0.2,466.6933
-0.017453292519943295,-0.026179938779914945,0.2,578.4366
-0.017453292519943295,-0.017453292519943295,0.2,717.5145
-0.017453292519943295,-0.008726646259971648,0.2,893.3585
-0.017453292519943295,0.0,0.2,-1062.6666
-0.017453292519943295,0.008726646259971648,0.2,893.3583
-0.017453292519943295,0.017453292519943295,0.2,717.5144
-0.017453292519943295,0.026179938779914945,0.2,578.4366
-0.017453292519943295,0.03490658503988659,0.2,466.6932
-0.008726646259971648,-0.03490658503988659,0.2,239.7992
-0.008726646259971648,-0.026179938779914945,0.2,324.7176
-0.008726646259971648,-0.017453292519943295,0.2,467.5444
-0.008726646259971648,-0.008726646259971648,0.2,714.7659
-0.008726646259971648,0.0,0.2,-1077.2969
-0.008726646259971648,0.008726646259971648,0.2,714.7657
-0.008726646259971648,0.017453292519943295,0.2,467.5442
-0.008726646259971648,0.026179938779914945,0.2,324.7177
-0.008726646259971648,0.03490658503988659,0.2,239.7991
0.0,-0.03490658503988659,0.2,-45.3383
0.0,-0.026179938779914945,0.2,-45.3933
0.0,-0.017453292519943295,0.2,-45.4495
0.0,-0.008726646259971648,0.2,-45.5021
0.0,0.0,0.2,-1092.1758
0.0,0.008726646259971648,0.2,-45.5022
0.0,0.017453292519943295,0.2,-45.4495
0.0,0.026179938779914945,0.2,-45.3933
0.0,0.03490658503988659,0.2,-45.3383
0.008726646259971648,-0.03490658503988659,0.2,-330.4757
0.008726646259971648,-0.026179938779914945,0.2,-415.5042
0.008726646259971648,-0.017453292519943295,0.2,-558.4433
0.008726646259971648,-0.008726646259971648,0.2,-805.77
0.008726646259971648,0.0,0.2,-1105.7523
0.008726646259971648,0.008726646259971648,0.2,-805.77
0.008726646259971648,0.017453292519943295,0.2,-558.4433
0.008726646259971648,0.026179938779914945,0.2,-415.5043
0.008726646259971648,0.03490658503988659,0.2,-330.4758
0.017453292519943295,-0.03490658503988659,0.2,-557.3699
0.017453292519943295,-0.026179938779914945,0.2,-669.2231
0.017453292519943295,-0.017453292519943295,0.2,-808.4134
0.017453292519943295,-0.008726646259971648,0.2,-984.3627
0.017453292519943295,0.0,0.2,-1118.2114
0.017453292519943295,0.008726646259971648,0.2,-984.3629
0.017453292519943295,0.017453292519943295,0.2,-808.4134
0.017453292519943295,0.026179938779914945,0.2,-669.2233
0.017453292519943295,0.03490658503988659,0.2,-557.3698
0.026179938779914945,-0.03490658503988659,0.2,-710.9365
0.026179938779914945,-0.026179938779914945,0.2,-807.7283
0.026179938779914945,-0.017453292519943295,0.2,-921.7554
0.026179938779914945,-0.008726646259971648,0.2,-1052.7598
0.026179938779914945,0.0,0.2,-1129.1351
0.026179938779914945,0.008726646259971648,0.2,-1052.76
0.026179938779914945,0.017453292519943295,0.2,-921.7554
0.026179938779914945,0.026179938779914945,0.2,-807.7283
0.026179938779914945,0.03490658503988659,0.2,-710.9365
0.03490658503988659,-0.03490658503988659,0.2,-803.939
0.03490658503988659,-0.026179938779914945,0.2,-888.5804
0.03490658503988659,-0.017453292519943295,0.2,-989.8823
0.03490658503988659,-0.008726646259971648,0.2,-1086.9783
0.03490658503988659,0.0,0.2,-1138.0265
0.03490658503988659,0.008726646259971648,0.2,-1086.9783
0.03490658503988659,0.017453292519943295,0.2,-989.8823
0.03490658503988659,0.026179938779914945,0.2,-888.5804
0.03490658503988659,0.03490658503988659,0.2,-803.939
-0.03490658503988659,-0.03490658503988659,0.3,709.5368
-0.03490658503988659,-0.026179938779914945,0.3,795.0428
-0.03490658503988659,-0.017453292519943295,0.3,897.4742
-0.03490658503988659,-0.008726646259971648,0.3,996.0208
-0.03490658503988659,0.0,0.3,-1043.6609
-0.03490658503988659,0.008726646259971648,0.3,996.0209
