alpha,beta,mach,Cnp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-3.4313
-0.03490658503988659,-0.026179938779914945,0.01,-2.5157
-0.03490658503988659,-0.017453292519943295,0.01,-1.646
-0.03490658503988659,-0.008726646259971648,0.01,-0.8079
-0.03490658503988659,0.0,0.01,0.0175
-0.03490658503988659,0.008726646259971648,0.01,0.84
-0.03490658503988659,0.017453292519943295,0.01,1.6696
-0.03490658503988659,0.026179938779914945,0.01,2.5275
-0.03490658503988659,0.03490658503988659,0.01,3.4313
-0.026179938779914945,-0.03490658503988659,0.01,-4.7917
-0.026179938779914945,-0.026179938779914945,0.01,-3.8193
-0.026179938779914945,-0.017453292519943295,0.01,-2.6879
-0.026179938779914945,-0.008726646259971648,0.01,-1.4058
-0.026179938779914945,0.0,0.01,0.0083
-0.026179938779914945,0.008726646259971648,0.01,1.42
-0.026179938779914945,0.017453292519943295,0.01,2.6958
-0.026179938779914945,0.026179938779914945,0.01,3.8193
-0.026179938779914945,0.03490658503988659,0.01,4.785
-0.017453292519943295,-0.03490658503988659,0.01,-5.9863
-0.017453292519943295,-0.026179938779914945,0.01,-4.9653
-0.017453292519943295,-0.017453292519943295,0.01,-3.579
-0.017453292519943295,-0.008726646259971648,0.01,-1.8693
-0.017453292519943295,0.0,0.01,0.0027
-0.017453292519943295,0.008726646259971648,0.01,1.8732
-0.017453292519943295,0.017453292519943295,0.01,3.579
-0.017453292519943295,0.026179938779914945,0.01,4.9611
-0.017453292519943295,0.03490658503988659,0.01,5.9789
-0.008726646259971648,-0.03490658503988659,0.01,-6.8347
-0.008726646259971648,-0.026179938779914945,0.01,-5.7461
-0.008726646259971648,-0.017453292519943295,0.01,-4.1473
-0.008726646259971648,-0.008726646259971648,0.01,-2.1695
-0.008726646259971648,0.0,0.01,0.0004
-0.008726646259971648,0.008726646259971648,0.01,2.1695
-0.008726646259971648,0.017453292519943295,0.01,4.1456
-0.008726646259971648,0.026179938779914945,0.01,5.7427
-0.008726646259971648,0.03490658503988659,0.01,6.8302
