alpha,beta,mach,CQ0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5874532832809655
-0.03490658503988659,-0.026179938779914945,0.01,0.4386198515080039
-0.03490658503988659,-0.017453292519943295,0.01,0.29137515430616
-0.03490658503988659,-0.008726646259971648,0.01,0.14535535282900178
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.008726646259971648,0.01,-0.14535535282900178
-0.03490658503988659,0.017453292519943295,0.01,-0.29137515430616
-0.03490658503988659,0.026179938779914945,0.01,-0.4386198515080039
-0.03490658503988659,0.03490658503988659,0.01,-0.5874532832809655
-0.026179938779914945,-0.03490658503988659,0.01,0.5778798874638703
-0.026179938779914945,-0.026179938779914945,0.01,0.4303599958475516
-0.026179938779914945,-0.017453292519943295,0.01,0.2851308893897576
-0.026179938779914945,-0.008726646259971648,0.01,0.14193315516235672
-0.026179938779914945,0.0,0.01,0.0
-0.026179938779914945,0.008726646259971648,0.01,-0.14193315516235672
-0.026179938779914945,0.017453292519943295,0.01,-0.2851308893897576
-0.026179938779914945,0.026179938779914945,0.01,-0.4303599958475516
-0.026179938779914945,0.03490658503988659,0.01,-0.5778798874638703
-0.017453292519943295,-0.03490658503988659,0.01,0.5702119497358948
-0.017453292519943295,-0.026179938779914945,0.01,0.42362729487507245
-0.017453292519943295,-0.017453292519943295,0.01,0.2801417752664415
-0.017453292519943295,-0.008726646259971648,0.01,0.13928866178164082
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.008726646259971648,0.01,-0.13928866178164082
-0.017453292519943295,0.017453292519943295,0.01,-0.2801417752664415
-0.017453292519943295,0.026179938779914945,0.01,-0.42362729487507245
-0.017453292519943295,0.03490658503988659,0.01,-0.5702119497358948
-0.008726646259971648,-0.03490658503988659,0.01,0.5650472544506226
-0.008726646259971648,-0.026179938779914945,0.01,0.41922839575861753
-0.008726646259971648,-0.017453292519943295,0.01,0.2769092576392966
-0.008726646259971648,-0.008726646259971648,0.01,0.1374209948686099
-0.008726646259971648,0.0,0.01,0.0
-0.008726646259971648,0.008726646259971648,0.01,-0.1374209948686099
-0.008726646259971648,0.017453292519943295,0.01,-0.2769092576392966
-0.008726646259971648,0.026179938779914945,0.01,-0.41922839575861753
-0.008726646259971648,0.03490658503988659,0.01,-0.5650472544506226
0.0,-0.03490658503988659,0.01,0.5631934605714299
0.0,-0.026179938779914945,0.01,0.4176619340406703
0.0,-0.017453292519943295,0.01,0.27573102399464905
0.0,-0.008726646259971648,0.01,0.13673166903856773
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-0.13673166903856773
0.0,0.017453292519943295,0.01,-0.27573102399464905
0.0,0.026179938779914945,0.01,-0.4176619340406703
0.0,0.03490658503988659,0.01,-0.5631934605714299
0.008726646259971648,-0.03490658503988659,0.01,0.5650472544506226
0.008726646259971648,-0.026179938779914945,0.01,0.41922839575861753
0.008726646259971648,-0.017453292519943295,0.01,0.2769092576392966
0.008726646259971648,-0.008726646259971648,0.01,0.1374209948686099
0.008726646259971648,0.0,0.01,0.0
0.008726646259971648,0.008726646259971648,0.01,-0.1374209948686099
0.008726646259971648,0.017453292519943295,0.01,-0.2769092576392966
0.008726646259971648,0.026179938779914945,0.01,-0.41922839575861753
0.008726646259971648,0.03490658503988659,0.01,-0.5650472544506226
0.017453292519943295,-0.03490658503988659,0.01,0.5702119497358948
0.017453292519943295,-0.026179938779914945,0.01,0.42362729487507245
0.017453292519943295,-0.017453292519943295,0.01,0.2801417752664415
0.017453292519943295,-0.008726646259971648,0.01,0.13928866178164082
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.008726646259971648,0.01,-0.13928866178164082
0.017453292519943295,0.017453292519943295,0.01,-0.2801417752664415
0.017453292519943295,0.026179938779914945,0.01,-0.42362729487507245
0.017453292519943295,0.03490658503988659,0.01,-0.5702119497358948
0.026179938779914945,-0.03490658503988659,0.01,0.5778798874638703
0.026179938779914945,-0.026179938779914945,0.01,0.4303599958475516
0.026179938779914945,-0.017453292519943295,0.01,0.2851308893897576
0.026179938779914945,-0.008726646259971648,0.01,0.14193315516235672
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,-0.14193315516235672
0.026179938779914945,0.017453292519943295,0.01,-0.2851308893897576
0.026179938779914945,0.026179938779914945,0.01,-0.4303599958475516
0.026179938779914945,0.03490658503988659,0.01,-0.5778798874638703
