alpha,beta,mach,CD0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5875321802358108
-0.03490658503988659,-0.026179938779914945,0.01,0.578006740219672
-0.03490658503988659,-0.017453292519943295,0.01,0.5712234342566549
-0.03490658503988659,-0.008726646259971648,0.01,0.5672562563187474
-0.03490658503988659,0.0,0.01,0.5658998992486014
-0.03490658503988659,0.008726646259971648,0.01,0.5672562563187474
-0.03490658503988659,0.017453292519943295,0.01,0.5712234342566549
-0.03490658503988659,0.026179938779914945,0.01,0.578006740219672
-0.03490658503988659,0.03490658503988659,0.01,0.5875321802358108
-0.026179938779914945,-0.03490658503988659,0.01,0.578006654988099
-0.026179938779914945,-0.026179938779914945,0.01,0.5687247267882247
-0.026179938779914945,-0.017453292519943295,0.01,0.5622455253389275
-0.026179938779914945,-0.008726646259971648,0.01,0.5583257202348227
-0.026179938779914945,0.0,0.01,0.5570239930679888
-0.026179938779914945,0.008726646259971648,0.01,0.5583257202348227
-0.026179938779914945,0.017453292519943295,0.01,0.5622455253389275
-0.026179938779914945,0.026179938779914945,0.01,0.5687247267882247
-0.026179938779914945,0.03490658503988659,0.01,0.578006654988099
-0.017453292519943295,-0.03490658503988659,0.01,0.5712233659760602
-0.017453292519943295,-0.026179938779914945,0.01,0.5622455087374272
-0.017453292519943295,-0.017453292519943295,0.01,0.5558483706925793
-0.017453292519943295,-0.008726646259971648,0.01,0.5519535106106025
-0.017453292519943295,0.0,0.01,0.5506960435729154
-0.017453292519943295,0.008726646259971648,0.01,0.5519535106106025
-0.017453292519943295,0.017453292519943295,0.01,0.5558483706925793
-0.017453292519943295,0.026179938779914945,0.01,0.5622455087374272
-0.017453292519943295,0.03490658503988659,0.01,0.5712233659760602
-0.008726646259971648,-0.03490658503988659,0.01,0.5672562340506266
-0.008726646259971648,-0.026179938779914945,0.01,0.5583257135343908
-0.008726646259971648,-0.017453292519943295,0.01,0.551953509477248
-0.008726646259971648,-0.008726646259971648,0.01,0.5482402154537387
-0.008726646259971648,0.0,0.01,0.5470140223814446
-0.008726646259971648,0.008726646259971648,0.01,0.5482402154537387
-0.008726646259971648,0.017453292519943295,0.01,0.551953509477248
-0.008726646259971648,0.026179938779914945,0.01,0.5583257135343908
-0.008726646259971648,0.03490658503988659,0.01,0.5672562340506266
0.0,-0.03490658503988659,0.01,0.5658998992486014
0.0,-0.026179938779914945,0.01,0.5570239930679888
0.0,-0.017453292519943295,0.01,0.5506960435729154
0.0,-0.008726646259971648,0.01,0.5470140223814446
0.0,0.0,0.01,0.5457
0.0,0.008726646259971648,0.01,0.5470140223814446
0.0,0.017453292519943295,0.01,0.5506960435729154
0.0,0.026179938779914945,0.01,0.5570239930679888
0.0,0.03490658503988659,0.01,0.5658998992486014
0.008726646259971648,-0.03490658503988659,0.01,0.5672562340506266
0.008726646259971648,-0.026179938779914945,0.01,0.5583257135343908
0.008726646259971648,-0.017453292519943295,0.01,0.551953509477248
0.008726646259971648,-0.008726646259971648,0.01,0.5482402154537387
0.008726646259971648,0.0,0.01,0.5470140223814446
0.008726646259971648,0.008726646259971648,0.01,0.5482402154537387
0.008726646259971648,0.017453292519943295,0.01,0.551953509477248
0.008726646259971648,0.026179938779914945,0.01,0.5583257135343908
0.008726646259971648,0.03490658503988659,0.01,0.5672562340506266
0.017453292519943295,-0.03490658503988659,0.01,0.5712233659760602
0.017453292519943295,-0.026179938779914945,0.01,0.5622455087374272
0.017453292519943295,-0.017453292519943295,0.01,0.5558483706925793
0.017453292519943295,-0.008726646259971648,0.01,0.5519535106106025
0.017453292519943295,0.0,0.01,0.5506960435729154
0.017453292519943295,0.008726646259971648,0.01,0.5519535106106025
0.017453292519943295,0.017453292519943295,0.01,0.5558483706925793
0.017453292519943295,0.026179938779914945,0.01,0.5622455087374272
0.017453292519943295,0.03490658503988659,0.01,0.5712233659760602
0.026179938779914945,-0.03490658503988659,0.01,0.578006654988099
0.026179938779914945,-0.026179938779914945,0.01,0.5687247267882247
