alpha,beta,mach,CL0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-0.5881817211965776
-0.03490658503988659,-0.026179938779914945,0.01,-0.5782877520090886
-0.03490658503988659,-0.017453292519943295,0.01,-0.5703925644756377
-0.03490658503988659,-0.008726646259971648,0.01,-0.5650923031427663
-0.03490658503988659,0.0,0.01,-0.5631934605714299
-0.03490658503988659,0.008726646259971648,0.01,-0.5650923031427663
-0.03490658503988659,0.017453292519943295,0.01,-0.5703925644756377
-0.03490658503988659,0.026179938779914945,0.01,-0.5782877520090886
-0.03490658503988659,0.03490658503988659,0.01,-0.5881817211965776
-0.026179938779914945,-0.03490658503988659,0.01,-0.43915718422247557
-0.026179938779914945,-0.026179938779914945,0.01,-0.43066009696018337
-0.026179938779914945,-0.017453292519943295,0.01,-0.4237598437230212
-0.026179938779914945,-0.008726646259971648,0.01,-0.4192613857606312
-0.026179938779914945,0.0,0.01,-0.4176619340406703
-0.026179938779914945,0.008726646259971648,0.01,-0.4192613857606312
-0.026179938779914945,0.017453292519943295,0.01,-0.4237598437230212
-0.026179938779914945,0.026179938779914945,0.01,-0.43066009696018337
-0.026179938779914945,0.03490658503988659,0.01,-0.43915718422247557
-0.017453292519943295,-0.03490658503988659,0.01,-0.29172858711715133
-0.017453292519943295,-0.026179938779914945,0.01,-0.2853278166275067
-0.017453292519943295,-0.017453292519943295,0.01,-0.2802285933822091
-0.017453292519943295,-0.008726646259971648,0.01,-0.2769308412288367
-0.017453292519943295,0.0,0.01,-0.27573102399464905
-0.017453292519943295,0.008726646259971648,0.01,-0.2769308412288367
-0.017453292519943295,0.017453292519943295,0.01,-0.2802285933822091
-0.017453292519943295,0.026179938779914945,0.01,-0.2853278166275067
-0.017453292519943295,0.03490658503988659,0.01,-0.29172858711715133
-0.008726646259971648,-0.03490658503988659,0.01,-0.1455304613079826
-0.008726646259971648,-0.026179938779914945,0.01,-0.14203059457725803
-0.008726646259971648,-0.017453292519943295,0.01,-0.1393315700385346
-0.008726646259971648,-0.008726646259971648,0.01,-0.13743164238471267
-0.008726646259971648,0.0,0.01,-0.13673166903856773
-0.008726646259971648,0.008726646259971648,0.01,-0.13743164238471267
-0.008726646259971648,0.017453292519943295,0.01,-0.1393315700385346
-0.008726646259971648,0.026179938779914945,0.01,-0.14203059457725803
-0.008726646259971648,0.03490658503988659,0.01,-0.1455304613079826
0.0,-0.03490658503988659,0.01,-0.0
0.0,-0.026179938779914945,0.01,-0.0
0.0,-0.017453292519943295,0.01,-0.0
0.0,-0.008726646259971648,0.01,-0.0
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,-0.0
0.0,0.017453292519943295,0.01,-0.0
0.0,0.026179938779914945,0.01,-0.0
0.0,0.03490658503988659,0.01,-0.0
0.008726646259971648,-0.03490658503988659,0.01,0.1455304613079826
0.008726646259971648,-0.026179938779914945,0.01,0.14203059457725803
0.008726646259971648,-0.017453292519943295,0.01,0.1393315700385346
0.008726646259971648,-0.008726646259971648,0.01,0.13743164238471267
0.008726646259971648,0.0,0.01,0.13673166903856773
0.008726646259971648,0.008726646259971648,0.01,0.13743164238471267
0.008726646259971648,0.017453292519943295,0.01,0.1393315700385346
0.008726646259971648,0.026179938779914945,0.01,0.14203059457725803
0.008726646259971648,0.03490658503988659,0.01,0.1455304613079826
0.017453292519943295,-0.03490658503988659,0.01,0.29172858711715133
0.017453292519943295,-0.026179938779914945,0.01,0.2853278166275067
0.017453292519943295,-0.017453292519943295,0.01,0.2802285933822091
0.017453292519943295,-0.008726646259971648,0.01,0.2769308412288367
0.017453292519943295,0.0,0.01,0.27573102399464905
0.017453292519943295,0.008726646259971648,0.01,0.2769308412288367
0.017453292519943295,0.017453292519943295,0.01,0.2802285933822091
0.017453292519943295,0.026179938779914945,0.01,0.2853278166275067
0.017453292519943295,0.03490658503988659,0.01,0.29172858711715133
0.026179938779914945,-0.03490658503988659,0.01,0.43915718422247557
0.026179938779914945,-0.026179938779914945,0.01,0.43066009696018337
0.026179938779914945,-0.017453292519943295,0.01,0.4237598437230212
0.026179938779914945,-0.008726646259971648,0.01,0.4192613857606312
0.026179938779914945,0.0,0.01,0.4176619340406703
0.026179938779914945,0.008726646259971648,0.01,0.4192613857606312
0.026179938779914945,0.017453292519943295,0.01,0.4237598437230212
0.026179938779914945,0.026179938779914945,0.01,0.43066009696018337
0.026179938779914945,0.03490658503988659,0.01,0.43915718422247557
0.03490658503988659,-0.03490658503988659,0.01,0.5881817211965776
0.03490658503988659,-0.026179938779914945,0.01,0.5782877520090886
0.03490658503988659,-0.017453292519943295,0.01,0.5703925644756377
0.03490658503988659,-0.008726646259971648,0.01,0.5650923031427663
0.03490658503988659,0.0,0.01,0.5631934605714299
0.03490658503988659,0.008726646259971648,0.01,0.5650923031427663
0.03490658503988659,0.017453292519943295,0.01,0.5703925644756377
0.03490658503988659,0.026179938779914945,0.01,0.5782877520090886
0.03490658503988659,0.03490658503988659,0.01,0.5881817211965776
-0.03490658503988659,-0.03490658503988659,0.1,-0.5948503781693539
-0.03490658503988659,-0.026179938779914945,0.1,-0.5849529190321947
-0.03490658503988659,-0.017453292519943295,0.1,-0.5770577314987438
-0.03490658503988659,-0.008726646259971648,0.1,-0.5717609601155426
-0.03490658503988659,0.0,0.1,-0.5698621175442063
-0.03490658503988659,0.008726646259971648,0.1,-0.5717609601155426
-0.03490658503988659,0.017453292519943295,0.1,-0.5770577314987438
-0.03490658503988659,0.026179938779914945,0.1,-0.5849529190321947
-0.03490658503988659,0.03490658503988659,0.1,-0.5948503781693539
-0.026179938779914945,-0.03490658503988659,0.1,-0.4441066007683742
-0.026179938779914945,-0.026179938779914945,0.1,-0.43560951350608196
-0.026179938779914945,-0.017453292519943295,0.1,-0.4288144613910789
-0.026179938779914945,-0.008726646259971648,0.1,-0.4242160376961914
-0.026179938779914945,0.0,0.1,-0.4226165859762305
-0.026179938779914945,0.008726646259971648,0.1,-0.4242160376961914
-0.026179938779914945,0.017453292519943295,0.1,-0.4288144613910789
-0.026179938779914945,0.026179938779914945,0.1,-0.43560951350608196
-0.026179938779914945,0.03490658503988659,0.1,-0.4441066007683742
-0.017453292519943295,-0.03490658503988659,0.1,-0.2949617848949825
-0.017453292519943295,-0.026179938779914945,0.1,-0.28866448965614094
-0.017453292519943295,-0.017453292519943295,0.1,-0.2835652664108434
-0.017453292519943295,-0.008726646259971648,0.1,-0.28026576901682726
-0.017453292519943295,0.0,0.1,-0.2790659517826396
-0.017453292519943295,0.008726646259971648,0.1,-0.28026576901682726
-0.017453292519943295,0.017453292519943295,0.1,-0.2835652664108434
-0.017453292519943295,0.026179938779914945,0.1,-0.28866448965614094
-0.017453292519943295,0.03490658503988659,0.1,-0.2949617848949825
-0.008726646259971648,-0.03490658503988659,0.1,-0.14714800202345626
-0.008726646259971648,-0.026179938779914945,0.1,-0.1436490079462815
-0.008726646259971648,-0.017453292519943295,0.1,-0.14094911075400823
-0.008726646259971648,-0.008726646259971648,0.1,-0.13915005194604255
-0.008726646259971648,0.0,0.1,-0.13845007859989764
-0.008726646259971648,0.008726646259971648,0.1,-0.13915005194604255
-0.008726646259971648,0.017453292519943295,0.1,-0.14094911075400823
-0.008726646259971648,0.026179938779914945,0.1,-0.1436490079462815
-0.008726646259971648,0.03490658503988659,0.1,-0.14714800202345626
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.026179938779914945,0.1,-0.0
0.0,-0.017453292519943295,0.1,-0.0
0.0,-0.008726646259971648,0.1,-0.0
0.0,0.0,0.1,-0.0
0.0,0.008726646259971648,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.026179938779914945,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.008726646259971648,-0.03490658503988659,0.1,0.14714800202345626
0.008726646259971648,-0.026179938779914945,0.1,0.1436490079462815
0.008726646259971648,-0.017453292519943295,0.1,0.14094911075400823
0.008726646259971648,-0.008726646259971648,0.1,0.13915005194604255
0.008726646259971648,0.0,0.1,0.13845007859989764
0.008726646259971648,0.008726646259971648,0.1,0.13915005194604255
0.008726646259971648,0.017453292519943295,0.1,0.14094911075400823
0.008726646259971648,0.026179938779914945,0.1,0.1436490079462815
0.008726646259971648,0.03490658503988659,0.1,0.14714800202345626
0.017453292519943295,-0.03490658503988659,0.1,0.2949617848949825
0.017453292519943295,-0.026179938779914945,0.1,0.28866448965614094
0.017453292519943295,-0.017453292519943295,0.1,0.2835652664108434
0.017453292519943295,-0.008726646259971648,0.1,0.28026576901682726
0.017453292519943295,0.0,0.1,0.2790659517826396
0.017453292519943295,0.008726646259971648,0.1,0.28026576901682726
