alpha,beta,mach,CQ0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5642991628589642
-0.03490658503988659,-0.017453292519943295,0.01,0.2796404049916359
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.017453292519943295,0.01,-0.2796404049916359
-0.03490658503988659,0.03490658503988659,0.01,-0.5642991628589642
-0.017453292519943295,-0.03490658503988659,0.01,0.5469345971814912
-0.017453292519943295,-0.017453292519943295,0.01,0.2683988043025904
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.017453292519943295,0.01,-0.2683988043025904
-0.017453292519943295,0.03490658503988659,0.01,-0.5469345971814912
0.0,-0.03490658503988659,0.01,0.5398117699969928
0.0,-0.017453292519943295,0.01,0.26398236247999535
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,-0.26398236247999535
0.0,0.03490658503988659,0.01,-0.5398117699969928
0.017453292519943295,-0.03490658503988659,0.01,0.5469345971814912
0.017453292519943295,-0.017453292519943295,0.01,0.2683988043025904
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.017453292519943295,0.01,-0.2683988043025904
0.017453292519943295,0.03490658503988659,0.01,-0.5469345971814912
0.03490658503988659,-0.03490658503988659,0.01,0.5642991628589642
0.03490658503988659,-0.017453292519943295,0.01,0.2796404049916359
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.017453292519943295,0.01,-0.2796404049916359
0.03490658503988659,0.03490658503988659,0.01,-0.5642991628589642
-0.03490658503988659,-0.03490658503988659,0.1,0.5711063927334807
-0.03490658503988659,-0.017453292519943295,0.1,0.2830446297847661
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.017453292519943295,0.1,-0.2830446297847661
-0.03490658503988659,0.03490658503988659,0.1,-0.5711063927334807
-0.017453292519943295,-0.03490658503988659,0.1,0.5537452132321826
-0.017453292519943295,-0.017453292519943295,0.1,0.27180472244171267
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.017453292519943295,0.1,-0.27180472244171267
-0.017453292519943295,0.03490658503988659,0.1,-0.5537452132321826
0.0,-0.03490658503988659,0.1,0.5466235149062493
0.0,-0.017453292519943295,0.1,0.26739059037502244
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,-0.26739059037502244
0.0,0.03490658503988659,0.1,-0.5466235149062493
0.017453292519943295,-0.03490658503988659,0.1,0.5537452132321826
0.017453292519943295,-0.017453292519943295,0.1,0.27180472244171267
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.017453292519943295,0.1,-0.27180472244171267
0.017453292519943295,0.03490658503988659,0.1,-0.5537452132321826
0.03490658503988659,-0.03490658503988659,0.1,0.5711063927334807
0.03490658503988659,-0.017453292519943295,0.1,0.2830446297847661
0.03490658503988659,0.0,0.1,0.0
0.03490658503988659,0.017453292519943295,0.1,-0.2830446297847661
0.03490658503988659,0.03490658503988659,0.1,-0.5711063927334807
-0.03490658503988659,-0.03490658503988659,0.2,0.572666432838074
-0.03490658503988659,-0.017453292519943295,0.2,0.28387498951541495
-0.03490658503988659,0.0,0.2,0.0
-0.03490658503988659,0.017453292519943295,0.2,-0.28387498951541495
-0.03490658503988659,0.03490658503988659,0.2,-0.572666432838074
-0.017453292519943295,-0.03490658503988659,0.2,0.5553066217349626
-0.017453292519943295,-0.017453292519943295,0.2,0.2726357664756778
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.017453292519943295,0.2,-0.2726357664756778
-0.017453292519943295,0.03490658503988659,0.2,-0.5553066217349626
0.0,-0.03490658503988659,0.2,0.5482888492732148
0.0,-0.017453292519943295,0.2,0.26812189809321907
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,-0.26812189809321907
0.0,0.03490658503988659,0.2,-0.5482888492732148
0.017453292519943295,-0.03490658503988659,0.2,0.5553066217349626
0.017453292519943295,-0.017453292519943295,0.2,0.2726357664756778
0.017453292519943295,0.0,0.2,0.0
0.017453292519943295,0.017453292519943295,0.2,-0.2726357664756778
0.017453292519943295,0.03490658503988659,0.2,-0.5553066217349626
0.03490658503988659,-0.03490658503988659,0.2,0.572666432838074
0.03490658503988659,-0.017453292519943295,0.2,0.28387498951541495
0.03490658503988659,0.0,0.2,0.0
0.03490658503988659,0.017453292519943295,0.2,-0.28387498951541495
0.03490658503988659,0.03490658503988659,0.2,-0.572666432838074
-0.03490658503988659,-0.03490658503988659,0.5,0.5878971245731625
-0.03490658503988659,-0.017453292519943295,0.5,0.2914935974362949
-0.03490658503988659,0.0,0.5,0.0
-0.03490658503988659,0.017453292519943295,0.5,-0.2914935974362949
-0.03490658503988659,0.03490658503988659,0.5,-0.5878971245731625
-0.017453292519943295,-0.03490658503988659,0.5,0.5708509502287648
-0.017453292519943295,-0.017453292519943295,0.5,0.2803614222393382
-0.017453292519943295,0.0,0.5,0.0
-0.017453292519943295,0.017453292519943295,0.5,-0.2803614222393382
-0.017453292519943295,0.03490658503988659,0.5,-0.5708509502287648
0.0,-0.03490658503988659,0.5,0.563934234335237
0.0,-0.017453292519943295,0.5,0.2760498579230748
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,-0.2760498579230748
0.0,0.03490658503988659,0.5,-0.563934234335237
0.017453292519943295,-0.03490658503988659,0.5,0.5708509502287648
0.017453292519943295,-0.017453292519943295,0.5,0.2803614222393382
0.017453292519943295,0.0,0.5,0.0
0.017453292519943295,0.017453292519943295,0.5,-0.2803614222393382
0.017453292519943295,0.03490658503988659,0.5,-0.5708509502287648
0.03490658503988659,-0.03490658503988659,0.5,0.5878971245731625
0.03490658503988659,-0.017453292519943295,0.5,0.2914935974362949
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.017453292519943295,0.5,-0.2914935974362949
0.03490658503988659,0.03490658503988659,0.5,-0.5878971245731625
-0.03490658503988659,-0.03490658503988659,0.75,0.5977971302054815
-0.03490658503988659,-0.017453292519943295,0.75,0.296594468979709
-0.03490658503988659,0.0,0.75,0.0
-0.03490658503988659,0.017453292519943295,0.75,-0.296594468979709
-0.03490658503988659,0.03490658503988659,0.75,-0.5977971302054815
-0.017453292519943295,-0.03490658503988659,0.75,0.5832588499660385
-0.017453292519943295,-0.017453292519943295,0.75,0.2870677946930627
-0.017453292519943295,0.0,0.75,0.0
-0.017453292519943295,0.017453292519943295,0.75,-0.2870677946930627
-0.017453292519943295,0.03490658503988659,0.75,-0.5832588499660385
0.0,-0.03490658503988659,0.75,0.57724833725394
0.0,-0.017453292519943295,0.75,0.28325652731424755
0.0,0.0,0.75,0.0
0.0,0.017453292519943295,0.75,-0.28325652731424755
0.0,0.03490658503988659,0.75,-0.57724833725394
0.017453292519943295,-0.03490658503988659,0.75,0.5832588499660385
0.017453292519943295,-0.017453292519943295,0.75,0.2870677946930627
0.017453292519943295,0.0,0.75,0.0
0.017453292519943295,0.017453292519943295,0.75,-0.2870677946930627
0.017453292519943295,0.03490658503988659,0.75,-0.5832588499660385
0.03490658503988659,-0.03490658503988659,0.75,0.5977971302054815
0.03490658503988659,-0.017453292519943295,0.75,0.296594468979709
0.03490658503988659,0.0,0.75,0.0
0.03490658503988659,0.017453292519943295,0.75,-0.296594468979709
0.03490658503988659,0.03490658503988659,0.75,-0.5977971302054815
-0.03490658503988659,-0.03490658503988659,1,0.6333194639731201
-0.03490658503988659,-0.017453292519943295,1,0.3141627431146103
-0.03490658503988659,0.0,1,0.0
