alpha,beta,mach,CQr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-113.09400601915777
-0.03490658503988659,-0.017453292519943295,0.01,-143.82628175817896
-0.03490658503988659,0.0,0.01,205.3271
-0.03490658503988659,0.017453292519943295,0.01,-143.97637064709176
-0.03490658503988659,0.03490658503988659,0.01,-107.15232773528115
-0.017453292519943295,-0.03490658503988659,0.01,-63.82587369677035
-0.017453292519943295,-0.017453292519943295,0.01,-114.60236308530571
-0.017453292519943295,0.0,0.01,205.8917
-0.017453292519943295,0.017453292519943295,0.01,-111.29716655942723
-0.017453292519943295,0.03490658503988659,0.01,-67.04989895526327
0.0,-0.03490658503988659,0.01,30.051282412133403
0.0,-0.017453292519943295,0.01,24.818719413019522
0.0,0.0,0.01,206.1721
0.0,0.017453292519943295,0.01,17.975461833060635
0.0,0.03490658503988659,0.01,17.428376632386012
0.017453292519943295,-0.03490658503988659,0.01,114.52955799978268
0.017453292519943295,-0.017453292519943295,0.01,154.0912478207379
0.017453292519943295,0.0,0.01,205.8917
0.017453292519943295,0.017453292519943295,0.01,157.39644434661636
0.017453292519943295,0.03490658503988659,0.01,111.30543280220706
0.03490658503988659,-0.03490658503988659,0.01,154.63188684071787
0.03490658503988659,-0.017453292519943295,0.01,186.7704519084024
0.03490658503988659,0.0,0.01,205.3271
0.03490658503988659,0.017453292519943295,0.01,186.62036301948962
0.03490658503988659,0.03490658503988659,0.01,160.5736650636772
-0.03490658503988659,-0.03490658503988659,0.1,-113.10241758836047
-0.03490658503988659,-0.017453292519943295,0.1,-143.86695679970163
-0.03490658503988659,0.0,0.1,205.4275
-0.03490658503988659,0.017453292519943295,0.1,-144.02726691470454
-0.03490658503988659,0.03490658503988659,0.1,-107.1221628185609
-0.017453292519943295,-0.03490658503988659,0.1,-63.82721353049488
-0.017453292519943295,-0.017453292519943295,0.1,-114.6129652172882
-0.017453292519943295,0.0,0.1,206.0077
-0.017453292519943295,0.017453292519943295,0.1,-111.29367083890801
-0.017453292519943295,0.03490658503988659,0.1,-66.97537022456817
0.0,-0.03490658503988659,0.1,30.01090702272183
0.0,-0.017453292519943295,0.1,24.792823357714973
0.0,0.0,0.1,206.2957
0.0,0.017453292519943295,0.1,18.01885522303042
0.0,0.03490658503988659,0.1,17.51782211140422
0.017453292519943295,-0.03490658503988659,0.1,114.50409935869422
0.017453292519943295,-0.017453292519943295,0.1,154.1053494196534
0.017453292519943295,0.0,0.1,206.0077
0.017453292519943295,0.017453292519943295,0.1,157.4246437980336
0.017453292519943295,0.03490658503988659,0.1,111.35584272553822
0.03490658503988659,-0.03490658503988659,0.1,154.65079201360425
0.03490658503988659,-0.017453292519943295,0.1,186.83894543454193
0.03490658503988659,0.0,0.1,205.4275
0.03490658503988659,0.017453292519943295,0.1,186.67863538044705
0.03490658503988659,0.03490658503988659,0.1,160.6310467834038
-0.03490658503988659,-0.03490658503988659,0.2,-113.18967774013944
-0.03490658503988659,-0.017453292519943295,0.2,-144.0361132445802
-0.03490658503988659,0.0,0.2,205.69
-0.03490658503988659,0.017453292519943295,0.2,-144.2242700446133
-0.03490658503988659,0.03490658503988659,0.2,-107.16664916474095
-0.017453292519943295,-0.03490658503988659,0.2,-63.87581469421642
-0.017453292519943295,-0.017453292519943295,0.2,-114.69987902927765
-0.017453292519943295,0.0,0.2,206.3053
-0.017453292519943295,0.017453292519943295,0.2,-111.36498702685302
-0.017453292519943295,0.03490658503988659,0.2,-66.89762195367378
0.0,-0.03490658503988659,0.2,29.88718243833687
0.0,-0.017453292519943295,0.2,24.705736623466848
0.0,0.0,0.2,206.6147
0.0,0.017453292519943295,0.2,18.125438987334093
0.0,0.03490658503988659,0.2,17.696013495861727
0.017453292519943295,-0.03490658503988659,0.2,114.48081788787238
0.017453292519943295,-0.017453292519943295,0.2,154.19616263765394
0.017453292519943295,0.0,0.2,206.3053
0.017453292519943295,0.017453292519943295,0.2,157.53095465530907
0.017453292519943295,0.03490658503988659,0.2,111.45901062841502
0.03490658503988659,-0.03490658503988659,0.2,154.74984509893955
0.03490658503988659,-0.017453292519943295,0.2,187.05544565541422
0.03490658503988659,0.0,0.2,205.69
0.03490658503988659,0.017453292519943295,0.2,186.86728885538113
0.03490658503988659,0.03490658503988659,0.2,160.77297361342073
-0.03490658503988659,-0.03490658503988659,0.5,-114.1509841742696
-0.03490658503988659,-0.017453292519943295,0.5,-145.81557983731554
-0.03490658503988659,0.0,0.5,208.7575
-0.03490658503988659,0.017453292519943295,0.5,-146.52162793389058
-0.03490658503988659,0.03490658503988659,0.5,-107.99943369492145
-0.017453292519943295,-0.03490658503988659,0.5,-64.5287489128223
-0.017453292519943295,-0.017453292519943295,0.5,-115.63682351424335
-0.017453292519943295,0.0,0.5,209.6554
-0.017453292519943295,0.017453292519943295,0.5,-112.25513863968538
-0.017453292519943295,0.03490658503988659,0.5,-66.48636093296047
0.0,-0.03490658503988659,0.5,28.966543608486877
0.0,-0.017453292519943295,0.5,24.14492205125363
0.0,0.0,0.5,210.1061
0.0,0.017453292519943295,0.5,18.744844634483474
0.0,0.03490658503988659,0.5,18.780352543177443
0.017453292519943295,-0.03490658503988659,0.5,114.23325708462478
0.017453292519943295,-0.017453292519943295,0.5,155.1449053254225
0.017453292519943295,0.0,0.5,209.6554
0.017453292519943295,0.017453292519943295,0.5,158.5265901695218
0.017453292519943295,0.03490658503988659,0.5,112.27554512540392
0.03490658503988659,-0.03490658503988659,0.5,155.74632996838326
0.03490658503988659,-0.017453292519943295,0.5,189.41139455871965
0.03490658503988659,0.0,0.5,208.7575
0.03490658503988659,0.017453292519943295,0.5,188.70524653828312
0.03490658503988659,0.03490658503988659,0.5,161.8978802041364
-0.03490658503988659,-0.03490658503988659,0.75,-110.54200613004878
-0.03490658503988659,-0.017453292519943295,0.75,-142.7821459931289
-0.03490658503988659,0.0,0.75,206.1078
-0.03490658503988659,0.017453292519943295,0.75,-143.49298321454532
-0.03490658503988659,0.03490658503988659,0.75,-104.28352107580459
-0.017453292519943295,-0.03490658503988659,0.75,-62.369546500124684
-0.017453292519943295,-0.017453292519943295,0.75,-111.9967707472048
-0.017453292519943295,0.0,0.75,207.0394
-0.017453292519943295,0.017453292519943295,0.75,-108.57599182776626
-0.017453292519943295,0.03490658503988659,0.75,-61.775887852956
0.0,-0.03490658503988659,0.75,26.916892961353412
0.0,-0.017453292519943295,0.75,23.10887986953258
0.0,0.0,0.75,207.4769
0.0,0.017453292519943295,0.75,19.82967938372816
0.0,0.03490658503988659,0.75,20.96642003819901
0.017453292519943295,-0.03490658503988659,0.75,109.65920085250842
0.017453292519943295,-0.017453292519943295,0.75,151.51465106579653
0.017453292519943295,0.0,0.75,207.0394
0.017453292519943295,0.017453292519943295,0.75,154.93533000046557
0.017453292519943295,0.03490658503988659,0.75,110.25285949967711
0.03490658503988659,-0.03490658503988659,0.75,152.16673401447682
0.03490658503988659,-0.017453292519943295,0.75,186.43154246780605
0.03490658503988659,0.0,0.75,206.1078
0.03490658503988659,0.017453292519943295,0.75,185.72070524638963
0.03490658503988659,0.03490658503988659,0.75,158.42521919051848
-0.03490658503988659,-0.03490658503988659,1,-111.85594209000394
-0.03490658503988659,-0.017453292519943295,1,-145.96539176380415
-0.03490658503988659,0.0,1,213.0878
-0.03490658503988659,0.017453292519943295,1,-145.24770706302687
-0.03490658503988659,0.03490658503988659,1,-104.34901789285
-0.017453292519943295,-0.03490658503988659,1,-62.16174044243201
-0.017453292519943295,-0.017453292519943295,1,-113.58156056303666
-0.017453292519943295,0.0,1,213.9009
-0.017453292519943295,0.017453292519943295,1,-109.50348176880229
-0.017453292519943295,0.03490658503988659,1,-59.564673336106395
0.0,-0.03490658503988659,1,28.152239962631715
0.0,-0.017453292519943295,1,24.62274926476887
0.0,0.0,1,214.3071
0.0,0.017453292519943295,1,23.23146119695875
0.0,0.03490658503988659,1,25.63707306827276
0.017453292519943295,-0.03490658503988659,1,113.35398636701088
0.017453292519943295,-0.017453292519943295,1,157.3575922457604
0.017453292519943295,0.0,1,213.9009
0.017453292519943295,0.017453292519943295,1,161.43577102476428
0.017453292519943295,0.03490658503988659,1,115.95105347333649
0.03490658503988659,-0.03490658503988659,1,158.13833092375447
0.03490658503988659,-0.017453292519943295,1,193.10181753998498
0.03490658503988659,0.0,1,213.0878
0.03490658503988659,0.017453292519943295,1,193.81950224076223
0.03490658503988659,0.03490658503988659,1,165.6452551209084
