alpha,beta,mach,CD0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,1.1044455246093625
-0.03490658503988659,-0.017453292519943295,0.01,1.088800313286237
-0.03490658503988659,0.0,0.01,1.0835992584773737
-0.03490658503988659,0.017453292519943295,0.01,1.088800313286237
-0.03490658503988659,0.03490658503988659,0.01,1.1044455246093625
-0.017453292519943295,-0.03490658503988659,0.01,1.0888002460709008
-0.017453292519943295,-0.017453292519943295,0.01,1.0738962676966493
-0.017453292519943295,0.0,0.01,1.0690699520141236
-0.017453292519943295,0.017453292519943295,0.01,1.0738962676966493
-0.017453292519943295,0.03490658503988659,0.01,1.0888002460709008
0.0,-0.03490658503988659,0.01,1.0835992584773737
0.0,-0.017453292519943295,0.01,1.0690699520141236
0.0,0.0,0.01,1.0642
0.0,0.017453292519943295,0.01,1.0690699520141236
0.0,0.03490658503988659,0.01,1.0835992584773737
0.017453292519943295,-0.03490658503988659,0.01,1.0888002460709008
0.017453292519943295,-0.017453292519943295,0.01,1.0738962676966493
0.017453292519943295,0.0,0.01,1.0690699520141236
0.017453292519943295,0.017453292519943295,0.01,1.0738962676966493
0.017453292519943295,0.03490658503988659,0.01,1.0888002460709008
0.03490658503988659,-0.03490658503988659,0.01,1.1044455246093625
0.03490658503988659,-0.017453292519943295,0.01,1.088800313286237
0.03490658503988659,0.0,0.01,1.0835992584773737
0.03490658503988659,0.017453292519943295,0.01,1.088800313286237
0.03490658503988659,0.03490658503988659,0.01,1.1044455246093625
-0.03490658503988659,-0.03490658503988659,0.1,0.9267041907763826
-0.03490658503988659,-0.017453292519943295,0.1,0.9109620120548961
-0.03490658503988659,0.0,0.1,0.905728630965996
-0.03490658503988659,0.017453292519943295,0.1,0.9109620120548961
-0.03490658503988659,0.03490658503988659,0.1,0.9267041907763826
-0.017453292519943295,-0.03490658503988659,0.1,0.910961944839317
-0.017453292519943295,-0.017453292519943295,0.1,0.8959609547383861
-0.017453292519943295,0.0,0.1,0.8910023132287015
-0.017453292519943295,0.017453292519943295,0.1,0.8959609547383861
-0.017453292519943295,0.03490658503988659,0.1,0.910961944839317
0.0,-0.03490658503988659,0.1,0.905728630965996
0.0,-0.017453292519943295,0.1,0.8910023132287015
0.0,0.0,0.1,0.8861
0.0,0.017453292519943295,0.1,0.8910023132287015
0.0,0.03490658503988659,0.1,0.905728630965996
0.017453292519943295,-0.03490658503988659,0.1,0.910961944839317
0.017453292519943295,-0.017453292519943295,0.1,0.8959609547383861
0.017453292519943295,0.0,0.1,0.8910023132287015
0.017453292519943295,0.017453292519943295,0.1,0.8959609547383861
0.017453292519943295,0.03490658503988659,0.1,0.910961944839317
0.03490658503988659,-0.03490658503988659,0.1,0.9267041907763826
0.03490658503988659,-0.017453292519943295,0.1,0.9109620120548961
0.03490658503988659,0.0,0.1,0.905728630965996
0.03490658503988659,0.017453292519943295,0.1,0.9109620120548961
0.03490658503988659,0.03490658503988659,0.1,0.9267041907763826
-0.03490658503988659,-0.03490658503988659,0.2,0.9250110497315107
-0.03490658503988659,-0.017453292519943295,0.2,0.9092296857451363
-0.03490658503988659,0.0,0.2,0.9038856275893838
-0.03490658503988659,0.017453292519943295,0.2,0.9092296857451363
-0.03490658503988659,0.03490658503988659,0.2,0.9250110497315107
-0.017453292519943295,-0.03490658503988659,0.2,0.9092296179973732
-0.017453292519943295,-0.017453292519943295,0.2,0.8941894247178998
-0.017453292519943295,0.0,0.2,0.8892148040619261
-0.017453292519943295,0.017453292519943295,0.2,0.8941894247178998
-0.017453292519943295,0.03490658503988659,0.2,0.9092296179973732
0.0,-0.03490658503988659,0.2,0.9038856275893838
0.0,-0.017453292519943295,0.2,0.8892148040619261
0.0,0.0,0.2,0.8843
0.0,0.017453292519943295,0.2,0.8892148040619261
0.0,0.03490658503988659,0.2,0.9038856275893838
0.017453292519943295,-0.03490658503988659,0.2,0.9092296179973732
0.017453292519943295,-0.017453292519943295,0.2,0.8941894247178998
0.017453292519943295,0.0,0.2,0.8892148040619261
0.017453292519943295,0.017453292519943295,0.2,0.8941894247178998
0.017453292519943295,0.03490658503988659,0.2,0.9092296179973732
0.03490658503988659,-0.03490658503988659,0.2,0.9250110497315107
0.03490658503988659,-0.017453292519943295,0.2,0.9092296857451363
0.03490658503988659,0.0,0.2,0.9038856275893838
0.03490658503988659,0.017453292519943295,0.2,0.9092296857451363
0.03490658503988659,0.03490658503988659,0.2,0.9250110497315107
-0.03490658503988659,-0.03490658503988659,0.5,0.9186667287491677
-0.03490658503988659,-0.017453292519943295,0.5,0.9025000940172492
-0.03490658503988659,0.0,0.5,0.897127526801363
-0.03490658503988659,0.017453292519943295,0.5,0.9025000940172492
-0.03490658503988659,0.03490658503988659,0.5,0.9186667287491677
-0.017453292519943295,-0.03490658503988659,0.5,0.9025000278580223
-0.017453292519943295,-0.017453292519943295,0.5,0.8870569350343219
-0.017453292519943295,0.0,0.5,0.8819520598879795
-0.017453292519943295,0.017453292519943295,0.5,0.8870569350343219
-0.017453292519943295,0.03490658503988659,0.5,0.9025000278580223
0.0,-0.03490658503988659,0.5,0.897127526801363
