alpha,beta,mach,Cnp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-3.4313
-0.03490658503988659,-0.017453292519943295,0.01,-1.646
-0.03490658503988659,0.0,0.01,0.0175
-0.03490658503988659,0.017453292519943295,0.01,1.6696
-0.03490658503988659,0.03490658503988659,0.01,3.4313
-0.017453292519943295,-0.03490658503988659,0.01,-5.9863
-0.017453292519943295,-0.017453292519943295,0.01,-3.579
-0.017453292519943295,0.0,0.01,0.0027
-0.017453292519943295,0.017453292519943295,0.01,3.579
-0.017453292519943295,0.03490658503988659,0.01,5.9789
0.0,-0.03490658503988659,0.01,-7.1553
0.0,-0.017453292519943295,0.01,-4.3367
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,4.3367
0.0,0.03490658503988659,0.01,7.1553
0.017453292519943295,-0.03490658503988659,0.01,-5.9789
0.017453292519943295,-0.017453292519943295,0.01,-3.579
0.017453292519943295,0.0,0.01,-0.0027
0.017453292519943295,0.017453292519943295,0.01,3.579
0.017453292519943295,0.03490658503988659,0.01,5.9863
0.03490658503988659,-0.03490658503988659,0.01,-3.4313
0.03490658503988659,-0.017453292519943295,0.01,-1.6697
0.03490658503988659,0.0,0.01,-0.0176
0.03490658503988659,0.017453292519943295,0.01,1.646
0.03490658503988659,0.03490658503988659,0.01,3.4313
-0.03490658503988659,-0.03490658503988659,0.1,-3.4413
-0.03490658503988659,-0.017453292519943295,0.1,-1.6504
-0.03490658503988659,0.0,0.1,0.0175
-0.03490658503988659,0.017453292519943295,0.1,1.6741
-0.03490658503988659,0.03490658503988659,0.1,3.4413
-0.017453292519943295,-0.03490658503988659,0.1,-6.0014
-0.017453292519943295,-0.017453292519943295,0.1,-3.5874
-0.017453292519943295,0.0,0.1,0.0027
-0.017453292519943295,0.017453292519943295,0.1,3.5873
-0.017453292519943295,0.03490658503988659,0.1,5.994
0.0,-0.03490658503988659,0.1,-7.1719
0.0,-0.017453292519943295,0.1,-4.3474
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,4.3474
0.0,0.03490658503988659,0.1,7.1719
0.017453292519943295,-0.03490658503988659,0.1,-5.994
0.017453292519943295,-0.017453292519943295,0.1,-3.5874
0.017453292519943295,0.0,0.1,-0.0027
0.017453292519943295,0.017453292519943295,0.1,3.5874
0.017453292519943295,0.03490658503988659,0.1,6.0014
0.03490658503988659,-0.03490658503988659,0.1,-3.4413
0.03490658503988659,-0.017453292519943295,0.1,-1.6741
0.03490658503988659,0.0,0.1,-0.0175
0.03490658503988659,0.017453292519943295,0.1,1.6504
0.03490658503988659,0.03490658503988659,0.1,3.4413
-0.03490658503988659,-0.03490658503988659,0.2,-3.446
-0.03490658503988659,-0.017453292519943295,0.2,-1.6515
-0.03490658503988659,0.0,0.2,0.0175
-0.03490658503988659,0.017453292519943295,0.2,1.6751
-0.03490658503988659,0.03490658503988659,0.2,3.446
-0.017453292519943295,-0.03490658503988659,0.2,-6.0079
-0.017453292519943295,-0.017453292519943295,0.2,-3.5909
-0.017453292519943295,0.0,0.2,0.0027
-0.017453292519943295,0.017453292519943295,0.2,3.5909
-0.017453292519943295,0.03490658503988659,0.2,6.0005
0.0,-0.03490658503988659,0.2,-7.1791
0.0,-0.017453292519943295,0.2,-4.3529
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,4.3529
0.0,0.03490658503988659,0.2,7.1791
0.017453292519943295,-0.03490658503988659,0.2,-6.0005
0.017453292519943295,-0.017453292519943295,0.2,-3.5909
0.017453292519943295,0.0,0.2,-0.0027
0.017453292519943295,0.017453292519943295,0.2,3.5909
0.017453292519943295,0.03490658503988659,0.2,6.0079
0.03490658503988659,-0.03490658503988659,0.2,-3.446
0.03490658503988659,-0.017453292519943295,0.2,-1.6751
0.03490658503988659,0.0,0.2,-0.0175
0.03490658503988659,0.017453292519943295,0.2,1.6515
0.03490658503988659,0.03490658503988659,0.2,3.446
-0.03490658503988659,-0.03490658503988659,0.5,-3.3928
-0.03490658503988659,-0.017453292519943295,0.5,-1.6195
-0.03490658503988659,0.0,0.5,0.0171
-0.03490658503988659,0.017453292519943295,0.5,1.6427
-0.03490658503988659,0.03490658503988659,0.5,3.3928
-0.017453292519943295,-0.03490658503988659,0.5,-5.9238
-0.017453292519943295,-0.017453292519943295,0.5,-3.5422
-0.017453292519943295,0.0,0.5,0.0026
-0.017453292519943295,0.017453292519943295,0.5,3.5422
-0.017453292519943295,0.03490658503988659,0.5,5.9165
0.0,-0.03490658503988659,0.5,-7.0817
0.0,-0.017453292519943295,0.5,-4.3009
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,4.3009
0.0,0.03490658503988659,0.5,7.0817
0.017453292519943295,-0.03490658503988659,0.5,-5.9166
0.017453292519943295,-0.017453292519943295,0.5,-3.5422
0.017453292519943295,0.0,0.5,-0.0026
0.017453292519943295,0.017453292519943295,0.5,3.5422
0.017453292519943295,0.03490658503988659,0.5,5.9238
0.03490658503988659,-0.03490658503988659,0.5,-3.3928
0.03490658503988659,-0.017453292519943295,0.5,-1.6426
0.03490658503988659,0.0,0.5,-0.0171
0.03490658503988659,0.017453292519943295,0.5,1.6195
0.03490658503988659,0.03490658503988659,0.5,3.3928
-0.03490658503988659,-0.03490658503988659,0.75,-2.7538
-0.03490658503988659,-0.017453292519943295,0.75,-1.3117
-0.03490658503988659,0.0,0.75,0.0141
-0.03490658503988659,0.017453292519943295,0.75,1.3307
-0.03490658503988659,0.03490658503988659,0.75,2.7538
-0.017453292519943295,-0.03490658503988659,0.75,-4.9144
-0.017453292519943295,-0.017453292519943295,0.75,-2.9513
-0.017453292519943295,0.0,0.75,0.0022
-0.017453292519943295,0.017453292519943295,0.75,2.9513
-0.017453292519943295,0.03490658503988659,0.75,4.9085
0.0,-0.03490658503988659,0.75,-5.9006
0.0,-0.017453292519943295,0.75,-3.6
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,3.6
0.0,0.03490658503988659,0.75,5.9006
0.017453292519943295,-0.03490658503988659,0.75,-4.9085
0.017453292519943295,-0.017453292519943295,0.75,-2.9513
0.017453292519943295,0.0,0.75,-0.0022
0.017453292519943295,0.017453292519943295,0.75,2.9513
0.017453292519943295,0.03490658503988659,0.75,4.9144
0.03490658503988659,-0.03490658503988659,0.75,-2.7538
0.03490658503988659,-0.017453292519943295,0.75,-1.3306
0.03490658503988659,0.0,0.75,-0.0141
0.03490658503988659,0.017453292519943295,0.75,1.3117
0.03490658503988659,0.03490658503988659,0.75,2.7538
-0.03490658503988659,-0.03490658503988659,1,-2.3081
-0.03490658503988659,-0.017453292519943295,1,-1.0962
-0.03490658503988659,0.0,1,0.0123
-0.03490658503988659,0.017453292519943295,1,1.1127
-0.03490658503988659,0.03490658503988659,1,2.3081
-0.017453292519943295,-0.03490658503988659,1,-4.2653
-0.017453292519943295,-0.017453292519943295,1,-2.5816
-0.017453292519943295,0.0,1,0.0019
-0.017453292519943295,0.017453292519943295,1,2.5816
-0.017453292519943295,0.03490658503988659,1,4.2604
0.0,-0.03490658503988659,1,-5.1616
0.0,-0.017453292519943295,1,-3.1674
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,3.1675
0.0,0.03490658503988659,1,5.1616
0.017453292519943295,-0.03490658503988659,1,-4.2604
0.017453292519943295,-0.017453292519943295,1,-2.5816
0.017453292519943295,0.0,1,-0.0019
0.017453292519943295,0.017453292519943295,1,2.5816
0.017453292519943295,0.03490658503988659,1,4.2653
0.03490658503988659,-0.03490658503988659,1,-2.3081
0.03490658503988659,-0.017453292519943295,1,-1.1127
0.03490658503988659,0.0,1,-0.0124
0.03490658503988659,0.017453292519943295,1,1.0962
0.03490658503988659,0.03490658503988659,1,2.3081
