alpha,beta,mach,Cnr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,702.1694
-0.03490658503988659,-0.017453292519943295,0.01,868.6436
-0.03490658503988659,0.0,0.01,-1087.2578
-0.03490658503988659,0.017453292519943295,0.01,888.0343
-0.03490658503988659,0.03490658503988659,0.01,702.1695
-0.017453292519943295,-0.03490658503988659,0.01,426.3466
-0.017453292519943295,-0.017453292519943295,0.01,705.0004
-0.017453292519943295,0.0,0.01,-1090.4279
-0.017453292519943295,0.017453292519943295,0.01,705.0005
-0.017453292519943295,0.03490658503988659,0.01,477.737
0.0,-0.03490658503988659,0.01,-99.3061
0.0,-0.017453292519943295,0.01,-75.935
0.0,0.0,0.01,-1092.0031
0.0,0.017453292519943295,0.01,-19.0737
0.0,0.03490658503988659,0.01,4.7575
0.017453292519943295,-0.03490658503988659,0.01,-572.2856
0.017453292519943295,-0.017453292519943295,0.01,-800.0091
0.017453292519943295,0.0,0.01,-1090.4277
0.017453292519943295,0.017453292519943295,0.01,-800.009
0.017453292519943295,0.03490658503988659,0.01,-520.8952
0.03490658503988659,-0.03490658503988659,0.01,-796.718
0.03490658503988659,-0.017453292519943295,0.01,-983.0428
0.03490658503988659,0.0,0.01,-1087.2581
0.03490658503988659,0.017453292519943295,0.01,-963.6521
0.03490658503988659,0.03490658503988659,0.01,-796.7181
-0.03490658503988659,-0.03490658503988659,0.1,701.6728
-0.03490658503988659,-0.017453292519943295,0.1,868.2974
-0.03490658503988659,0.0,0.1,-1088.3134
-0.03490658503988659,0.017453292519943295,0.1,887.8234
-0.03490658503988659,0.03490658503988659,0.1,701.6729
-0.017453292519943295,-0.03490658503988659,0.1,425.822
-0.017453292519943295,-0.017453292519943295,0.1,704.4927
-0.017453292519943295,0.0,0.1,-1091.5709
-0.017453292519943295,0.017453292519943295,0.1,704.4927
-0.017453292519943295,0.03490658503988659,0.1,477.0008
0.0,-0.03490658503988659,0.1,-99.5897
0.0,-0.017453292519943295,0.1,-76.324
0.0,0.0,0.1,-1093.1881
0.0,0.017453292519943295,0.1,-19.7751
0.0,0.03490658503988659,0.1,3.9578
0.017453292519943295,-0.03490658503988659,0.1,-572.6325
0.017453292519943295,-0.017453292519943295,0.1,-800.5918
0.017453292519943295,0.0,0.1,-1091.5708
0.017453292519943295,0.017453292519943295,0.1,-800.5917
0.017453292519943295,0.03490658503988659,0.1,-521.4539
0.03490658503988659,-0.03490658503988659,0.1,-797.3046
0.03490658503988659,-0.017453292519943295,0.1,-983.9224
0.03490658503988659,0.0,0.1,-1088.3134
0.03490658503988659,0.017453292519943295,0.1,-964.3964
0.03490658503988659,0.03490658503988659,0.1,-797.3045
-0.03490658503988659,-0.03490658503988659,0.2,700.4301
-0.03490658503988659,-0.017453292519943295,0.2,867.4604
-0.03490658503988659,0.0,0.2,-1091.3163
-0.03490658503988659,0.017453292519943295,0.2,887.2272
-0.03490658503988659,0.03490658503988659,0.2,700.4302
-0.017453292519943295,-0.03490658503988659,0.2,424.3987
-0.017453292519943295,-0.017453292519943295,0.2,703.216
-0.017453292519943295,0.0,0.2,-1094.7695
-0.017453292519943295,0.017453292519943295,0.2,703.2162
-0.017453292519943295,0.03490658503988659,0.2,475.1025
0.0,-0.03490658503988659,0.2,-100.5225
0.0,-0.017453292519943295,0.2,-77.4969
0.0,0.0,0.2,-1096.5062
0.0,0.017453292519943295,0.2,-21.9521
0.0,0.03490658503988659,0.2,1.5591
0.017453292519943295,-0.03490658503988659,0.2,-574.0659
0.017453292519943295,-0.017453292519943295,0.2,-802.6652
0.017453292519943295,0.0,0.2,-1094.7694
0.017453292519943295,0.017453292519943295,0.2,-802.6652
0.017453292519943295,0.03490658503988659,0.2,-523.362
0.03490658503988659,-0.03490658503988659,0.2,-799.3935
0.03490658503988659,-0.017453292519943295,0.2,-986.6762
0.03490658503988659,0.0,0.2,-1091.3163
0.03490658503988659,0.017453292519943295,0.2,-966.9094
0.03490658503988659,0.03490658503988659,0.2,-799.3934
-0.03490658503988659,-0.03490658503988659,0.5,692.4799
-0.03490658503988659,-0.017453292519943295,0.5,863.7722
-0.03490658503988659,0.0,0.5,-1119.9451
-0.03490658503988659,0.017453292519943295,0.5,886.6733
-0.03490658503988659,0.03490658503988659,0.5,692.4799
-0.017453292519943295,-0.03490658503988659,0.5,415.0322
-0.017453292519943295,-0.017453292519943295,0.5,694.9963
-0.017453292519943295,0.0,0.5,-1124.9749
-0.017453292519943295,0.017453292519943295,0.5,694.9964
-0.017453292519943295,0.03490658503988659,0.5,460.4423
0.0,-0.03490658503988659,0.5,-107.7881
0.0,-0.017453292519943295,0.5,-86.9364
0.0,0.0,0.5,-1127.4993
0.0,0.017453292519943295,0.5,-37.7967
0.0,0.03490658503988659,0.5,-16.3277
0.017453292519943295,-0.03490658503988659,0.5,-584.5582
0.017453292519943295,-0.017453292519943295,0.5,-819.7295
0.017453292519943295,0.0,0.5,-1124.9747
0.017453292519943295,0.017453292519943295,0.5,-819.7294
0.017453292519943295,0.03490658503988659,0.5,-539.1481
0.03490658503988659,-0.03490658503988659,0.5,-816.5956
0.03490658503988659,-0.017453292519943295,0.5,-1011.4064
0.03490658503988659,0.0,0.5,-1119.9451
0.03490658503988659,0.017453292519943295,0.5,-988.5052
0.03490658503988659,0.03490658503988659,0.5,-816.5957
-0.03490658503988659,-0.03490658503988659,0.75,648.7332
-0.03490658503988659,-0.017453292519943295,0.75,822.6207
-0.03490658503988659,0.0,0.75,-1124.2737
-0.03490658503988659,0.017453292519943295,0.75,845.6982
-0.03490658503988659,0.03490658503988659,0.75,648.7334
-0.017453292519943295,-0.03490658503988659,0.75,380.0901
-0.017453292519943295,-0.017453292519943295,0.75,650.8887
-0.017453292519943295,0.0,0.75,-1129.4749
-0.017453292519943295,0.017453292519943295,0.75,650.8887
-0.017453292519943295,0.03490658503988659,0.75,411.7339
0.0,-0.03490658503988659,0.75,-117.874
0.0,-0.017453292519943295,0.75,-102.9073
0.0,0.0,0.75,-1131.9177
0.0,0.017453292519943295,0.75,-65.5145
0.0,0.03490658503988659,0.75,-49.7051
0.017453292519943295,-0.03490658503988659,0.75,-579.313
0.017453292519943295,-0.017453292519943295,0.75,-819.3105
0.017453292519943295,0.0,0.75,-1129.4749
0.017453292519943295,0.017453292519943295,0.75,-819.3104
0.017453292519943295,0.03490658503988659,0.75,-547.6692
0.03490658503988659,-0.03490658503988659,0.75,-816.3124
0.03490658503988659,-0.017453292519943295,0.75,-1014.1197
0.03490658503988659,0.0,0.75,-1124.2734
