alpha,beta,mach,CDp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.042738861814420215
-0.03490658503988659,-0.017453292519943295,0.01,0.04237007675557721
-0.03490658503988659,0.0,0.01,0.044577127138104494
-0.03490658503988659,0.017453292519943295,0.01,0.04248873929835595
-0.03490658503988659,0.03490658503988659,0.01,0.042738861814420215
-0.017453292519943295,-0.03490658503988659,0.01,0.042491251097335925
-0.017453292519943295,-0.017453292519943295,0.01,0.02229898669439437
-0.017453292519943295,0.0,0.01,0.013509907823101167
-0.017453292519943295,0.017453292519943295,0.01,0.02229898669439437
-0.017453292519943295,0.03490658503988659,0.01,0.04237262629703078
0.0,-0.03490658503988659,0.01,0.044577127138104494
0.0,-0.017453292519943295,0.01,0.013509907823101167
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,0.013509907823101167
0.0,0.03490658503988659,0.01,0.044577127138104494
0.017453292519943295,-0.03490658503988659,0.01,0.04237262629703078
0.017453292519943295,-0.017453292519943295,0.01,0.02229898669439437
0.017453292519943295,0.0,0.01,0.013509907823101167
0.017453292519943295,0.017453292519943295,0.01,0.02229898669439437
0.017453292519943295,0.03490658503988659,0.01,0.042491251097335925
0.03490658503988659,-0.03490658503988659,0.01,0.042738861814420215
0.03490658503988659,-0.017453292519943295,0.01,0.04248873929835595
0.03490658503988659,0.0,0.01,0.044577127138104494
0.03490658503988659,0.017453292519943295,0.01,0.04237007675557721
0.03490658503988659,0.03490658503988659,0.01,0.042738861814420215
-0.03490658503988659,-0.03490658503988659,0.1,0.04286446173485443
-0.03490658503988659,-0.017453292519943295,0.1,0.04247825297034535
-0.03490658503988659,0.0,0.1,0.04468182562821199
-0.03490658503988659,0.017453292519943295,0.1,0.04259866075376781
-0.03490658503988659,0.03490658503988659,0.1,0.04286446173485443
-0.017453292519943295,-0.03490658503988659,0.1,0.04259943315835494
-0.017453292519943295,-0.017453292519943295,0.1,0.02235133992657717
-0.017453292519943295,0.0,0.1,0.013544812635975734
-0.017453292519943295,0.017453292519943295,0.1,0.02235133992657717
-0.017453292519943295,0.03490658503988659,0.1,0.0424808083580498
0.0,-0.03490658503988659,0.1,0.04468182562821199
0.0,-0.017453292519943295,0.1,0.013544812635975734
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,0.013544812635975734
0.0,0.03490658503988659,0.1,0.04468182562821199
0.017453292519943295,-0.03490658503988659,0.1,0.0424808083580498
0.017453292519943295,-0.017453292519943295,0.1,0.02235133992657717
0.017453292519943295,0.0,0.1,0.013544812635975734
0.017453292519943295,0.017453292519943295,0.1,0.02235133992657717
0.017453292519943295,0.03490658503988659,0.1,0.04259943315835494
0.03490658503988659,-0.03490658503988659,0.1,0.04286446173485443
0.03490658503988659,-0.017453292519943295,0.1,0.042596915513124084
0.03490658503988659,0.0,0.1,0.04468182562821199
0.03490658503988659,0.017453292519943295,0.1,0.04247825297034535
0.03490658503988659,0.03490658503988659,0.1,0.04286446173485443
-0.03490658503988659,-0.03490658503988659,0.2,0.04293075164474179
-0.03490658503988659,-0.017453292519943295,0.2,0.04252885112801868
-0.03490658503988659,0.0,0.2,0.04473068492359549
-0.03490658503988659,0.017453292519943295,0.2,0.042647513670797416
-0.03490658503988659,0.03490658503988659,0.2,0.04293423946842899
-0.017453292519943295,-0.03490658503988659,0.2,0.04265003503653904
-0.017453292519943295,-0.017453292519943295,0.2,0.022375771434929144
-0.017453292519943295,0.0,0.2,0.013564010283056746
-0.017453292519943295,0.017453292519943295,0.2,0.022375771434929144
-0.017453292519943295,0.03490658503988659,0.2,0.042529666058743615
0.0,-0.03490658503988659,0.2,0.04473068492359549
0.0,-0.017453292519943295,0.2,0.013562265042413018
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,0.013564010283056746
0.0,0.03490658503988659,0.2,0.04473068492359549
0.017453292519943295,-0.03490658503988659,0.2,0.0425314102362339
0.017453292519943295,-0.017453292519943295,0.2,0.022375771434929144
0.017453292519943295,0.0,0.2,0.013562265042413018
0.017453292519943295,0.017453292519943295,0.2,0.022375771434929144
0.017453292519943295,0.03490658503988659,0.2,0.04265003503653904
0.03490658503988659,-0.03490658503988659,0.2,0.042927261695071536
0.03490658503988659,-0.017453292519943295,0.2,0.042647513670797416
0.03490658503988659,0.0,0.2,0.04473068492359549
0.03490658503988659,0.017453292519943295,0.2,0.04252885112801868
0.03490658503988659,0.03490658503988659,0.2,0.04293075164474179
-0.03490658503988659,-0.03490658503988659,0.5,0.04231321763961538
-0.03490658503988659,-0.017453292519943295,0.5,0.04195306843076379
-0.03490658503988659,0.0,0.5,0.044175782926025725
-0.03490658503988659,0.017453292519943295,0.5,0.042069985732898794
-0.03490658503988659,0.03490658503988659,0.5,0.04231321763961538
-0.017453292519943295,-0.03490658503988659,0.5,0.042072492220078965
-0.017453292519943295,-0.017453292519943295,0.5,0.022096554196620873
-0.017453292519943295,0.0,0.5,0.013415664828339837
-0.017453292519943295,0.017453292519943295,0.5,0.022096554196620873
-0.017453292519943295,0.03490658503988659,0.5,0.04195561159726411
0.0,-0.03490658503988659,0.5,0.044175782926025725
0.0,-0.017453292519943295,0.5,0.013415664828339837
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,0.013415664828339837
0.0,0.03490658503988659,0.5,0.044175782926025725
0.017453292519943295,-0.03490658503988659,0.5,0.04195561159726411
0.017453292519943295,-0.017453292519943295,0.5,0.022096554196620873
0.017453292519943295,0.0,0.5,0.013415664828339837
0.017453292519943295,0.017453292519943295,0.5,0.022096554196620873
0.017453292519943295,0.03490658503988659,0.5,0.042072492220078965
0.03490658503988659,-0.03490658503988659,0.5,0.04231321763961538
0.03490658503988659,-0.017453292519943295,0.5,0.042069985732898794
0.03490658503988659,0.0,0.5,0.044175782926025725
0.03490658503988659,0.017453292519943295,0.5,0.04195306843076379
0.03490658503988659,0.03490658503988659,0.5,0.04231321763961538
-0.03490658503988659,-0.03490658503988659,0.75,0.03443531151904715
-0.03490658503988659,-0.017453292519943295,0.75,0.03479598266016934
-0.03490658503988659,0.0,0.75,0.03690272781322452
-0.03490658503988659,0.017453292519943295,0.75,0.03489370444153023
-0.03490658503988659,0.03490658503988659,0.75,0.03443531151904715
-0.017453292519943295,-0.03490658503988659,0.75,0.0348958500602176
-0.017453292519943295,-0.017453292519943295,0.75,0.018459749667655633
-0.017453292519943295,0.0,0.75,0.011258547392691593
