alpha,beta,mach,CLq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-114.1856987583149
-0.03490658503988659,-0.017453292519943295,0.01,-148.18207646010617
-0.03490658503988659,0.0,0.01,195.91977821616192
-0.03490658503988659,0.017453292519943295,0.01,-148.18207646010617
-0.03490658503988659,0.03490658503988659,0.01,-114.1855988192322
-0.017453292519943295,-0.03490658503988659,0.01,-70.21680401159547
-0.017453292519943295,-0.017453292519943295,0.01,-115.95593665898926
-0.017453292519943295,0.0,0.01,200.78611464391247
-0.017453292519943295,0.017453292519943295,0.01,-115.95593665898926
-0.017453292519943295,0.03490658503988659,0.01,-70.21680401159547
0.0,-0.03490658503988659,0.01,21.394
0.0,-0.017453292519943295,0.01,20.3016
0.0,0.0,0.01,206.1721
0.0,0.017453292519943295,0.01,20.3016
0.0,0.03490658503988659,0.01,21.394
0.017453292519943295,-0.03490658503988659,0.01,112.99838717671666
0.017453292519943295,-0.017453292519943295,0.01,156.55295259496324
0.017453292519943295,0.0,0.01,210.93456874974984
0.017453292519943295,0.017453292519943295,0.01,156.55295259496324
0.017453292519943295,0.03490658503988659,0.01,112.99838717671666
0.03490658503988659,-0.03490658503988659,0.01,156.94763346480795
0.03490658503988659,-0.017453292519943295,0.01,188.7605420877279
0.03490658503988659,0.0,0.01,214.48446221886863
0.03490658503988659,0.017453292519943295,0.01,188.7605420877279
0.03490658503988659,0.03490658503988659,0.01,156.94763346480795
-0.03490658503988659,-0.03490658503988659,0.1,-114.10954517729604
-0.03490658503988659,-0.017453292519943295,0.1,-148.1783787140462
-0.03490658503988659,0.0,0.1,196.0656892769067
-0.03490658503988659,0.017453292519943295,0.1,-148.1783787140462
-0.03490658503988659,0.03490658503988659,0.1,-114.10954517729604
-0.017453292519943295,-0.03490658503988659,0.1,-70.14101555630262
-0.017453292519943295,-0.017453292519943295,0.1,-115.9249413804394
-0.017453292519943295,0.0,0.1,200.92969277293693
-0.017453292519943295,0.017453292519943295,0.1,-115.9249413804394
-0.017453292519943295,0.03490658503988659,0.1,-70.14101555630262
0.0,-0.03490658503988659,0.1,21.4028
0.0,-0.017453292519943295,0.1,20.3051
0.0,0.0,0.1,206.2957
0.0,0.017453292519943295,0.1,20.3051
0.0,0.03490658503988659,0.1,21.4028
0.017453292519943295,-0.03490658503988659,0.1,112.94019604085855
0.017453292519943295,-0.017453292519943295,0.1,156.5289562502795
0.017453292519943295,0.0,0.1,211.02285530123217
0.017453292519943295,0.017453292519943295,0.1,156.5289562502795
0.017453292519943295,0.03490658503988659,0.1,112.94019604085855
