alpha,beta,mach,Cmq [1/rad]
0.03490658503988659,0.017453292519943295,0.1,-992.3648
0.03490658503988659,0.03490658503988659,0.1,-807.3136
-0.03490658503988659,-0.03490658503988659,0.2,709.119
-0.03490658503988659,-0.017453292519943295,0.2,894.7081
-0.03490658503988659,0.0,0.2,-1040.2755
-0.03490658503988659,0.017453292519943295,0.2,894.7081
-0.03490658503988659,0.03490658503988659,0.2,709.1189
-0.017453292519943295,-0.03490658503988659,0.2,462.5499
-0.017453292519943295,-0.017453292519943295,0.2,713.2395
-0.017453292519943295,0.0,0.2,-1066.9971
-0.017453292519943295,0.017453292519943295,0.2,713.2394
-0.017453292519943295,0.03490658503988659,0.2,462.5498
0.0,-0.03490658503988659,0.2,-49.4816
0.0,-0.017453292519943295,0.2,-49.7245
0.0,0.0,0.2,-1096.5062
0.0,0.017453292519943295,0.2,-49.7245
0.0,0.03490658503988659,0.2,-49.4817
0.017453292519943295,-0.03490658503988659,0.2,-561.5132
0.017453292519943295,-0.017453292519943295,0.2,-812.6885
0.017453292519943295,0.0,0.2,-1122.5419
0.017453292519943295,0.017453292519943295,0.2,-812.6884
0.017453292519943295,0.03490658503988659,0.2,-561.5132
0.03490658503988659,-0.03490658503988659,0.2,-808.0823
0.03490658503988659,-0.017453292519943295,0.2,-994.1573
0.03490658503988659,0.0,0.2,-1142.3572
0.03490658503988659,0.017453292519943295,0.2,-994.1573
0.03490658503988659,0.03490658503988659,0.2,-808.0823
-0.03490658503988659,-0.03490658503988659,0.5,688.4423
-0.03490658503988659,-0.017453292519943295,0.5,884.2657
-0.03490658503988659,0.0,0.5,-1074.215
-0.03490658503988659,0.017453292519943295,0.5,884.2657
-0.03490658503988659,0.03490658503988659,0.5,688.4421
-0.017453292519943295,-0.03490658503988659,0.5,442.2396
-0.017453292519943295,-0.017453292519943295,0.5,698.7458
-0.017453292519943295,0.0,0.5,-1100.4053
-0.017453292519943295,0.017453292519943295,0.5,698.7459
-0.017453292519943295,0.03490658503988659,0.5,442.2395
0.0,-0.03490658503988659,0.5,-62.0579
0.0,-0.017453292519943295,0.5,-62.3665
0.0,0.0,0.5,-1127.4993
0.0,0.017453292519943295,0.5,-62.3666
0.0,0.03490658503988659,0.5,-62.058
0.017453292519943295,-0.03490658503988659,0.5,-566.3553
0.017453292519943295,-0.017453292519943295,0.5,-823.4789
0.017453292519943295,0.0,0.5,-1149.5446
0.017453292519943295,0.017453292519943295,0.5,-823.4789
0.017453292519943295,0.03490658503988659,0.5,-566.3555
0.03490658503988659,-0.03490658503988659,0.5,-812.5578
0.03490658503988659,-0.017453292519943295,0.5,-1008.9988
0.03490658503988659,0.0,0.5,-1165.6752
0.03490658503988659,0.017453292519943295,0.5,-1008.9987
0.03490658503988659,0.03490658503988659,0.5,-812.5578
-0.03490658503988659,-0.03490658503988659,0.75,632.5905
-0.03490658503988659,-0.017453292519943295,0.75,833.485
-0.03490658503988659,0.0,0.75,-1090.1892
-0.03490658503988659,0.017453292519943295,0.75,833.485
-0.03490658503988659,0.03490658503988659,0.75,632.5905
-0.017453292519943295,-0.03490658503988659,0.75,391.2649
-0.017453292519943295,-0.017453292519943295,0.75,648.2493
-0.017453292519943295,0.0,0.75,-1110.7786
-0.017453292519943295,0.017453292519943295,0.75,648.2492
-0.017453292519943295,0.03490658503988659,0.75,391.2649
0.0,-0.03490658503988659,0.75,-83.7895
0.0,-0.017453292519943295,0.75,-84.2109
0.0,0.0,0.75,-1131.918
0.0,0.017453292519943295,0.75,-84.2109
0.0,0.03490658503988659,0.75,-83.7896
0.017453292519943295,-0.03490658503988659,0.75,-558.8439
0.017453292519943295,-0.017453292519943295,0.75,-816.671
0.017453292519943295,0.0,0.75,-1148.1711
0.017453292519943295,0.017453292519943295,0.75,-816.671
0.017453292519943295,0.03490658503988659,0.75,-558.8439
0.03490658503988659,-0.03490658503988659,0.75,-800.1694
0.03490658503988659,-0.017453292519943295,0.75,-1001.9066
0.03490658503988659,0.0,0.75,-1158.3579
0.03490658503988659,0.017453292519943295,0.75,-1001.9066
0.03490658503988659,0.03490658503988659,0.75,-800.1694
-0.03490658503988659,-0.03490658503988659,1,609.8964
-0.03490658503988659,-0.017453292519943295,1,811.7176
-0.03490658503988659,0.0,1,-1138.0894
-0.03490658503988659,0.017453292519943295,1,811.7176
-0.03490658503988659,0.03490658503988659,1,609.8962
-0.017453292519943295,-0.03490658503988659,1,360.3727
-0.017453292519943295,-0.017453292519943295,1,623.1862
-0.017453292519943295,0.0,1,-1155.0131
-0.017453292519943295,0.017453292519943295,1,623.1861
-0.017453292519943295,0.03490658503988659,1,360.3726
0.0,-0.03490658503988659,1,-117.3034
0.0,-0.017453292519943295,1,-117.6971
0.0,0.0,1,-1172.215
0.0,0.017453292519943295,1,-117.6972
0.0,0.03490658503988659,1,-117.3034
0.017453292519943295,-0.03490658503988659,1,-594.9795
0.017453292519943295,-0.017453292519943295,1,-858.5804
0.017453292519943295,0.0,1,-1184.9863
0.017453292519943295,0.017453292519943295,1,-858.5805
0.017453292519943295,0.03490658503988659,1,-594.9795
0.03490658503988659,-0.03490658503988659,1,-844.5031
0.03490658503988659,-0.017453292519943295,1,-1047.1118
0.03490658503988659,0.0,1,-1193.0377
0.03490658503988659,0.017453292519943295,1,-1047.1119
0.03490658503988659,0.03490658503988659,1,-844.5031
