alpha,beta,mach,Cm0 [-]
0.03490658503988659,0.017453292519943295,0.75,-2.5246
0.03490658503988659,0.03490658503988659,0.75,-2.5821
-0.03490658503988659,-0.03490658503988659,1,2.8519
-0.03490658503988659,-0.017453292519943295,1,2.8041
-0.03490658503988659,0.0,1,2.7843
-0.03490658503988659,0.017453292519943295,1,2.8041
-0.03490658503988659,0.03490658503988659,1,2.8519
-0.017453292519943295,-0.03490658503988659,1,1.4277
-0.017453292519943295,-0.017453292519943295,1,1.3973
-0.017453292519943295,0.0,1,1.387
-0.017453292519943295,0.017453292519943295,1,1.3973
-0.017453292519943295,0.03490658503988659,1,1.4277
0.0,-0.03490658503988659,1,0.0
0.0,-0.017453292519943295,1,0.0
0.0,0.0,1,0.0
0.0,0.017453292519943295,1,-0.0
0.0,0.03490658503988659,1,-0.0
0.017453292519943295,-0.03490658503988659,1,-1.4277
0.017453292519943295,-0.017453292519943295,1,-1.3973
0.017453292519943295,0.0,1,-1.387
0.017453292519943295,0.017453292519943295,1,-1.3973
0.017453292519943295,0.03490658503988659,1,-1.4277
0.03490658503988659,-0.03490658503988659,1,-2.8519
0.03490658503988659,-0.017453292519943295,1,-2.8041
0.03490658503988659,0.0,1,-2.7843
0.03490658503988659,0.017453292519943295,1,-2.8041
0.03490658503988659,0.03490658503988659,1,-2.8519
