alpha,beta,mach,CD0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.711081516744381
-0.03490658503988659,-0.026179938779914945,0.01,0.7015890224435836
-0.03490658503988659,-0.017453292519943295,0.01,0.6949291747881436
-0.03490658503988659,-0.008726646259971648,0.01,0.6908761943733236
-0.03490658503988659,0.0,0.01,0.6895245445508635
-0.03490658503988659,0.008726646259971648,0.01,0.6908761943733236
-0.03490658503988659,0.017453292519943295,0.01,0.6949291747881436
-0.03490658503988659,0.026179938779914945,0.01,0.7015890224435836
-0.03490658503988659,0.03490658503988659,0.01,0.711081516744381
-0.026179938779914945,-0.03490658503988659,0.01,0.7015889372120103
-0.026179938779914945,-0.026179938779914945,0.01,0.6924398949895327
-0.026179938779914945,-0.017453292519943295,0.01,0.6858843027852842
-0.026179938779914945,-0.008726646259971648,0.01,0.6819786228313766
-0.026179938779914945,0.0,0.01,0.6806816041674651
-0.026179938779914945,0.008726646259971648,0.01,0.6819786228313766
-0.026179938779914945,0.017453292519943295,0.01,0.6858843027852842
-0.026179938779914945,0.026179938779914945,0.01,0.6924398949895327
-0.026179938779914945,0.03490658503988659,0.01,0.7015889372120103
-0.017453292519943295,-0.03490658503988659,0.01,0.6949291065075489
-0.017453292519943295,-0.026179938779914945,0.01,0.6858842861837842
-0.017453292519943295,-0.017453292519943295,0.01,0.6796106628850613
-0.017453292519943295,-0.008726646259971648,0.01,0.6757299420642617
-0.017453292519943295,0.0,0.01,0.6744771882332766
-0.017453292519943295,0.008726646259971648,0.01,0.6757299420642617
-0.017453292519943295,0.017453292519943295,0.01,0.6796106628850613
-0.017453292519943295,0.026179938779914945,0.01,0.6858842861837842
-0.017453292519943295,0.03490658503988659,0.01,0.6949291065075489
-0.008726646259971648,-0.03490658503988659,0.01,0.6908761721052027
-0.008726646259971648,-0.026179938779914945,0.01,0.6819786161309446
-0.008726646259971648,-0.017453292519943295,0.01,0.6757299409309072
-0.008726646259971648,-0.008726646259971648,0.01,0.6720307877839193
-0.008726646259971648,0.0,0.01,0.670809308456789
-0.008726646259971648,0.008726646259971648,0.01,0.6720307877839193
-0.008726646259971648,0.017453292519943295,0.01,0.6757299409309072
-0.008726646259971648,0.026179938779914945,0.01,0.6819786161309446
-0.008726646259971648,0.03490658503988659,0.01,0.6908761721052027
0.0,-0.03490658503988659,0.01,0.6895245445508635
0.0,-0.026179938779914945,0.01,0.6806816041674651
0.0,-0.017453292519943295,0.01,0.6744771882332766
0.0,-0.008726646259971648,0.01,0.670809308456789
0.0,0.0,0.01,0.6695
0.0,0.008726646259971648,0.01,0.670809308456789
0.0,0.017453292519943295,0.01,0.6744771882332766
0.0,0.026179938779914945,0.01,0.6806816041674651
0.0,0.03490658503988659,0.01,0.6895245445508635
0.008726646259971648,-0.03490658503988659,0.01,0.6908761721052027
0.008726646259971648,-0.026179938779914945,0.01,0.6819786161309446
0.008726646259971648,-0.017453292519943295,0.01,0.6757299409309072
0.008726646259971648,-0.008726646259971648,0.01,0.6720307877839193
0.008726646259971648,0.0,0.01,0.670809308456789
0.008726646259971648,0.008726646259971648,0.01,0.6720307877839193
0.008726646259971648,0.017453292519943295,0.01,0.6757299409309072
0.008726646259971648,0.026179938779914945,0.01,0.6819786161309446
0.008726646259971648,0.03490658503988659,0.01,0.6908761721052027
0.017453292519943295,-0.03490658503988659,0.01,0.6949291065075489
0.017453292519943295,-0.026179938779914945,0.01,0.6858842861837842
0.017453292519943295,-0.017453292519943295,0.01,0.6796106628850613
0.017453292519943295,-0.008726646259971648,0.01,0.6757299420642617
0.017453292519943295,0.0,0.01,0.6744771882332766
0.017453292519943295,0.008726646259971648,0.01,0.6757299420642617
0.017453292519943295,0.017453292519943295,0.01,0.6796106628850613
0.017453292519943295,0.026179938779914945,0.01,0.6858842861837842
0.017453292519943295,0.03490658503988659,0.01,0.6949291065075489
0.026179938779914945,-0.03490658503988659,0.01,0.7015889372120103
0.026179938779914945,-0.026179938779914945,0.01,0.6924398949895327
0.026179938779914945,-0.017453292519943295,0.01,0.6858843027852842
0.026179938779914945,-0.008726646259971648,0.01,0.6819786228313766
0.026179938779914945,0.0,0.01,0.6806816041674651
0.026179938779914945,0.008726646259971648,0.01,0.6819786228313766
0.026179938779914945,0.017453292519943295,0.01,0.6858843027852842
0.026179938779914945,0.026179938779914945,0.01,0.6924398949895327
0.026179938779914945,0.03490658503988659,0.01,0.7015889372120103
0.03490658503988659,-0.03490658503988659,0.01,0.711081516744381
0.03490658503988659,-0.026179938779914945,0.01,0.7015890224435836
0.03490658503988659,-0.017453292519943295,0.01,0.6949291747881436
