alpha,beta,mach,Cl_0 [-]
0.03490658503988659,-0.017453292519943295,0.4,-0.0
0.03490658503988659,-0.008726646259971648,0.4,-0.0
0.03490658503988659,0.0,0.4,0.0
0.03490658503988659,0.008726646259971648,0.4,0.0
0.03490658503988659,0.017453292519943295,0.4,0.0
0.03490658503988659,0.026179938779914945,0.4,0.0
0.03490658503988659,0.03490658503988659,0.4,-0.0
-0.03490658503988659,-0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.026179938779914945,0.5,0.0
-0.03490658503988659,-0.017453292519943295,0.5,0.0
-0.03490658503988659,-0.008726646259971648,0.5,0.0
-0.03490658503988659,0.0,0.5,-0.0
-0.03490658503988659,0.008726646259971648,0.5,-0.0
-0.03490658503988659,0.017453292519943295,0.5,-0.0
-0.03490658503988659,0.026179938779914945,0.5,-0.0
-0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.026179938779914945,-0.03490658503988659,0.5,-0.0
-0.026179938779914945,-0.026179938779914945,0.5,-0.0
-0.026179938779914945,-0.017453292519943295,0.5,0.0
-0.026179938779914945,-0.008726646259971648,0.5,0.0
-0.026179938779914945,0.0,0.5,0.0
-0.026179938779914945,0.008726646259971648,0.5,-0.0
-0.026179938779914945,0.017453292519943295,0.5,-0.0
-0.026179938779914945,0.026179938779914945,0.5,-0.0
-0.026179938779914945,0.03490658503988659,0.5,0.0
-0.017453292519943295,-0.03490658503988659,0.5,-0.0
-0.017453292519943295,-0.026179938779914945,0.5,-0.0
-0.017453292519943295,-0.017453292519943295,0.5,-0.0
-0.017453292519943295,-0.008726646259971648,0.5,0.0
-0.017453292519943295,0.0,0.5,-0.0
-0.017453292519943295,0.008726646259971648,0.5,-0.0
-0.017453292519943295,0.017453292519943295,0.5,-0.0
-0.017453292519943295,0.026179938779914945,0.5,0.0
-0.017453292519943295,0.03490658503988659,0.5,0.0
-0.008726646259971648,-0.03490658503988659,0.5,-0.0
-0.008726646259971648,-0.026179938779914945,0.5,-0.0
-0.008726646259971648,-0.017453292519943295,0.5,-0.0
-0.008726646259971648,-0.008726646259971648,0.5,-0.0
-0.008726646259971648,0.0,0.5,-0.0
-0.008726646259971648,0.008726646259971648,0.5,-0.0
-0.008726646259971648,0.017453292519943295,0.5,0.0
-0.008726646259971648,0.026179938779914945,0.5,0.0
-0.008726646259971648,0.03490658503988659,0.5,0.0
0.0,-0.03490658503988659,0.5,-0.0
0.0,-0.026179938779914945,0.5,-0.0
0.0,-0.017453292519943295,0.5,0.0
0.0,-0.008726646259971648,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.008726646259971648,0.5,-0.0
0.0,0.017453292519943295,0.5,0.0
0.0,0.026179938779914945,0.5,0.0
0.0,0.03490658503988659,0.5,0.0
0.008726646259971648,-0.03490658503988659,0.5,0.0
0.008726646259971648,-0.026179938779914945,0.5,0.0
0.008726646259971648,-0.017453292519943295,0.5,0.0
0.008726646259971648,-0.008726646259971648,0.5,0.0
0.008726646259971648,0.0,0.5,0.0
0.008726646259971648,0.008726646259971648,0.5,-0.0
0.008726646259971648,0.017453292519943295,0.5,-0.0
0.008726646259971648,0.026179938779914945,0.5,-0.0
0.008726646259971648,0.03490658503988659,0.5,-0.0
0.017453292519943295,-0.03490658503988659,0.5,0.0
0.017453292519943295,-0.026179938779914945,0.5,0.0
0.017453292519943295,-0.017453292519943295,0.5,-0.0
0.017453292519943295,-0.008726646259971648,0.5,-0.0
0.017453292519943295,0.0,0.5,0.0
0.017453292519943295,0.008726646259971648,0.5,0.0
0.017453292519943295,0.017453292519943295,0.5,-0.0
0.017453292519943295,0.026179938779914945,0.5,-0.0
0.017453292519943295,0.03490658503988659,0.5,-0.0
0.026179938779914945,-0.03490658503988659,0.5,0.0
0.026179938779914945,-0.026179938779914945,0.5,-0.0
0.026179938779914945,-0.017453292519943295,0.5,-0.0
0.026179938779914945,-0.008726646259971648,0.5,-0.0
0.026179938779914945,0.0,0.5,0.0
0.026179938779914945,0.008726646259971648,0.5,0.0
0.026179938779914945,0.017453292519943295,0.5,0.0
0.026179938779914945,0.026179938779914945,0.5,-0.0
0.026179938779914945,0.03490658503988659,0.5,-0.0
0.03490658503988659,-0.03490658503988659,0.5,0.0
0.03490658503988659,-0.026179938779914945,0.5,-0.0
0.03490658503988659,-0.017453292519943295,0.5,-0.0
0.03490658503988659,-0.008726646259971648,0.5,-0.0
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.008726646259971648,0.5,0.0
0.03490658503988659,0.017453292519943295,0.5,0.0
0.03490658503988659,0.026179938779914945,0.5,0.0
0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.03490658503988659,0.6,-0.0
-0.03490658503988659,-0.026179938779914945,0.6,0.0
-0.03490658503988659,-0.017453292519943295,0.6,0.0
-0.03490658503988659,-0.008726646259971648,0.6,0.0
-0.03490658503988659,0.0,0.6,-0.0
-0.03490658503988659,0.008726646259971648,0.6,-0.0
-0.03490658503988659,0.017453292519943295,0.6,-0.0
-0.03490658503988659,0.026179938779914945,0.6,-0.0
-0.03490658503988659,0.03490658503988659,0.6,-0.0
-0.026179938779914945,-0.03490658503988659,0.6,-0.0
-0.026179938779914945,-0.026179938779914945,0.6,-0.0
-0.026179938779914945,-0.017453292519943295,0.6,0.0
-0.026179938779914945,-0.008726646259971648,0.6,0.0
-0.026179938779914945,0.0,0.6,-0.0
-0.026179938779914945,0.008726646259971648,0.6,-0.0
-0.026179938779914945,0.017453292519943295,0.6,-0.0
-0.026179938779914945,0.026179938779914945,0.6,-0.0
-0.026179938779914945,0.03490658503988659,0.6,0.0
-0.017453292519943295,-0.03490658503988659,0.6,-0.0
-0.017453292519943295,-0.026179938779914945,0.6,-0.0
-0.017453292519943295,-0.017453292519943295,0.6,-0.0
-0.017453292519943295,-0.008726646259971648,0.6,0.0
-0.017453292519943295,0.0,0.6,-0.0
-0.017453292519943295,0.008726646259971648,0.6,-0.0
-0.017453292519943295,0.017453292519943295,0.6,-0.0
-0.017453292519943295,0.026179938779914945,0.6,0.0
-0.017453292519943295,0.03490658503988659,0.6,0.0
-0.008726646259971648,-0.03490658503988659,0.6,-0.0
-0.008726646259971648,-0.026179938779914945,0.6,-0.0
-0.008726646259971648,-0.017453292519943295,0.6,-0.0
-0.008726646259971648,-0.008726646259971648,0.6,-0.0
-0.008726646259971648,0.0,0.6,-0.0
-0.008726646259971648,0.008726646259971648,0.6,-0.0
-0.008726646259971648,0.017453292519943295,0.6,0.0
-0.008726646259971648,0.026179938779914945,0.6,0.0
-0.008726646259971648,0.03490658503988659,0.6,0.0
0.0,-0.03490658503988659,0.6,0.0
0.0,-0.026179938779914945,0.6,0.0
0.0,-0.017453292519943295,0.6,0.0
0.0,-0.008726646259971648,0.6,0.0
0.0,0.0,0.6,0.0
0.0,0.008726646259971648,0.6,-0.0
0.0,0.017453292519943295,0.6,0.0
