alpha,beta,mach,Cnq [1/rad]
0.008726646259971648,-0.026179938779914945,0.01,-1006.2499
0.008726646259971648,-0.017453292519943295,0.01,-938.1294
0.008726646259971648,-0.008726646259971648,0.01,-760.2911
0.008726646259971648,0.0,0.01,0.0001
0.008726646259971648,0.008726646259971648,0.01,760.2913
0.008726646259971648,0.017453292519943295,0.01,938.1296
0.008726646259971648,0.026179938779914945,0.01,1006.2499
0.008726646259971648,0.03490658503988659,0.01,1040.3542
0.017453292519943295,-0.03490658503988659,0.01,-944.3563
0.017453292519943295,-0.026179938779914945,0.01,-876.425
0.017453292519943295,-0.017453292519943295,0.01,-763.4222
0.017453292519943295,-0.008726646259971648,0.01,-513.6031
0.017453292519943295,0.0,0.01,0.0001
0.017453292519943295,0.008726646259971648,0.01,513.6032
0.017453292519943295,0.017453292519943295,0.01,763.4222
0.017453292519943295,0.026179938779914945,0.01,876.425
0.017453292519943295,0.03490658503988659,0.01,944.3563
0.026179938779914945,-0.03490658503988659,0.01,-843.8973
0.026179938779914945,-0.026179938779914945,0.01,-763.2191
0.026179938779914945,-0.017453292519943295,0.01,-624.8255
0.026179938779914945,-0.008726646259971648,0.01,-370.8004
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,370.8005
0.026179938779914945,0.017453292519943295,0.01,624.8255
0.026179938779914945,0.026179938779914945,0.01,763.2191
0.026179938779914945,0.03490658503988659,0.01,843.8975
0.03490658503988659,-0.03490658503988659,0.01,-759.9071
0.03490658503988659,-0.026179938779914945,0.01,-666.9557
0.03490658503988659,-0.017453292519943295,0.01,-513.2662
0.03490658503988659,-0.008726646259971648,0.01,-285.9441
0.03490658503988659,0.0,0.01,0.0001
0.03490658503988659,0.008726646259971648,0.01,285.9441
0.03490658503988659,0.017453292519943295,0.01,513.2663
0.03490658503988659,0.026179938779914945,0.01,666.9559
0.03490658503988659,0.03490658503988659,0.01,759.9072
-0.03490658503988659,-0.03490658503988659,0.1,-759.4977
-0.03490658503988659,-0.026179938779914945,0.1,-666.5308
-0.03490658503988659,-0.017453292519943295,0.1,-512.8698
-0.03490658503988659,-0.008726646259971648,0.1,-285.6428
-0.03490658503988659,0.0,0.1,0.0001
-0.03490658503988659,0.008726646259971648,0.1,285.6426
-0.03490658503988659,0.017453292519943295,0.1,512.8696
-0.03490658503988659,0.026179938779914945,0.1,666.5308
-0.03490658503988659,0.03490658503988659,0.1,759.4978
-0.026179938779914945,-0.03490658503988659,0.1,-843.6464
-0.026179938779914945,-0.026179938779914945,0.1,-762.9207
-0.026179938779914945,-0.017453292519943295,0.1,-624.4948
-0.026179938779914945,-0.008726646259971648,0.1,-370.5317
-0.026179938779914945,0.0,0.1,-0.0
-0.026179938779914945,0.008726646259971648,0.1,370.5317
-0.026179938779914945,0.017453292519943295,0.1,624.4949
-0.026179938779914945,0.026179938779914945,0.1,762.9208
-0.026179938779914945,0.03490658503988659,0.1,843.6464
-0.017453292519943295,-0.03490658503988659,0.1,-944.3151
-0.017453292519943295,-0.026179938779914945,0.1,-876.3309
-0.017453292519943295,-0.017453292519943295,0.1,-763.236
-0.017453292519943295,-0.008726646259971648,0.1,-513.3648
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.008726646259971648,0.1,513.3647
-0.017453292519943295,0.017453292519943295,0.1,763.2361
-0.017453292519943295,0.026179938779914945,0.1,876.3309
-0.017453292519943295,0.03490658503988659,0.1,944.3156
-0.008726646259971648,-0.03490658503988659,0.1,-1040.5789
-0.008726646259971648,-0.026179938779914945,0.1,-1006.4463
-0.008726646259971648,-0.017453292519943295,0.1,-938.2542
-0.008726646259971648,-0.008726646259971648,0.1,-760.2164
-0.008726646259971648,0.0,0.1,0.0
-0.008726646259971648,0.008726646259971648,0.1,760.2166
-0.008726646259971648,0.017453292519943295,0.1,938.2543
-0.008726646259971648,0.026179938779914945,0.1,1006.4465
-0.008726646259971648,0.03490658503988659,0.1,1040.5789
0.0,-0.03490658503988659,0.1,-1091.907
0.0,-0.026179938779914945,0.1,-1082.8505
0.0,-0.017453292519943295,0.1,-1071.665
0.0,-0.008726646259971648,0.1,-1058.8938
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,1058.894
0.0,0.017453292519943295,0.1,1071.6652
0.0,0.026179938779914945,0.1,1082.8505
0.0,0.03490658503988659,0.1,1091.907
0.008726646259971648,-0.03490658503988659,0.1,-1040.5786
0.008726646259971648,-0.026179938779914945,0.1,-1006.4463
0.008726646259971648,-0.017453292519943295,0.1,-938.2543
0.008726646259971648,-0.008726646259971648,0.1,-760.2163
0.008726646259971648,0.0,0.1,0.0
0.008726646259971648,0.008726646259971648,0.1,760.2166
0.008726646259971648,0.017453292519943295,0.1,938.2542
0.008726646259971648,0.026179938779914945,0.1,1006.4464
0.008726646259971648,0.03490658503988659,0.1,1040.5786
0.017453292519943295,-0.03490658503988659,0.1,-944.3152
0.017453292519943295,-0.026179938779914945,0.1,-876.3307
0.017453292519943295,-0.017453292519943295,0.1,-763.2361
0.017453292519943295,-0.008726646259971648,0.1,-513.3646
0.017453292519943295,0.0,0.1,0.0001
0.017453292519943295,0.008726646259971648,0.1,513.3646
0.017453292519943295,0.017453292519943295,0.1,763.236
0.017453292519943295,0.026179938779914945,0.1,876.3309
0.017453292519943295,0.03490658503988659,0.1,944.3153
0.026179938779914945,-0.03490658503988659,0.1,-843.6464
0.026179938779914945,-0.026179938779914945,0.1,-762.9207
0.026179938779914945,-0.017453292519943295,0.1,-624.4948
0.026179938779914945,-0.008726646259971648,0.1,-370.5316
0.026179938779914945,0.0,0.1,0.0001
0.026179938779914945,0.008726646259971648,0.1,370.5317
0.026179938779914945,0.017453292519943295,0.1,624.4948
0.026179938779914945,0.026179938779914945,0.1,762.9207
0.026179938779914945,0.03490658503988659,0.1,843.6466
0.03490658503988659,-0.03490658503988659,0.1,-759.4977
0.03490658503988659,-0.026179938779914945,0.1,-666.5307
0.03490658503988659,-0.017453292519943295,0.1,-512.8694
0.03490658503988659,-0.008726646259971648,0.1,-285.6425
0.03490658503988659,0.0,0.1,0.0
0.03490658503988659,0.008726646259971648,0.1,285.6427
0.03490658503988659,0.017453292519943295,0.1,512.8696
0.03490658503988659,0.026179938779914945,0.1,666.5306
0.03490658503988659,0.03490658503988659,0.1,759.4978
-0.03490658503988659,-0.03490658503988659,0.2,-758.6005
-0.03490658503988659,-0.026179938779914945,0.2,-665.5981
-0.03490658503988659,-0.017453292519943295,0.2,-512.0317
-0.03490658503988659,-0.008726646259971648,0.2,-285.1375
-0.03490658503988659,0.0,0.2,0.0001
-0.03490658503988659,0.008726646259971648,0.2,285.1374
-0.03490658503988659,0.017453292519943295,0.2,512.0317
-0.03490658503988659,0.026179938779914945,0.2,665.5983
-0.03490658503988659,0.03490658503988659,0.2,758.6007
-0.026179938779914945,-0.03490658503988659,0.2,-843.1871
-0.026179938779914945,-0.026179938779914945,0.2,-762.3349
-0.026179938779914945,-0.017453292519943295,0.2,-623.83
-0.026179938779914945,-0.008726646259971648,0.2,-370.1111
-0.026179938779914945,0.0,0.2,0.0
-0.026179938779914945,0.008726646259971648,0.2,370.111
-0.026179938779914945,0.017453292519943295,0.2,623.83
-0.026179938779914945,0.026179938779914945,0.2,762.335
-0.026179938779914945,0.03490658503988659,0.2,843.1871
-0.017453292519943295,-0.03490658503988659,0.2,-944.4329
-0.017453292519943295,-0.026179938779914945,0.2,-876.306
-0.017453292519943295,-0.017453292519943295,0.2,-762.9639
-0.017453292519943295,-0.008726646259971648,0.2,-512.994
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.008726646259971648,0.2,512.994
-0.017453292519943295,0.017453292519943295,0.2,762.964
-0.017453292519943295,0.026179938779914945,0.2,876.306
-0.017453292519943295,0.03490658503988659,0.2,944.4329
-0.008726646259971648,-0.03490658503988659,0.2,-1041.4762
-0.008726646259971648,-0.026179938779914945,0.2,-1007.2576
-0.008726646259971648,-0.017453292519943295,0.2,-938.8607
-0.008726646259971648,-0.008726646259971648,0.2,-760.2679
-0.008726646259971648,0.0,0.2,0.0001
-0.008726646259971648,0.008726646259971648,0.2,760.268
-0.008726646259971648,0.017453292519943295,0.2,938.8608
-0.008726646259971648,0.026179938779914945,0.2,1007.2578
-0.008726646259971648,0.03490658503988659,0.2,1041.4762
0.0,-0.03490658503988659,0.2,-1092.4968
