alpha,beta,mach,CL0 [-]
0.026179938779914945,0.03490658503988659,0.01,0.43591909571679166
0.03490658503988659,-0.03490658503988659,0.01,0.5838646534544782
0.03490658503988659,-0.026179938779914945,0.01,0.5739706842669892
0.03490658503988659,-0.017453292519943295,0.01,0.566072006783868
0.03490658503988659,-0.008726646259971648,0.01,0.5607752354006669
0.03490658503988659,0.0,0.01,0.5588763928293305
0.03490658503988659,0.008726646259971648,0.01,0.5607752354006669
0.03490658503988659,0.017453292519943295,0.01,0.566072006783868
0.03490658503988659,0.026179938779914945,0.01,0.5739706842669892
0.03490658503988659,0.03490658503988659,0.01,0.5838646534544782
-0.03490658503988659,-0.03490658503988659,0.1,-0.5914895566369031
-0.03490658503988659,-0.026179938779914945,0.1,-0.5815920974997438
-0.03490658503988659,-0.017453292519943295,0.1,-0.573696909966293
-0.03490658503988659,-0.008726646259971648,0.1,-0.5684001385830917
-0.03490658503988659,0.0,0.1,-0.5665012960117555
-0.03490658503988659,0.008726646259971648,0.1,-0.5684001385830917
-0.03490658503988659,0.017453292519943295,0.1,-0.573696909966293
-0.03490658503988659,0.026179938779914945,0.1,-0.5815920974997438
-0.03490658503988659,0.03490658503988659,0.1,-0.5914895566369031
-0.026179938779914945,-0.03490658503988659,0.1,-0.44158576064632604
-0.026179938779914945,-0.026179938779914945,0.1,-0.4330886733840338
-0.026179938779914945,-0.017453292519943295,0.1,-0.42629100357419997
-0.026179938779914945,-0.008726646259971648,0.1,-0.4216925798793124
-0.026179938779914945,0.0,0.1,-0.4200931281593515
-0.026179938779914945,0.008726646259971648,0.1,-0.4216925798793124
-0.026179938779914945,0.017453292519943295,0.1,-0.42629100357419997
-0.026179938779914945,0.026179938779914945,0.1,-0.4330886733840338
-0.026179938779914945,0.03490658503988659,0.1,-0.44158576064632604
-0.017453292519943295,-0.03490658503988659,0.1,-0.2932811181550721
-0.017453292519943295,-0.026179938779914945,0.1,-0.2869820776755868
-0.017453292519943295,-0.017453292519943295,0.1,-0.28188285443028926
-0.017453292519943295,-0.008726646259971648,0.1,-0.2785833570362731
-0.017453292519943295,0.0,0.1,-0.27738353980208547
-0.017453292519943295,0.008726646259971648,0.1,-0.2785833570362731
-0.017453292519943295,0.017453292519943295,0.1,-0.28188285443028926
-0.017453292519943295,0.026179938779914945,0.1,-0.2869820776755868
-0.017453292519943295,0.03490658503988659,0.1,-0.2932811181550721
-0.008726646259971648,-0.03490658503988659,0.1,-0.14630763665496285
-0.008726646259971648,-0.026179938779914945,0.1,-0.14280776992423824
-0.008726646259971648,-0.017453292519943295,0.1,-0.14010787273196498
-0.008726646259971648,-0.008726646259971648,0.1,-0.1383088139239993
-0.008726646259971648,0.0,0.1,-0.13760884057785439
-0.008726646259971648,0.008726646259971648,0.1,-0.1383088139239993
-0.008726646259971648,0.017453292519943295,0.1,-0.14010787273196498
-0.008726646259971648,0.026179938779914945,0.1,-0.14280776992423824
-0.008726646259971648,0.03490658503988659,0.1,-0.14630763665496285
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.026179938779914945,0.1,-0.0
0.0,-0.017453292519943295,0.1,-0.0
0.0,-0.008726646259971648,0.1,-0.0
0.0,0.0,0.1,-0.0
0.0,0.008726646259971648,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.026179938779914945,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.008726646259971648,-0.03490658503988659,0.1,0.14630763665496285
0.008726646259971648,-0.026179938779914945,0.1,0.14280776992423824
0.008726646259971648,-0.017453292519943295,0.1,0.14010787273196498
0.008726646259971648,-0.008726646259971648,0.1,0.1383088139239993
0.008726646259971648,0.0,0.1,0.13760884057785439
0.008726646259971648,0.008726646259971648,0.1,0.1383088139239993
0.008726646259971648,0.017453292519943295,0.1,0.14010787273196498
0.008726646259971648,0.026179938779914945,0.1,0.14280776992423824
0.008726646259971648,0.03490658503988659,0.1,0.14630763665496285
0.017453292519943295,-0.03490658503988659,0.1,0.2932811181550721
0.017453292519943295,-0.026179938779914945,0.1,0.2869820776755868
0.017453292519943295,-0.017453292519943295,0.1,0.28188285443028926
0.017453292519943295,-0.008726646259971648,0.1,0.2785833570362731
0.017453292519943295,0.0,0.1,0.27738353980208547
0.017453292519943295,0.008726646259971648,0.1,0.2785833570362731
0.017453292519943295,0.017453292519943295,0.1,0.28188285443028926
0.017453292519943295,0.026179938779914945,0.1,0.2869820776755868
0.017453292519943295,0.03490658503988659,0.1,0.2932811181550721
0.026179938779914945,-0.03490658503988659,0.1,0.44158576064632604
0.026179938779914945,-0.026179938779914945,0.1,0.4330886733840338
0.026179938779914945,-0.017453292519943295,0.1,0.42629100357419997
0.026179938779914945,-0.008726646259971648,0.1,0.4216925798793124
0.026179938779914945,0.0,0.1,0.4200931281593515
0.026179938779914945,0.008726646259971648,0.1,0.4216925798793124
0.026179938779914945,0.017453292519943295,0.1,0.42629100357419997
0.026179938779914945,0.026179938779914945,0.1,0.4330886733840338
0.026179938779914945,0.03490658503988659,0.1,0.44158576064632604
0.03490658503988659,-0.03490658503988659,0.1,0.5914895566369031
0.03490658503988659,-0.026179938779914945,0.1,0.5815920974997438
0.03490658503988659,-0.017453292519943295,0.1,0.573696909966293
0.03490658503988659,-0.008726646259971648,0.1,0.5684001385830917
0.03490658503988659,0.0,0.1,0.5665012960117555
0.03490658503988659,0.008726646259971648,0.1,0.5684001385830917
0.03490658503988659,0.017453292519943295,0.1,0.573696909966293
