alpha,beta,mach,CLp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-0.6121268815491961
-0.03490658503988659,-0.026179938779914945,0.01,-0.8536796444397116
-0.03490658503988659,-0.017453292519943295,0.01,-1.066649829677481
-0.03490658503988659,-0.008726646259971648,0.01,-1.2184572963016815
-0.03490658503988659,0.0,0.01,-1.2765219033514912
-0.03490658503988659,0.008726646259971648,0.01,-1.219256808963297
-0.03490658503988659,0.017453292519943295,0.01,-1.0679490377526057
-0.03490658503988659,0.026179938779914945,0.01,-0.8548789134321345
-0.03490658503988659,0.03490658503988659,0.01,-0.6121268815491961
-0.026179938779914945,-0.03490658503988659,0.01,-0.4510453850289714
-0.026179938779914945,-0.026179938779914945,0.01,-0.6815663641683349
-0.026179938779914945,-0.017453292519943295,0.01,-0.8852965269983536
-0.026179938779914945,-0.008726646259971648,0.01,-1.0247487238324438
-0.026179938779914945,0.0,0.01,-1.0732321040937585
-0.026179938779914945,0.008726646259971648,0.01,-1.0253485182274291
-0.026179938779914945,0.017453292519943295,0.01,-0.8859962871258363
-0.026179938779914945,0.026179938779914945,0.01,-0.6815663641683349
-0.026179938779914945,0.03490658503988659,0.01,-0.4489461046465228
-0.017453292519943295,-0.03490658503988659,0.01,-0.2979546131566046
-0.017453292519943295,-0.026179938779914945,0.01,-0.4811267109092555
-0.017453292519943295,-0.017453292519943295,0.01,-0.6388026924354184
-0.017453292519943295,-0.008726646259971648,0.01,-0.7398872944157295
-0.017453292519943295,0.0,0.01,-0.7739821008205625
-0.017453292519943295,0.008726646259971648,0.01,-0.7401872487242764
-0.017453292519943295,0.017453292519943295,0.01,-0.6388026924354184
-0.017453292519943295,0.026179938779914945,0.01,-0.4797269241360365
-0.017453292519943295,0.03490658503988659,0.01,-0.29375525283694776
-0.008726646259971648,-0.03490658503988659,0.01,-0.1498942922673193
-0.008726646259971648,-0.026179938779914945,0.01,-0.2534903474967674
-0.008726646259971648,-0.017453292519943295,0.01,-0.33438726707265887
-0.008726646259971648,-0.008726646259971648,0.01,-0.3872852528027535
-0.008726646259971648,0.0,0.01,-0.4065845179178921
-0.008726646259971648,0.008726646259971648,0.01,-0.3872852528027535
-0.008726646259971648,0.017453292519943295,0.01,-0.33368729372651396
-0.008726646259971648,0.026179938779914945,0.01,-0.2508904464968006
-0.008726646259971648,0.03490658503988659,0.01,-0.1441945093058535
0.0,-0.03490658503988659,0.01,-0.0031
0.0,-0.026179938779914945,0.01,-0.0015
0.0,-0.017453292519943295,0.01,-0.0005
0.0,-0.008726646259971648,0.01,-0.0001
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,0.0001
0.0,0.017453292519943295,0.01,0.0005
0.0,0.026179938779914945,0.01,0.0015
0.0,0.03490658503988659,0.01,0.0031
0.008726646259971648,-0.03490658503988659,0.01,0.1441945093058535
0.008726646259971648,-0.026179938779914945,0.01,0.2508904464968006
0.008726646259971648,-0.017453292519943295,0.01,0.33368729372651396
0.008726646259971648,-0.008726646259971648,0.01,0.3872852528027535
0.008726646259971648,0.0,0.01,0.4065845179178921
0.008726646259971648,0.008726646259971648,0.01,0.3872852528027535
0.008726646259971648,0.017453292519943295,0.01,0.33438726707265887
0.008726646259971648,0.026179938779914945,0.01,0.2534903474967674
0.008726646259971648,0.03490658503988659,0.01,0.1498942922673193
0.017453292519943295,-0.03490658503988659,0.01,0.29375525283694776
0.017453292519943295,-0.026179938779914945,0.01,0.4797269241360365
0.017453292519943295,-0.017453292519943295,0.01,0.6388026924354184
0.017453292519943295,-0.008726646259971648,0.01,0.7401872487242764
0.017453292519943295,0.0,0.01,0.7739821008205625
0.017453292519943295,0.008726646259971648,0.01,0.7398872944157295
0.017453292519943295,0.017453292519943295,0.01,0.6388026924354184
0.017453292519943295,0.026179938779914945,0.01,0.4811267109092555
0.017453292519943295,0.03490658503988659,0.01,0.2979546131566046
0.026179938779914945,-0.03490658503988659,0.01,0.4489461046465228
0.026179938779914945,-0.026179938779914945,0.01,0.6815663641683349
0.026179938779914945,-0.017453292519943295,0.01,0.8859962871258363
0.026179938779914945,-0.008726646259971648,0.01,1.0253485182274291
0.026179938779914945,0.0,0.01,1.0732321040937585
0.026179938779914945,0.008726646259971648,0.01,1.0247487238324438
0.026179938779914945,0.017453292519943295,0.01,0.8852965269983536
0.026179938779914945,0.026179938779914945,0.01,0.6815663641683349
0.026179938779914945,0.03490658503988659,0.01,0.4510453850289714
0.03490658503988659,-0.03490658503988659,0.01,0.6121268815491961
0.03490658503988659,-0.026179938779914945,0.01,0.8548789134321345
0.03490658503988659,-0.017453292519943295,0.01,1.0679490377526057
0.03490658503988659,-0.008726646259971648,0.01,1.219256808963297
0.03490658503988659,0.0,0.01,1.2765219033514912
0.03490658503988659,0.008726646259971648,0.01,1.2184572963016815
0.03490658503988659,0.017453292519943295,0.01,1.066649829677481
0.03490658503988659,0.026179938779914945,0.01,0.8536796444397116
0.03490658503988659,0.03490658503988659,0.01,0.6121268815491961
-0.03490658503988659,-0.03490658503988659,0.1,-0.6139257850378305
-0.03490658503988659,-0.026179938779914945,0.1,-0.8559782433418556
-0.03490658503988659,-0.017453292519943295,0.1,-1.0693481849104325
-0.03490658503988659,-0.008726646259971648,0.1,-1.2214554687827388
-0.03490658503988659,0.0,0.1,-1.2795200758325482
-0.03490658503988659,0.008726646259971648,0.1,-1.2222549814443542
-0.03490658503988659,0.017453292519943295,0.1,-1.0706473929855571
-0.03490658503988659,0.026179938779914945,0.1,-0.8571775123342784
-0.03490658503988659,0.03490658503988659,0.1,-0.6139257850378305
-0.026179938779914945,-0.03490658503988659,0.1,-0.4523449395514397
-0.026179938779914945,-0.026179938779914945,0.1,-0.6832657816207934
