alpha,beta,mach,Cl_r [1/rad]
0.0,0.026179938779914945,0.01,0.1821
0.0,0.03490658503988659,0.01,0.2671
0.008726646259971648,-0.03490658503988659,0.01,0.3903
0.008726646259971648,-0.026179938779914945,0.01,0.34
0.008726646259971648,-0.017453292519943295,0.01,0.2289
0.008726646259971648,-0.008726646259971648,0.01,0.0
0.008726646259971648,0.0,0.01,0.1253
0.008726646259971648,0.008726646259971648,0.01,0.0
0.008726646259971648,0.017453292519943295,0.01,-0.2615
0.008726646259971648,0.026179938779914945,0.01,-0.2459
0.008726646259971648,0.03490658503988659,0.01,-0.1437
0.017453292519943295,-0.03490658503988659,0.01,0.2148
0.017453292519943295,-0.026179938779914945,0.01,0.1108
0.017453292519943295,-0.017453292519943295,0.01,0.0
0.017453292519943295,-0.008726646259971648,0.01,-0.2615
0.017453292519943295,0.0,0.01,0.1486
0.017453292519943295,0.008726646259971648,0.01,0.2289
0.017453292519943295,0.017453292519943295,0.01,0.0
0.017453292519943295,0.026179938779914945,0.01,-0.1639
0.017453292519943295,0.03490658503988659,0.01,-0.2587
0.026179938779914945,-0.03490658503988659,0.01,0.082
0.026179938779914945,-0.026179938779914945,0.01,0.0
0.026179938779914945,-0.017453292519943295,0.01,-0.1639
0.026179938779914945,-0.008726646259971648,0.01,-0.2459
0.026179938779914945,0.0,0.01,0.1821
0.026179938779914945,0.008726646259971648,0.01,0.34
0.026179938779914945,0.017453292519943295,0.01,0.1108
0.026179938779914945,0.026179938779914945,0.01,0.0
0.026179938779914945,0.03490658503988659,0.01,-0.1223
0.03490658503988659,-0.03490658503988659,0.01,0.0
0.03490658503988659,-0.026179938779914945,0.01,-0.1223
0.03490658503988659,-0.017453292519943295,0.01,-0.2587
0.03490658503988659,-0.008726646259971648,0.01,-0.1437
0.03490658503988659,0.0,0.01,0.2671
0.03490658503988659,0.008726646259971648,0.01,0.3904
0.03490658503988659,0.017453292519943295,0.01,0.2148
0.03490658503988659,0.026179938779914945,0.01,0.082
0.03490658503988659,0.03490658503988659,0.01,0.0
-0.03490658503988659,-0.03490658503988659,0.1,0.0
-0.03490658503988659,-0.026179938779914945,0.1,0.0687
-0.03490658503988659,-0.017453292519943295,0.1,0.1874
-0.03490658503988659,-0.008726646259971648,0.1,0.3489
-0.03490658503988659,0.0,0.1,-0.2351
-0.03490658503988659,0.008726646259971648,0.1,-0.1234
-0.03490658503988659,0.017453292519943295,0.1,-0.2307
-0.03490658503988659,0.026179938779914945,0.1,-0.1089
-0.03490658503988659,0.03490658503988659,0.1,0.0
-0.026179938779914945,-0.03490658503988659,0.1,-0.1089
-0.026179938779914945,-0.026179938779914945,0.1,0.0
-0.026179938779914945,-0.017453292519943295,0.1,0.0929
-0.026179938779914945,-0.008726646259971648,0.1,0.3031
-0.026179938779914945,0.0,0.1,-0.1588
-0.026179938779914945,0.008726646259971648,0.1,-0.2197
-0.026179938779914945,0.017453292519943295,0.1,-0.1461
-0.026179938779914945,0.026179938779914945,0.1,0.0
-0.026179938779914945,0.03490658503988659,0.1,0.0686
-0.017453292519943295,-0.03490658503988659,0.1,-0.2307
-0.017453292519943295,-0.026179938779914945,0.1,-0.1461
-0.017453292519943295,-0.017453292519943295,0.1,0.0
-0.017453292519943295,-0.008726646259971648,0.1,0.2035
-0.017453292519943295,0.0,0.1,-0.1265
-0.017453292519943295,0.008726646259971648,0.1,-0.234
-0.017453292519943295,0.017453292519943295,0.1,0.0
-0.017453292519943295,0.026179938779914945,0.1,0.0929
-0.017453292519943295,0.03490658503988659,0.1,0.1874
-0.008726646259971648,-0.03490658503988659,0.1,-0.1234
-0.008726646259971648,-0.026179938779914945,0.1,-0.2197
-0.008726646259971648,-0.017453292519943295,0.1,-0.234
-0.008726646259971648,-0.008726646259971648,0.1,0.0
-0.008726646259971648,0.0,0.1,-0.1044
-0.008726646259971648,0.008726646259971648,0.1,0.0
-0.008726646259971648,0.017453292519943295,0.1,0.2035
-0.008726646259971648,0.026179938779914945,0.1,0.3031
-0.008726646259971648,0.03490658503988659,0.1,0.3488
0.0,-0.03490658503988659,0.1,0.2351
0.0,-0.026179938779914945,0.1,0.1588
0.0,-0.017453292519943295,0.1,0.1265
0.0,-0.008726646259971648,0.1,0.1043
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,0.1043
0.0,0.017453292519943295,0.1,0.1265
0.0,0.026179938779914945,0.1,0.1588
0.0,0.03490658503988659,0.1,0.2351
0.008726646259971648,-0.03490658503988659,0.1,0.3488
0.008726646259971648,-0.026179938779914945,0.1,0.3031
0.008726646259971648,-0.017453292519943295,0.1,0.2035
0.008726646259971648,-0.008726646259971648,0.1,0.0
0.008726646259971648,0.0,0.1,0.1044
0.008726646259971648,0.008726646259971648,0.1,0.0
0.008726646259971648,0.017453292519943295,0.1,-0.234
0.008726646259971648,0.026179938779914945,0.1,-0.2197
0.008726646259971648,0.03490658503988659,0.1,-0.1234
0.017453292519943295,-0.03490658503988659,0.1,0.1874
0.017453292519943295,-0.026179938779914945,0.1,0.0929
0.017453292519943295,-0.017453292519943295,0.1,0.0
0.017453292519943295,-0.008726646259971648,0.1,-0.234
0.017453292519943295,0.0,0.1,0.1265
0.017453292519943295,0.008726646259971648,0.1,0.2035
0.017453292519943295,0.017453292519943295,0.1,0.0
0.017453292519943295,0.026179938779914945,0.1,-0.1461
0.017453292519943295,0.03490658503988659,0.1,-0.2307
0.026179938779914945,-0.03490658503988659,0.1,0.0686
0.026179938779914945,-0.026179938779914945,0.1,0.0
0.026179938779914945,-0.017453292519943295,0.1,-0.1461
0.026179938779914945,-0.008726646259971648,0.1,-0.2197
0.026179938779914945,0.0,0.1,0.1588
0.026179938779914945,0.008726646259971648,0.1,0.3031
0.026179938779914945,0.017453292519943295,0.1,0.0929
0.026179938779914945,0.026179938779914945,0.1,0.0
0.026179938779914945,0.03490658503988659,0.1,-0.1089
0.03490658503988659,-0.03490658503988659,0.1,0.0
0.03490658503988659,-0.026179938779914945,0.1,-0.1089
0.03490658503988659,-0.017453292519943295,0.1,-0.2307
0.03490658503988659,-0.008726646259971648,0.1,-0.1234
0.03490658503988659,0.0,0.1,0.2351
0.03490658503988659,0.008726646259971648,0.1,0.3489
0.03490658503988659,0.017453292519943295,0.1,0.1874
0.03490658503988659,0.026179938779914945,0.1,0.0686
0.03490658503988659,0.03490658503988659,0.1,0.0
-0.03490658503988659,-0.03490658503988659,0.2,0.0
-0.03490658503988659,-0.026179938779914945,0.2,0.055
-0.03490658503988659,-0.017453292519943295,0.2,0.1591
-0.03490658503988659,-0.008726646259971648,0.2,0.3042
-0.03490658503988659,0.0,0.2,-0.1991
-0.03490658503988659,0.008726646259971648,0.2,-0.1029
-0.03490658503988659,0.017453292519943295,0.2,-0.1989
-0.03490658503988659,0.026179938779914945,0.2,-0.0948
-0.03490658503988659,0.03490658503988659,0.2,0.0
-0.026179938779914945,-0.03490658503988659,0.2,-0.0948
-0.026179938779914945,-0.026179938779914945,0.2,0.0
-0.026179938779914945,-0.017453292519943295,0.2,0.0747
-0.026179938779914945,-0.008726646259971648,0.2,0.2639
-0.026179938779914945,0.0,0.2,-0.1352
-0.026179938779914945,0.008726646259971648,0.2,-0.1901
-0.026179938779914945,0.017453292519943295,0.2,-0.1272
-0.026179938779914945,0.026179938779914945,0.2,0.0
-0.026179938779914945,0.03490658503988659,0.2,0.055
-0.017453292519943295,-0.03490658503988659,0.2,-0.1989
-0.017453292519943295,-0.026179938779914945,0.2,-0.1272
-0.017453292519943295,-0.017453292519943295,0.2,0.0
-0.017453292519943295,-0.008726646259971648,0.2,0.1773
-0.017453292519943295,0.0,0.2,-0.1047
-0.017453292519943295,0.008726646259971648,0.2,-0.2039
-0.017453292519943295,0.017453292519943295,0.2,0.0
-0.017453292519943295,0.026179938779914945,0.2,0.0746
-0.017453292519943295,0.03490658503988659,0.2,0.1591
-0.008726646259971648,-0.03490658503988659,0.2,-0.103
-0.008726646259971648,-0.026179938779914945,0.2,-0.1901
-0.008726646259971648,-0.017453292519943295,0.2,-0.2039
-0.008726646259971648,-0.008726646259971648,0.2,0.0
-0.008726646259971648,0.0,0.2,-0.0828
-0.008726646259971648,0.008726646259971648,0.2,0.0
-0.008726646259971648,0.017453292519943295,0.2,0.1773
-0.008726646259971648,0.026179938779914945,0.2,0.2639
-0.008726646259971648,0.03490658503988659,0.2,0.3042
0.0,-0.03490658503988659,0.2,0.1991
0.0,-0.026179938779914945,0.2,0.1352
0.0,-0.017453292519943295,0.2,0.1047
0.0,-0.008726646259971648,0.2,0.0828
0.0,0.0,0.2,-0.0
0.0,0.008726646259971648,0.2,0.0828
0.0,0.017453292519943295,0.2,0.1047
0.0,0.026179938779914945,0.2,0.1352
0.0,0.03490658503988659,0.2,0.1991
0.008726646259971648,-0.03490658503988659,0.2,0.3042
0.008726646259971648,-0.026179938779914945,0.2,0.2639
0.008726646259971648,-0.017453292519943295,0.2,0.1773
0.008726646259971648,-0.008726646259971648,0.2,0.0
0.008726646259971648,0.0,0.2,0.0828
0.008726646259971648,0.008726646259971648,0.2,0.0
0.008726646259971648,0.017453292519943295,0.2,-0.2039
0.008726646259971648,0.026179938779914945,0.2,-0.1901
0.008726646259971648,0.03490658503988659,0.2,-0.103
0.017453292519943295,-0.03490658503988659,0.2,0.1591
0.017453292519943295,-0.026179938779914945,0.2,0.0746
0.017453292519943295,-0.017453292519943295,0.2,0.0
0.017453292519943295,-0.008726646259971648,0.2,-0.2039
0.017453292519943295,0.0,0.2,0.1047
0.017453292519943295,0.008726646259971648,0.2,0.1773
0.017453292519943295,0.017453292519943295,0.2,0.0
0.017453292519943295,0.026179938779914945,0.2,-0.1272
0.017453292519943295,0.03490658503988659,0.2,-0.1989
0.026179938779914945,-0.03490658503988659,0.2,0.055
0.026179938779914945,-0.026179938779914945,0.2,0.0
0.026179938779914945,-0.017453292519943295,0.2,-0.1272
0.026179938779914945,-0.008726646259971648,0.2,-0.1901
0.026179938779914945,0.0,0.2,0.1352
0.026179938779914945,0.008726646259971648,0.2,0.2639
0.026179938779914945,0.017453292519943295,0.2,0.0746
0.026179938779914945,0.026179938779914945,0.2,0.0
0.026179938779914945,0.03490658503988659,0.2,-0.0948
0.03490658503988659,-0.03490658503988659,0.2,0.0
0.03490658503988659,-0.026179938779914945,0.2,-0.0948
0.03490658503988659,-0.017453292519943295,0.2,-0.1989
0.03490658503988659,-0.008726646259971648,0.2,-0.1029
0.03490658503988659,0.0,0.2,0.1991
0.03490658503988659,0.008726646259971648,0.2,0.3042
0.03490658503988659,0.017453292519943295,0.2,0.1591
0.03490658503988659,0.026179938779914945,0.2,0.055
0.03490658503988659,0.03490658503988659,0.2,0.0
-0.03490658503988659,-0.03490658503988659,0.3,0.0
-0.03490658503988659,-0.026179938779914945,0.3,0.0428
-0.03490658503988659,-0.017453292519943295,0.3,0.1336
-0.03490658503988659,-0.008726646259971648,0.3,0.2619
-0.03490658503988659,0.0,0.3,-0.1648
-0.03490658503988659,0.008726646259971648,0.3,-0.0851
