alpha,beta,mach,CQq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,135.42742673722304
-0.03490658503988659,-0.026179938779914945,0.01,118.8969008175706
-0.03490658503988659,-0.017453292519943295,0.01,91.51711826611132
-0.03490658503988659,-0.008726646259971648,0.01,50.990359198423
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.008726646259971648,0.01,-50.990359198423
-0.03490658503988659,0.017453292519943295,0.01,-91.51711826611132
-0.03490658503988659,0.026179938779914945,0.01,-118.89690090892682
-0.03490658503988659,0.03490658503988659,0.01,-135.42742673722304
-0.026179938779914945,-0.03490658503988659,0.01,150.46075283254856
-0.026179938779914945,-0.026179938779914945,0.01,136.11384878995406
-0.026179938779914945,-0.017453292519943295,0.01,111.45592621266378
-0.026179938779914945,-0.008726646259971648,0.01,66.15101919946065
-0.026179938779914945,0.0,0.01,0.0
-0.026179938779914945,0.008726646259971648,0.01,-66.15091920326834
-0.026179938779914945,0.017453292519943295,0.01,-111.45592621266378
-0.026179938779914945,0.026179938779914945,0.01,-136.11384885847733
-0.026179938779914945,0.03490658503988659,0.01,-150.46065289346586
-0.017453292519943295,-0.03490658503988659,0.01,168.42849544298667
-0.017453292519943295,-0.026179938779914945,0.01,156.35219549223223
-0.017453292519943295,-0.017453292519943295,0.01,136.2190618499745
-0.017453292519943295,-0.008726646259971648,0.01,91.6548858711895
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.008726646259971648,0.01,-91.65488588641941
-0.017453292519943295,0.017453292519943295,0.01,-136.21906188043315
-0.017453292519943295,0.026179938779914945,0.01,-156.35219549223223
-0.017453292519943295,0.03490658503988659,0.01,-168.42859538206935
-0.008726646259971648,-0.03490658503988659,0.01,185.58782100614093
-0.008726646259971648,-0.026179938779914945,0.01,179.5495588339077
-0.008726646259971648,-0.017453292519943295,0.01,167.42469447046508
-0.008726646259971648,-0.008726646259971648,0.01,135.7016878217355
-0.008726646259971648,0.0,0.01,0.0
-0.008726646259971648,0.008726646259971648,0.01,-135.70168782935073
-0.008726646259971648,0.017453292519943295,0.01,-167.42469447046508
-0.008726646259971648,0.026179938779914945,0.01,-179.5495588339077
-0.008726646259971648,0.03490658503988659,0.01,-185.5878210365961
0.0,-0.03490658503988659,0.01,194.74909180139173
0.0,-0.026179938779914945,0.01,193.16838332872183
0.0,-0.017453292519943295,0.01,191.19017637441854
0.0,-0.008726646259971648,0.01,188.9134064824371
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-188.9134064824371
0.0,0.017453292519943295,0.01,-191.19017637441854
0.0,0.026179938779914945,0.01,-193.16838332872183
0.0,0.03490658503988659,0.01,-194.74909180139173
0.008726646259971648,-0.03490658503988659,0.01,185.57482953122224
0.008726646259971648,-0.026179938779914945,0.01,179.5400974374354
0.008726646259971648,-0.017453292519943295,0.01,167.41856942934038
0.008726646259971648,-0.008726646259971648,0.01,135.6987067361858
0.008726646259971648,0.0,0.01,0.0
0.008726646259971648,0.008726646259971648,0.01,-135.6987067361858
0.008726646259971648,0.017453292519943295,0.01,-167.41856942934038
0.008726646259971648,0.026179938779914945,0.01,-179.54009746027882
0.008726646259971648,0.03490658503988659,0.01,-185.57482953122224
0.017453292519943295,-0.03490658503988659,0.01,168.40251342159235
0.017453292519943295,-0.026179938779914945,0.01,156.3332734654947
0.017453292519943295,-0.017453292519943295,0.01,136.20681223417068
0.017453292519943295,-0.008726646259971648,0.01,91.64892394234126
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.008726646259971648,0.01,-91.64892392711135
0.017453292519943295,0.017453292519943295,0.01,-136.20681223417068
0.017453292519943295,0.026179938779914945,0.01,-156.3332734654947
