alpha,beta,mach,Cnr [1/rad]
-0.017453292519943295,-0.008726646259971648,0.1,874.6296
-0.017453292519943295,0.0,0.1,-1087.3861
-0.017453292519943295,0.008726646259971648,0.1,887.6155
-0.017453292519943295,0.017453292519943295,0.1,708.6244
-0.017453292519943295,0.026179938779914945,0.1,577.7071
-0.017453292519943295,0.03490658503988659,0.1,481.0057
-0.008726646259971648,-0.03490658503988659,0.1,195.3525
-0.008726646259971648,-0.026179938779914945,0.1,292.1261
-0.008726646259971648,-0.017453292519943295,0.1,446.6357
-0.008726646259971648,-0.008726646259971648,0.1,709.7415
-0.008726646259971648,0.0,0.1,-1088.3828
-0.008726646259971648,0.008726646259971648,0.1,709.7416
-0.008726646259971648,0.017453292519943295,0.1,475.7031
-0.008726646259971648,0.026179938779914945,0.1,347.298
-0.008726646259971648,0.03490658503988659,0.1,275.8001
0.0,-0.03490658503988659,0.1,-95.5847
0.0,-0.026179938779914945,0.1,-84.6891
0.0,-0.017453292519943295,0.1,-72.1924
0.0,-0.008726646259971648,0.1,-58.4749
0.0,0.0,0.1,-1089.0033
0.0,0.008726646259971648,0.1,-29.4624
0.0,0.017453292519943295,0.1,-15.6435
0.0,0.026179938779914945,0.1,-3.0386
0.0,0.03490658503988659,0.1,7.9628
0.008726646259971648,-0.03490658503988659,0.1,-363.4219
0.008726646259971648,-0.026179938779914945,0.1,-435.0255
0.008726646259971648,-0.017453292519943295,0.1,-563.5388
0.008726646259971648,-0.008726646259971648,0.1,-797.6789
0.008726646259971648,0.0,0.1,-1088.3828
0.008726646259971648,0.008726646259971648,0.1,-797.6788
0.008726646259971648,0.017453292519943295,0.1,-534.4716
0.008726646259971648,0.026179938779914945,0.1,-379.8538
0.008726646259971648,0.03490658503988659,0.1,-282.9742
0.017453292519943295,-0.03490658503988659,0.1,-568.6274
0.017453292519943295,-0.026179938779914945,0.1,-665.4346
0.017453292519943295,-0.017453292519943295,0.1,-796.4602
0.017453292519943295,-0.008726646259971648,0.1,-975.5528
0.017453292519943295,0.0,0.1,-1087.386
0.017453292519943295,0.008726646259971648,0.1,-962.5669
0.017453292519943295,0.017453292519943295,0.1,-796.4601
0.017453292519943295,0.026179938779914945,0.1,-640.9921
0.017453292519943295,0.03490658503988659,0.1,-517.4489
0.026179938779914945,-0.03490658503988659,0.1,-700.151
0.026179938779914945,-0.026179938779914945,0.1,-794.9708
0.026179938779914945,-0.017453292519943295,0.1,-913.9935
0.026179938779914945,-0.008726646259971648,0.1,-1036.7216
0.026179938779914945,0.0,0.1,-1086.0204
0.026179938779914945,0.008726646259971648,0.1,-1016.5787
0.026179938779914945,0.017453292519943295,0.1,-904.815
0.026179938779914945,0.026179938779914945,0.1,-794.9706
0.026179938779914945,0.03490658503988659,0.1,-682.8813
0.03490658503988659,-0.03490658503988659,0.1,-793.2996
0.03490658503988659,-0.026179938779914945,0.1,-882.8468
0.03490658503988659,-0.017453292519943295,0.1,-979.7907
0.03490658503988659,-0.008726646259971648,0.1,-1059.9496
0.03490658503988659,0.0,0.1,-1084.1285
0.03490658503988659,0.008726646259971648,0.1,-1038.6787
0.03490658503988659,0.017453292519943295,0.1,-960.2647
0.03490658503988659,0.026179938779914945,0.1,-880.6001
0.03490658503988659,0.03490658503988659,0.1,-793.2996
-0.03490658503988659,-0.03490658503988659,0.2,704.5734
-0.03490658503988659,-0.026179938779914945,0.2,791.8754
-0.03490658503988659,-0.017453292519943295,0.2,871.7355
-0.03490658503988659,-0.008726646259971648,0.2,950.4539
-0.03490658503988659,0.0,0.2,-1086.9858
-0.03490658503988659,0.008726646259971648,0.2,971.8721
-0.03490658503988659,0.017453292519943295,0.2,891.5023
-0.03490658503988659,0.026179938779914945,0.2,794.3782
-0.03490658503988659,0.03490658503988659,0.2,704.5735
-0.026179938779914945,-0.03490658503988659,0.2,594.1147
-0.026179938779914945,-0.026179938779914945,0.2,706.1236
-0.026179938779914945,-0.017453292519943295,0.2,816.1102
-0.026179938779914945,-0.008726646259971648,0.2,928.285
-0.026179938779914945,0.0,0.2,-1088.9644
-0.026179938779914945,0.008726646259971648,0.2,948.4196
-0.026179938779914945,0.017453292519943295,0.2,825.5149
-0.026179938779914945,0.026179938779914945,0.2,706.1237
-0.026179938779914945,0.03490658503988659,0.2,611.0659
-0.017453292519943295,-0.03490658503988659,0.2,428.5421
-0.017453292519943295,-0.026179938779914945,0.2,552.0452
-0.017453292519943295,-0.017453292519943295,0.2,707.4911
-0.017453292519943295,-0.008726646259971648,0.2,874.056
-0.017453292519943295,0.0,0.2,-1090.4391
-0.017453292519943295,0.008726646259971648,0.2,887.1837
-0.017453292519943295,0.017453292519943295,0.2,707.4912
-0.017453292519943295,0.026179938779914945,0.2,576.1632
-0.017453292519943295,0.03490658503988659,0.2,479.2459
-0.008726646259971648,-0.03490658503988659,0.2,193.8442
-0.008726646259971648,-0.026179938779914945,0.2,290.5945
-0.008726646259971648,-0.017453292519943295,0.2,445.2703
-0.008726646259971648,-0.008726646259971648,0.2,708.597
-0.008726646259971648,0.0,0.2,-1091.5245
-0.008726646259971648,0.008726646259971648,0.2,708.597
-0.008726646259971648,0.017453292519943295,0.2,474.0802
-0.008726646259971648,0.026179938779914945,0.2,345.5158
-0.008726646259971648,0.03490658503988659,0.2,273.8942
0.0,-0.03490658503988659,0.2,-96.3791
0.0,-0.026179938779914945,0.2,-85.5642
0.0,-0.017453292519943295,0.2,-73.2219
0.0,-0.008726646259971648,0.2,-59.7298
0.0,0.0,0.2,-1092.1758
0.0,0.008726646259971648,0.2,-31.2744
0.0,0.017453292519943295,0.2,-17.6771
0.0,0.026179938779914945,0.2,-5.2225
0.0,0.03490658503988659,0.2,5.7025
0.008726646259971648,-0.03490658503988659,0.2,-364.5707
0.008726646259971648,-0.026179938779914945,0.2,-436.3024
0.008726646259971648,-0.017453292519943295,0.2,-564.9792
0.008726646259971648,-0.008726646259971648,0.2,-799.6012
0.008726646259971648,0.0,0.2,-1091.5245
0.008726646259971648,0.008726646259971648,0.2,-799.6012
0.008726646259971648,0.017453292519943295,0.2,-536.1691
0.008726646259971648,0.026179938779914945,0.2,-381.3813
0.008726646259971648,0.03490658503988659,0.2,-284.5208
0.017453292519943295,-0.03490658503988659,0.2,-569.9225
0.017453292519943295,-0.026179938779914945,0.2,-666.9497
0.017453292519943295,-0.017453292519943295,0.2,-798.3901
0.017453292519943295,-0.008726646259971648,0.2,-978.1878
0.017453292519943295,0.0,0.2,-1090.439
0.017453292519943295,0.008726646259971648,0.2,-965.0601
0.017453292519943295,0.017453292519943295,0.2,-798.3901
0.017453292519943295,0.026179938779914945,0.2,-642.8318
0.017453292519943295,0.03490658503988659,0.2,-519.2186
0.026179938779914945,-0.03490658503988659,0.2,-701.7424
0.026179938779914945,-0.026179938779914945,0.2,-796.9102
0.026179938779914945,-0.017453292519943295,0.2,-916.4137
0.026179938779914945,-0.008726646259971648,0.2,-1039.4238
0.026179938779914945,0.0,0.2,-1088.9642
0.026179938779914945,0.008726646259971648,0.2,-1019.289
0.026179938779914945,0.017453292519943295,0.2,-907.0092
0.026179938779914945,0.026179938779914945,0.2,-796.9102
0.026179938779914945,0.03490658503988659,0.2,-684.7914
0.03490658503988659,-0.03490658503988659,0.2,-795.2501
0.03490658503988659,-0.026179938779914945,0.2,-885.1645
0.03490658503988659,-0.017453292519943295,0.2,-982.4012
0.03490658503988659,-0.008726646259971648,0.2,-1062.8765
0.03490658503988659,0.0,0.2,-1086.9858
0.03490658503988659,0.008726646259971648,0.2,-1041.458
0.03490658503988659,0.017453292519943295,0.2,-962.6344
0.03490658503988659,0.026179938779914945,0.2,-882.662
0.03490658503988659,0.03490658503988659,0.2,-795.2501
-0.03490658503988659,-0.03490658503988659,0.3,702.8427
-0.03490658503988659,-0.026179938779914945,0.3,790.3361
-0.03490658503988659,-0.017453292519943295,0.3,870.7134
-0.03490658503988659,-0.008726646259971648,0.3,950.1439
-0.03490658503988659,0.0,0.3,-1092.1311
-0.03490658503988659,0.008726646259971648,0.3,971.8932
-0.03490658503988659,0.017453292519943295,0.3,890.9378
-0.03490658503988659,0.026179938779914945,0.3,793.2797
-0.03490658503988659,0.03490658503988659,0.3,702.8428
-0.026179938779914945,-0.03490658503988659,0.3,592.2936
-0.026179938779914945,-0.026179938779914945,0.3,704.3674
-0.026179938779914945,-0.017453292519943295,0.3,814.7853
-0.026179938779914945,-0.008726646259971648,0.3,927.8496
-0.026179938779914945,0.0,0.3,-1094.2585
-0.026179938779914945,0.008726646259971648,0.3,948.046
-0.026179938779914945,0.017453292519943295,0.3,824.5876
-0.026179938779914945,0.026179938779914945,0.3,704.3676
-0.026179938779914945,0.03490658503988659,0.3,608.7189
-0.017453292519943295,-0.03490658503988659,0.3,426.4608
-0.017453292519943295,-0.026179938779914945,0.3,550.093
-0.017453292519943295,-0.017453292519943295,0.3,705.7119
-0.017453292519943295,-0.008726646259971648,0.3,873.2386
-0.017453292519943295,0.0,0.3,-1095.9146
-0.017453292519943295,0.008726646259971648,0.3,886.6312
-0.017453292519943295,0.017453292519943295,0.3,705.712
-0.017453292519943295,0.026179938779914945,0.3,573.6818
-0.017453292519943295,0.03490658503988659,0.3,476.39
-0.008726646259971648,-0.03490658503988659,0.3,191.3516
-0.008726646259971648,-0.026179938779914945,0.3,288.0899
-0.008726646259971648,-0.017453292519943295,0.3,443.0573
-0.008726646259971648,-0.008726646259971648,0.3,706.7986
-0.008726646259971648,0.0,0.3,-1097.1462
-0.008726646259971648,0.008726646259971648,0.3,706.7987
-0.008726646259971648,0.017453292519943295,0.3,471.4515
-0.008726646259971648,0.026179938779914945,0.3,342.599
-0.008726646259971648,0.03490658503988659,0.3,270.7584
0.0,-0.03490658503988659,0.3,-97.848
0.0,-0.026179938779914945,0.3,-87.1613
0.0,-0.017453292519943295,0.3,-75.0603
0.0,-0.008726646259971648,0.3,-61.919
0.0,0.0,0.3,-1097.8484
0.0,0.008726646259971648,0.3,-34.3289
0.0,0.017453292519943295,0.3,-21.076
0.0,0.026179938779914945,0.3,-8.8558
0.0,0.03490658503988659,0.3,1.9479
0.008726646259971648,-0.03490658503988659,0.3,-366.6584
0.008726646259971648,-0.026179938779914945,0.3,-438.616
0.008726646259971648,-0.017453292519943295,0.3,-567.5878
0.008726646259971648,-0.008726646259971648,0.3,-803.0466
0.008726646259971648,0.0,0.3,-1097.1462
0.008726646259971648,0.008726646259971648,0.3,-803.0466
0.008726646259971648,0.017453292519943295,0.3,-539.1936
0.008726646259971648,0.026179938779914945,0.3,-384.107
0.008726646259971648,0.03490658503988659,0.3,-287.2518
0.017453292519943295,-0.03490658503988659,0.3,-572.2902
0.017453292519943295,-0.026179938779914945,0.3,-669.6988
0.017453292519943295,-0.017453292519943295,0.3,-801.8483
0.017453292519943295,-0.008726646259971648,0.3,-982.879
0.017453292519943295,0.0,0.3,-1095.9146
0.017453292519943295,0.008726646259971648,0.3,-969.4864
0.017453292519943295,0.017453292519943295,0.3,-801.8483
0.017453292519943295,0.026179938779914945,0.3,-646.1101
0.017453292519943295,0.03490658503988659,0.3,-522.361
0.026179938779914945,-0.03490658503988659,0.3,-704.6188
0.026179938779914945,-0.026179938779914945,0.3,-800.3846
0.026179938779914945,-0.017453292519943295,0.3,-920.7239
0.026179938779914945,-0.008726646259971648,0.3,-1044.2937
0.026179938779914945,0.0,0.3,-1094.2583
0.026179938779914945,0.008726646259971648,0.3,-1024.0973
0.026179938779914945,0.017453292519943295,0.3,-910.9216
0.026179938779914945,0.026179938779914945,0.3,-800.3846
0.026179938779914945,0.03490658503988659,0.3,-688.1937
0.03490658503988659,-0.03490658503988659,0.3,-798.7428
0.03490658503988659,-0.026179938779914945,0.3,-889.2967
0.03490658503988659,-0.017453292519943295,0.3,-987.074
0.03490658503988659,-0.008726646259971648,0.3,-1068.1414
0.03490658503988659,0.0,0.3,-1092.1311
0.03490658503988659,0.008726646259971648,0.3,-1046.3916
