alpha,beta,mach,CLq [1/rad]
-0.017453292519943295,-0.008726646259971648,0.1,-147.89387161583085
-0.017453292519943295,0.0,0.1,200.48346074658866
-0.017453292519943295,0.008726646259971648,0.1,-147.89387161583085
-0.017453292519943295,0.017453292519943295,0.1,-116.1192117876083
-0.017453292519943295,0.026179938779914945,0.1,-90.75357568533822
-0.017453292519943295,0.03490658503988659,0.1,-70.20770539756954
-0.008726646259971648,-0.03490658503988659,0.1,-29.65397082466031
-0.008726646259971648,-0.026179938779914945,0.1,-45.429670111497586
-0.008726646259971648,-0.017453292519943295,0.1,-71.52867630347247
-0.008726646259971648,-0.008726646259971648,0.1,-116.12967796932678
-0.008726646259971648,0.0,0.1,203.14156469714027
-0.008726646259971648,0.008726646259971648,0.1,-116.12957797313447
-0.008726646259971648,0.017453292519943295,0.1,-71.52867630347247
-0.008726646259971648,0.026179938779914945,0.1,-45.429670111497586
-0.008726646259971648,0.03490658503988659,0.1,-29.65397082466031
0.0,-0.03490658503988659,0.1,21.3361
0.0,-0.026179938779914945,0.1,20.7135
0.0,-0.017453292519943295,0.1,20.1108
0.0,-0.008726646259971648,0.1,19.574
0.0,0.0,0.1,205.8493
0.0,0.008726646259971648,0.1,19.574
0.0,0.017453292519943295,0.1,20.1108
0.0,0.026179938779914945,0.1,20.7135
0.0,0.03490658503988659,0.1,21.3361
0.008726646259971648,-0.03490658503988659,0.1,72.32454599803923
0.008726646259971648,-0.026179938779914945,0.1,86.85499270208472
0.008726646259971648,-0.017453292519943295,0.1,111.74864479199803
0.008726646259971648,-0.008726646259971648,0.1,155.27618733344298
0.008726646259971648,0.0,0.1,208.3204674928819
0.008726646259971648,0.008726646259971648,0.1,155.27618733344298
0.008726646259971648,0.017453292519943295,0.1,111.74864479199803
0.008726646259971648,0.026179938779914945,0.1,86.85499270208472
0.008726646259971648,0.03490658503988659,0.1,72.32454599803923
0.017453292519943295,-0.03490658503988659,0.1,112.87350619959162
0.017453292519943295,-0.026179938779914945,0.1,132.17416616781253
0.017453292519943295,-0.017453292519943295,0.1,156.3345858583411
0.017453292519943295,-0.008726646259971648,0.1,187.03590918581324
0.017453292519943295,0.0,0.1,210.57662327488387
0.017453292519943295,0.008726646259971648,0.1,187.03590918581324
0.017453292519943295,0.017453292519943295,0.1,156.3345858583411
0.017453292519943295,0.026179938779914945,0.1,132.17426615258205
0.017453292519943295,0.03490658503988659,0.1,112.87350619959162
0.026179938779914945,-0.03490658503988659,0.1,140.27361525802266
0.026179938779914945,-0.026179938779914945,0.1,156.8518323696848
0.026179938779914945,-0.017453292519943295,0.1,176.4873014783197
0.026179938779914945,-0.008726646259971648,0.1,199.16982607921258
0.026179938779914945,0.0,0.1,212.53314523375332
0.026179938779914945,0.008726646259971648,0.1,199.16982607921258
0.026179938779914945,0.017453292519943295,0.1,176.4873014783197
0.026179938779914945,0.026179938779914945,0.1,156.8518323696848
0.026179938779914945,0.03490658503988659,0.1,140.27361525802266
0.03490658503988659,-0.03490658503988659,0.1,156.82240979418248
0.03490658503988659,-0.026179938779914945,0.1,171.21243843426504
0.03490658503988659,-0.017453292519943295,0.1,188.5695585006846
0.03490658503988659,-0.008726646259971648,0.1,205.20681735440226
0.03490658503988659,0.0,0.1,214.09300083192525
0.03490658503988659,0.008726646259971648,0.1,205.20691729348496
0.03490658503988659,0.017453292519943295,0.1,188.5695585006846
0.03490658503988659,0.026179938779914945,0.1,171.21243843426504
0.03490658503988659,0.03490658503988659,0.1,156.82240979418248
-0.03490658503988659,-0.03490658503988659,0.2,-114.02589616507454
-0.03490658503988659,-0.026179938779914945,0.2,-129.74371545793466
-0.03490658503988659,-0.017453292519943295,0.2,-148.4133354974784
-0.03490658503988659,-0.008726646259971648,0.2,-166.26625335318212
-0.03490658503988659,0.0,0.2,196.01002320784175
-0.03490658503988659,0.008726646259971648,0.2,-166.26625335318212
-0.03490658503988659,0.017453292519943295,0.2,-148.4133354974784
-0.03490658503988659,0.026179938779914945,0.2,-129.74371545793466
-0.03490658503988659,0.03490658503988659,0.2,-114.02589616507454
-0.026179938779914945,-0.03490658503988659,0.2,-97.45709244052956
-0.026179938779914945,-0.026179938779914945,0.2,-115.34775965415211
-0.026179938779914945,-0.017453292519943295,0.2,-136.29337965289997
-0.026179938779914945,-0.008726646259971648,0.2,-160.20278368873537
-0.026179938779914945,0.0,0.2,198.35480546216
-0.026179938779914945,0.008726646259971648,0.2,-160.20278368873537
-0.026179938779914945,0.017453292519943295,0.2,-136.29337965289997
-0.026179938779914945,0.026179938779914945,0.2,-115.34765968841963
-0.026179938779914945,0.03490658503988659,0.2,-97.45709244052956
-0.017453292519943295,-0.03490658503988659,0.2,-70.06212757315477
-0.017453292519943295,-0.026179938779914945,0.2,-90.64479225610522
-0.017453292519943295,-0.017453292519943295,0.2,-116.08621681366813
-0.017453292519943295,-0.008726646259971648,0.2,-148.0232519075841
-0.017453292519943295,0.0,0.2,200.86850209399336
-0.017453292519943295,0.008726646259971648,0.2,-148.02315192281458
