alpha,beta,mach,Cn0 [-]
0.008726646259971648,-0.03490658503988659,0.01,-2.1844
0.008726646259971648,-0.026179938779914945,0.01,-1.6267
0.008726646259971648,-0.017453292519943295,0.01,-1.0793
0.008726646259971648,-0.008726646259971648,0.01,-0.5383
0.008726646259971648,0.0,0.01,0.0
0.008726646259971648,0.008726646259971648,0.01,0.5383
0.008726646259971648,0.017453292519943295,0.01,1.0793
0.008726646259971648,0.026179938779914945,0.01,1.6267
0.008726646259971648,0.03490658503988659,0.01,2.1844
0.017453292519943295,-0.03490658503988659,0.01,-2.207
0.017453292519943295,-0.026179938779914945,0.01,-1.6455
0.017453292519943295,-0.017453292519943295,0.01,-1.0918
0.017453292519943295,-0.008726646259971648,0.01,-0.5444
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.008726646259971648,0.01,0.5444
0.017453292519943295,0.017453292519943295,0.01,1.0918
0.017453292519943295,0.026179938779914945,0.01,1.6455
0.017453292519943295,0.03490658503988659,0.01,2.207
0.026179938779914945,-0.03490658503988659,0.01,-2.2409
0.026179938779914945,-0.026179938779914945,0.01,-1.6743
0.026179938779914945,-0.017453292519943295,0.01,-1.1126
0.026179938779914945,-0.008726646259971648,0.01,-0.5549
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,0.5549
0.026179938779914945,0.017453292519943295,0.01,1.1126
0.026179938779914945,0.026179938779914945,0.01,1.6743
0.026179938779914945,0.03490658503988659,0.01,2.2409
0.03490658503988659,-0.03490658503988659,0.01,-2.2831
0.03490658503988659,-0.026179938779914945,0.01,-1.7102
0.03490658503988659,-0.017453292519943295,0.01,-1.1393
0.03490658503988659,-0.008726646259971648,0.01,-0.5693
0.03490658503988659,0.0,0.01,-0.0
0.03490658503988659,0.008726646259971648,0.01,0.5693
0.03490658503988659,0.017453292519943295,0.01,1.1393
0.03490658503988659,0.026179938779914945,0.01,1.7102
0.03490658503988659,0.03490658503988659,0.01,2.2831
-0.03490658503988659,-0.03490658503988659,0.1,-2.2859
-0.03490658503988659,-0.026179938779914945,0.1,-1.7124
-0.03490658503988659,-0.017453292519943295,0.1,-1.1407
-0.03490658503988659,-0.008726646259971648,0.1,-0.5701
-0.03490658503988659,0.0,0.1,-0.0
-0.03490658503988659,0.008726646259971648,0.1,0.5701
-0.03490658503988659,0.017453292519943295,0.1,1.1407
-0.03490658503988659,0.026179938779914945,0.1,1.7124
-0.03490658503988659,0.03490658503988659,0.1,2.2859
-0.026179938779914945,-0.03490658503988659,0.1,-2.2438
-0.026179938779914945,-0.026179938779914945,0.1,-1.6765
-0.026179938779914945,-0.017453292519943295,0.1,-1.114
-0.026179938779914945,-0.008726646259971648,0.1,-0.5556
-0.026179938779914945,0.0,0.1,-0.0
-0.026179938779914945,0.008726646259971648,0.1,0.5556
-0.026179938779914945,0.017453292519943295,0.1,1.114
-0.026179938779914945,0.026179938779914945,0.1,1.6765
-0.026179938779914945,0.03490658503988659,0.1,2.2438
-0.017453292519943295,-0.03490658503988659,0.1,-2.2099
-0.017453292519943295,-0.026179938779914945,0.1,-1.6476
-0.017453292519943295,-0.017453292519943295,0.1,-1.0933
-0.017453292519943295,-0.008726646259971648,0.1,-0.5451
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.008726646259971648,0.1,0.5451
-0.017453292519943295,0.017453292519943295,0.1,1.0933
-0.017453292519943295,0.026179938779914945,0.1,1.6476
-0.017453292519943295,0.03490658503988659,0.1,2.2099
-0.008726646259971648,-0.03490658503988659,0.1,-2.1873
-0.008726646259971648,-0.026179938779914945,0.1,-1.6289
-0.008726646259971648,-0.017453292519943295,0.1,-1.0807
-0.008726646259971648,-0.008726646259971648,0.1,-0.5391
-0.008726646259971648,0.0,0.1,-0.0
-0.008726646259971648,0.008726646259971648,0.1,0.5391
-0.008726646259971648,0.017453292519943295,0.1,1.0807
-0.008726646259971648,0.026179938779914945,0.1,1.6289
-0.008726646259971648,0.03490658503988659,0.1,2.1873
0.0,-0.03490658503988659,0.1,-2.1791
0.0,-0.026179938779914945,0.1,-1.6225
0.0,-0.017453292519943295,0.1,-1.0766
0.0,-0.008726646259971648,0.1,-0.5372
0.0,0.0,0.1,-0.0
0.0,0.008726646259971648,0.1,0.5372
0.0,0.017453292519943295,0.1,1.0766
0.0,0.026179938779914945,0.1,1.6225
0.0,0.03490658503988659,0.1,2.1791
0.008726646259971648,-0.03490658503988659,0.1,-2.1873
0.008726646259971648,-0.026179938779914945,0.1,-1.6289
0.008726646259971648,-0.017453292519943295,0.1,-1.0807
0.008726646259971648,-0.008726646259971648,0.1,-0.5391
0.008726646259971648,0.0,0.1,0.0
0.008726646259971648,0.008726646259971648,0.1,0.5391
0.008726646259971648,0.017453292519943295,0.1,1.0807
0.008726646259971648,0.026179938779914945,0.1,1.6289
0.008726646259971648,0.03490658503988659,0.1,2.1873
0.017453292519943295,-0.03490658503988659,0.1,-2.2099
0.017453292519943295,-0.026179938779914945,0.1,-1.6476
0.017453292519943295,-0.017453292519943295,0.1,-1.0933
0.017453292519943295,-0.008726646259971648,0.1,-0.5451
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.008726646259971648,0.1,0.5451
0.017453292519943295,0.017453292519943295,0.1,1.0933
0.017453292519943295,0.026179938779914945,0.1,1.6476
0.017453292519943295,0.03490658503988659,0.1,2.2099
0.026179938779914945,-0.03490658503988659,0.1,-2.2438
0.026179938779914945,-0.026179938779914945,0.1,-1.6765
0.026179938779914945,-0.017453292519943295,0.1,-1.114
0.026179938779914945,-0.008726646259971648,0.1,-0.5556
0.026179938779914945,0.0,0.1,0.0
0.026179938779914945,0.008726646259971648,0.1,0.5556
0.026179938779914945,0.017453292519943295,0.1,1.114
0.026179938779914945,0.026179938779914945,0.1,1.6765
0.026179938779914945,0.03490658503988659,0.1,2.2438
0.03490658503988659,-0.03490658503988659,0.1,-2.2859
0.03490658503988659,-0.026179938779914945,0.1,-1.7124
0.03490658503988659,-0.017453292519943295,0.1,-1.1407
0.03490658503988659,-0.008726646259971648,0.1,-0.5701
0.03490658503988659,0.0,0.1,-0.0
0.03490658503988659,0.008726646259971648,0.1,0.5701
0.03490658503988659,0.017453292519943295,0.1,1.1407
0.03490658503988659,0.026179938779914945,0.1,1.7124
0.03490658503988659,0.03490658503988659,0.1,2.2859
-0.03490658503988659,-0.03490658503988659,0.2,-2.2936
-0.03490658503988659,-0.026179938779914945,0.2,-1.7182
-0.03490658503988659,-0.017453292519943295,0.2,-1.1446
-0.03490658503988659,-0.008726646259971648,0.2,-0.572
-0.03490658503988659,0.0,0.2,-0.0
-0.03490658503988659,0.008726646259971648,0.2,0.572
-0.03490658503988659,0.017453292519943295,0.2,1.1446
-0.03490658503988659,0.026179938779914945,0.2,1.7182
-0.03490658503988659,0.03490658503988659,0.2,2.2936
-0.026179938779914945,-0.03490658503988659,0.2,-2.2516
-0.026179938779914945,-0.026179938779914945,0.2,-1.6824
-0.026179938779914945,-0.017453292519943295,0.2,-1.118
-0.026179938779914945,-0.008726646259971648,0.2,-0.5576
-0.026179938779914945,0.0,0.2,-0.0
-0.026179938779914945,0.008726646259971648,0.2,0.5576
-0.026179938779914945,0.017453292519943295,0.2,1.118
-0.026179938779914945,0.026179938779914945,0.2,1.6824
-0.026179938779914945,0.03490658503988659,0.2,2.2516
-0.017453292519943295,-0.03490658503988659,0.2,-2.2179
-0.017453292519943295,-0.026179938779914945,0.2,-1.6537
-0.017453292519943295,-0.017453292519943295,0.2,-1.0973
-0.017453292519943295,-0.008726646259971648,0.2,-0.5472
-0.017453292519943295,0.0,0.2,-0.0
-0.017453292519943295,0.008726646259971648,0.2,0.5472
-0.017453292519943295,0.017453292519943295,0.2,1.0973
-0.017453292519943295,0.026179938779914945,0.2,1.6537
-0.017453292519943295,0.03490658503988659,0.2,2.2179
-0.008726646259971648,-0.03490658503988659,0.2,-2.1954
-0.008726646259971648,-0.026179938779914945,0.2,-1.635
-0.008726646259971648,-0.017453292519943295,0.2,-1.0848
-0.008726646259971648,-0.008726646259971648,0.2,-0.5411
-0.008726646259971648,0.0,0.2,-0.0
-0.008726646259971648,0.008726646259971648,0.2,0.5411
-0.008726646259971648,0.017453292519943295,0.2,1.0848
-0.008726646259971648,0.026179938779914945,0.2,1.635
-0.008726646259971648,0.03490658503988659,0.2,2.1954
0.0,-0.03490658503988659,0.2,-2.1872
0.0,-0.026179938779914945,0.2,-1.6286
0.0,-0.017453292519943295,0.2,-1.0807
0.0,-0.008726646259971648,0.2,-0.5393
0.0,0.0,0.2,-0.0
0.0,0.008726646259971648,0.2,0.5393
0.0,0.017453292519943295,0.2,1.0807
0.0,0.026179938779914945,0.2,1.6286
0.0,0.03490658503988659,0.2,2.1872
0.008726646259971648,-0.03490658503988659,0.2,-2.1954
0.008726646259971648,-0.026179938779914945,0.2,-1.635
0.008726646259971648,-0.017453292519943295,0.2,-1.0848
0.008726646259971648,-0.008726646259971648,0.2,-0.5411
0.008726646259971648,0.0,0.2,0.0
0.008726646259971648,0.008726646259971648,0.2,0.5411
0.008726646259971648,0.017453292519943295,0.2,1.0848
0.008726646259971648,0.026179938779914945,0.2,1.635
0.008726646259971648,0.03490658503988659,0.2,2.1954
0.017453292519943295,-0.03490658503988659,0.2,-2.2179
0.017453292519943295,-0.026179938779914945,0.2,-1.6537
0.017453292519943295,-0.017453292519943295,0.2,-1.0973
0.017453292519943295,-0.008726646259971648,0.2,-0.5472
0.017453292519943295,0.0,0.2,0.0
0.017453292519943295,0.008726646259971648,0.2,0.5472
0.017453292519943295,0.017453292519943295,0.2,1.0973
0.017453292519943295,0.026179938779914945,0.2,1.6537
0.017453292519943295,0.03490658503988659,0.2,2.2179
0.026179938779914945,-0.03490658503988659,0.2,-2.2516
0.026179938779914945,-0.026179938779914945,0.2,-1.6824
0.026179938779914945,-0.017453292519943295,0.2,-1.118
0.026179938779914945,-0.008726646259971648,0.2,-0.5576
0.026179938779914945,0.0,0.2,-0.0
