alpha,beta,mach,CQr [1/rad]
0.0,0.0,0.01,206.3813
0.0,0.008726646259971648,0.01,18.81378360149085
0.0,0.017453292519943295,0.01,18.087544759687663
0.0,0.026179938779914945,0.01,17.802197540362215
0.0,0.03490658503988659,0.01,17.921675944602637
0.008726646259971648,-0.03490658503988659,0.01,78.06460670572324
0.008726646259971648,-0.026179938779914945,0.01,90.42786229557672
0.008726646259971648,-0.017453292519943295,0.01,112.74569609778344
0.008726646259971648,-0.008726646259971648,0.01,153.9769823460274
0.008726646259971648,0.0,0.01,206.2728
0.008726646259971648,0.008726646259971648,0.01,155.9580069118098
0.008726646259971648,0.017453292519943295,0.01,110.74695175676432
0.008726646259971648,0.026179938779914945,0.01,85.12389777499475
0.008726646259971648,0.03490658503988659,0.01,69.91891831596769
0.017453292519943295,-0.03490658503988659,0.01,114.70924847048072
0.017453292519943295,-0.026179938779914945,0.01,131.5575227962146
0.017453292519943295,-0.017453292519943295,0.01,154.30041595856457
0.017453292519943295,-0.008726646259971648,0.01,185.68126739483682
0.017453292519943295,0.0,0.01,206.1009
0.017453292519943295,0.008726646259971648,0.01,185.35757290899534
0.017453292519943295,0.017453292519943295,0.01,157.5085272732434
0.017453292519943295,0.026179938779914945,0.01,131.75049868835586
0.017453292519943295,0.03490658503988659,0.01,111.79883205350639
0.026179938779914945,-0.03490658503988659,0.01,138.18988846383508
0.026179938779914945,-0.026179938779914945,0.01,154.66718201829164
0.026179938779914945,-0.017453292519943295,0.01,175.25360746454717
0.026179938779914945,-0.008726646259971648,0.01,196.57931625431547
0.026179938779914945,0.0,0.01,205.8654
0.026179938779914945,0.008726646259971648,0.01,194.98603450955764
0.026179938779914945,0.017453292519943295,0.01,176.84016869705488
0.026179938779914945,0.026179938779914945,0.01,159.24151397164727
0.026179938779914945,0.03490658503988659,0.01,141.34511723941884
0.03490658503988659,-0.03490658503988659,0.01,154.8115773114159
0.03490658503988659,-0.026179938779914945,0.01,170.3364591899933
0.03490658503988659,-0.017453292519943295,0.01,186.97962004622912
0.03490658503988659,-0.008726646259971648,0.01,200.70415800703773
0.03490658503988659,0.0,0.01,205.5363
0.03490658503988659,0.008726646259971648,0.01,198.92761471656374
0.03490658503988659,0.017453292519943295,0.01,186.73244594611663
0.03490658503988659,0.026179938779914945,0.01,174.52865725188974
0.03490658503988659,0.03490658503988659,0.01,161.06696437589383
-0.03490658503988659,-0.03490658503988659,0.1,-112.92282705674513
-0.03490658503988659,-0.026179938779914945,0.1,-128.87089952379662
-0.03490658503988659,-0.017453292519943295,0.1,-143.65788864664444
-0.03490658503988659,-0.008726646259971648,0.1,-158.14265507215632
-0.03490658503988659,0.0,0.1,205.6366
-0.03490658503988659,0.008726646259971648,0.1,-159.9486124402981
-0.03490658503988659,0.017453292519943295,0.1,-143.91558392715558
-0.03490658503988659,0.026179938779914945,0.1,-124.6692224404219
-0.03490658503988659,0.03490658503988659,0.1,-106.6249658821189
-0.026179938779914945,-0.03490658503988659,0.1,-93.19710059922595
-0.026179938779914945,-0.026179938779914945,0.1,-113.57437723427799
-0.026179938779914945,-0.017453292519943295,0.1,-133.75392490371814
-0.026179938779914945,-0.008726646259971648,0.1,-154.19558009138268
-0.026179938779914945,0.0,0.1,205.9737
-0.026179938779914945,0.008726646259971648,0.1,-155.80236899748655
-0.026179938779914945,0.017453292519943295,0.1,-132.16837274729056
-0.026179938779914945,0.026179938779914945,0.1,-108.97455401913545
-0.026179938779914945,0.03490658503988659,0.1,-89.9797951276434
-0.017453292519943295,-0.03490658503988659,0.1,-63.64762299887955
-0.017453292519943295,-0.026179938779914945,0.1,-86.07527660533886
-0.017453292519943295,-0.017453292519943295,0.1,-114.40389706423099
-0.017453292519943295,-0.008726646259971648,0.1,-144.55172334870772
-0.017453292519943295,0.0,0.1,206.2168
-0.017453292519943295,0.008726646259971648,0.1,-144.88242046169245
-0.017453292519943295,0.017453292519943295,0.1,-111.18208783612856
-0.017453292519943295,0.026179938779914945,0.1,-85.8365096463228
-0.017453292519943295,0.03490658503988659,0.1,-66.47817328812616
-0.008726646259971648,-0.03490658503988659,0.1,-21.769499760749614
-0.008726646259971648,-0.026179938779914945,0.1,-39.443975795677076
-0.008726646259971648,-0.017453292519943295,0.1,-67.62682968075343
-0.008726646259971648,-0.008726646259971648,0.1,-115.11406308189079
-0.008726646259971648,0.0,0.1,206.3943
-0.008726646259971648,0.008726646259971648,0.1,-113.1274387293392
-0.008726646259971648,0.017453292519943295,0.1,-69.59277711363339
-0.008726646259971648,0.026179938779914945,0.1,-44.688756239529766
-0.008726646259971648,0.03490658503988659,0.1,-29.822733839696504
0.0,-0.03490658503988659,0.1,30.190497554337163
0.0,-0.026179938779914945,0.1,27.84005663763928
0.0,-0.017453292519943295,0.1,25.001891510772175
0.0,-0.008726646259971648,0.1,22.027161241257563
0.0,0.0,0.1,206.5048
0.0,0.008726646259971648,0.1,18.834882798067504
0.0,0.017453292519943295,0.1,18.130538210579388
0.0,0.026179938779914945,0.1,17.869274546868077
0.0,0.03490658503988659,0.1,18.01501904784622
0.008726646259971648,-0.03490658503988659,0.1,78.02815050279719
0.008726646259971648,-0.026179938779914945,0.1,90.39808742403713
0.008726646259971648,-0.017453292519943295,0.1,112.72510685021543
0.008726646259971648,-0.008726646259971648,0.1,153.98938277247197
0.008726646259971648,0.0,0.1,206.3943
0.008726646259971648,0.008726646259971648,0.1,155.97600712502356
0.008726646259971648,0.017453292519943295,0.1,110.75925940210499
0.008726646259971648,0.026179938779914945,0.1,85.15320701445194
0.008726646259971648,0.03490658503988659,0.1,69.97491642385029
0.017453292519943295,-0.03490658503988659,0.1,114.68358995122685
0.017453292519943295,-0.026179938779914945,0.1,131.54574086509766
0.017453292519943295,-0.017453292519943295,0.1,154.3144175727106
0.017453292519943295,-0.008726646259971648,0.1,185.74446450101755
0.017453292519943295,0.0,0.1,206.2168
0.017453292519943295,0.008726646259971648,0.1,185.41366739184048
0.017453292519943295,0.017453292519943295,0.1,157.53622680081304
0.017453292519943295,0.026179938779914945,0.1,131.78450782411372
0.017453292519943295,0.03490658503988659,0.1,111.85303966198022
0.026179938779914945,-0.03490658503988659,0.1,138.1851118516614
0.026179938779914945,-0.026179938779914945,0.1,154.6837852379103
0.026179938779914945,-0.017453292519943295,0.1,175.30070248387258
0.026179938779914945,-0.008726646259971648,0.1,196.6643130406193
0.026179938779914945,0.0,0.1,205.9737
0.026179938779914945,0.008726646259971648,0.1,195.05752413451546
0.026179938779914945,0.017453292519943295,0.1,176.88635462506969
0.026179938779914945,0.026179938779914945,0.1,159.28370841878532
0.026179938779914945,0.03490658503988659,0.1,141.40251726232665
0.03490658503988659,-0.03490658503988659,0.1,154.83028260613688
0.03490658503988659,-0.026179938779914945,0.1,170.3784536591968
0.03490658503988659,-0.017453292519943295,0.1,187.04801358759914
0.03490658503988659,-0.008726646259971648,0.1,200.81065647962313
0.03490658503988659,0.0,0.1,205.6366
0.03490658503988659,0.008726646259971648,0.1,199.0045990848339
0.03490658503988659,0.017453292519943295,0.1,186.790318367996
0.03490658503988659,0.026179938779914945,0.1,174.58013065121526
0.03490658503988659,0.03490658503988659,0.1,161.12824359804833
-0.03490658503988659,-0.03490658503988659,0.2,-113.010287208487
-0.03490658503988659,-0.026179938779914945,0.2,-128.98148610740913
-0.03490658503988659,-0.017453292519943295,0.2,-143.82704509152302
-0.03490658503988659,-0.008726646259971648,0.2,-158.38772743594237
-0.03490658503988659,0.0,0.2,205.8991
-0.03490658503988659,0.008726646259971648,0.2,-160.21440509086898
-0.03490658503988659,0.017453292519943295,0.2,-144.1130869809119
-0.03490658503988659,0.026179938779914945,0.2,-124.79715471202763
-0.03490658503988659,0.03490658503988659,0.2,-106.66515484774276
-0.026179938779914945,-0.03490658503988659,0.2,-93.27479986279896
-0.026179938779914945,-0.026179938779914945,0.2,-113.661209709208
-0.026179938779914945,-0.017453292519943295,0.2,-133.8905095810854
-0.026179938779914945,-0.008726646259971648,0.2,-154.42776304913514
-0.026179938779914945,0.0,0.2,206.2517
-0.026179938779914945,0.008726646259971648,0.2,-156.0274621624672
