alpha,beta,mach,CQ0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5831388453798912
-0.03490658503988659,-0.026179938779914945,0.01,0.4353837355583475
-0.03490658503988659,-0.017453292519943295,0.01,0.28921586257318965
-0.03490658503988659,-0.008726646259971648,0.01,0.1442765379732977
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.008726646259971648,0.01,-0.1442765379732977
-0.03490658503988659,0.017453292519943295,0.01,-0.28921586257318965
-0.03490658503988659,0.026179938779914945,0.01,-0.4353837355583475
-0.03490658503988659,0.03490658503988659,0.01,-0.5831388453798912
-0.026179938779914945,-0.03490658503988659,0.01,0.5735642990730649
-0.026179938779914945,-0.026179938779914945,0.01,0.4271204001561134
-0.026179938779914945,-0.017453292519943295,0.01,0.282972766501786
-0.026179938779914945,-0.008726646259971648,0.01,0.14085405262945302
-0.026179938779914945,0.0,0.01,0.0
-0.026179938779914945,0.008726646259971648,0.01,-0.14085405262945302
-0.026179938779914945,0.017453292519943295,0.01,-0.282972766501786
-0.026179938779914945,0.026179938779914945,0.01,-0.4271204001561134
-0.026179938779914945,0.03490658503988659,0.01,-0.5735642990730649
-0.017453292519943295,-0.03490658503988659,0.01,0.5658920500859888
-0.017453292519943295,-0.026179938779914945,0.01,0.420389699545952
-0.017453292519943295,-0.017453292519943295,0.01,0.2779814964205567
-0.017453292519943295,-0.008726646259971648,0.01,0.1382084812287328
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.008726646259971648,0.01,-0.1382084812287328
-0.017453292519943295,0.017453292519943295,0.01,-0.2779814964205567
-0.017453292519943295,0.026179938779914945,0.01,-0.420389699545952
-0.017453292519943295,0.03490658503988659,0.01,-0.5658920500859888
-0.008726646259971648,-0.03490658503988659,0.01,0.5607303510892346
-0.008726646259971648,-0.026179938779914945,0.01,0.41599043054942186
-0.008726646259971648,-0.017453292519943295,0.01,0.2747487319916899
-0.008726646259971648,-0.008726646259971648,0.01,0.13634069091014206
-0.008726646259971648,0.0,0.01,0.0
-0.008726646259971648,0.008726646259971648,0.01,-0.13634069091014206
-0.008726646259971648,0.017453292519943295,0.01,-0.2747487319916899
-0.008726646259971648,0.026179938779914945,0.01,-0.41599043054942186
-0.008726646259971648,0.03490658503988659,0.01,-0.5607303510892346
0.0,-0.03490658503988659,0.01,0.5588763928293305
0.0,-0.026179938779914945,0.01,0.4144238455349864
0.0,-0.017453292519943295,0.01,0.2735704160777134
0.0,-0.008726646259971648,0.01,0.13565132394386903
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-0.13565132394386903
0.0,0.017453292519943295,0.01,-0.2735704160777134
0.0,0.026179938779914945,0.01,-0.4144238455349864
0.0,0.03490658503988659,0.01,-0.5588763928293305
0.008726646259971648,-0.03490658503988659,0.01,0.5607303510892346
0.008726646259971648,-0.026179938779914945,0.01,0.41599043054942186
0.008726646259971648,-0.017453292519943295,0.01,0.2747487319916899
0.008726646259971648,-0.008726646259971648,0.01,0.13634069091014206
0.008726646259971648,0.0,0.01,0.0
0.008726646259971648,0.008726646259971648,0.01,-0.13634069091014206
0.008726646259971648,0.017453292519943295,0.01,-0.2747487319916899
0.008726646259971648,0.026179938779914945,0.01,-0.41599043054942186
0.008726646259971648,0.03490658503988659,0.01,-0.5607303510892346
0.017453292519943295,-0.03490658503988659,0.01,0.5658920500859888
0.017453292519943295,-0.026179938779914945,0.01,0.420389699545952
0.017453292519943295,-0.017453292519943295,0.01,0.2779814964205567
0.017453292519943295,-0.008726646259971648,0.01,0.1382084812287328
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.008726646259971648,0.01,-0.1382084812287328
0.017453292519943295,0.017453292519943295,0.01,-0.2779814964205567
0.017453292519943295,0.026179938779914945,0.01,-0.420389699545952
0.017453292519943295,0.03490658503988659,0.01,-0.5658920500859888
0.026179938779914945,-0.03490658503988659,0.01,0.5735642990730649
0.026179938779914945,-0.026179938779914945,0.01,0.4271204001561134
0.026179938779914945,-0.017453292519943295,0.01,0.282972766501786
0.026179938779914945,-0.008726646259971648,0.01,0.14085405262945302
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,-0.14085405262945302
0.026179938779914945,0.017453292519943295,0.01,-0.282972766501786
0.026179938779914945,0.026179938779914945,0.01,-0.4271204001561134
0.026179938779914945,0.03490658503988659,0.01,-0.5735642990730649
0.03490658503988659,-0.03490658503988659,0.01,0.5831388453798912
0.03490658503988659,-0.026179938779914945,0.01,0.4353837355583475
0.03490658503988659,-0.017453292519943295,0.01,0.28921586257318965
0.03490658503988659,-0.008726646259971648,0.01,0.1442765379732977
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.008726646259971648,0.01,-0.1442765379732977
0.03490658503988659,0.017453292519943295,0.01,-0.28921586257318965
0.03490658503988659,0.026179938779914945,0.01,-0.4353837355583475
0.03490658503988659,0.03490658503988659,0.01,-0.5831388453798912
-0.03490658503988659,-0.03490658503988659,0.1,0.5907587381735269
-0.03490658503988659,-0.026179938779914945,0.1,0.44104664395701526
-0.03490658503988659,-0.017453292519943295,0.1,0.2929264959520401
-0.03490658503988659,-0.008726646259971648,0.1,0.14613193292571966
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.008726646259971648,0.1,-0.14613193292571966
-0.03490658503988659,0.017453292519943295,0.1,-0.2929264959520401
-0.03490658503988659,0.026179938779914945,0.1,-0.44104664395701526
-0.03490658503988659,0.03490658503988659,0.1,-0.5907587381735269
-0.026179938779914945,-0.03490658503988659,0.1,0.581182940692691
-0.026179938779914945,-0.026179938779914945,0.1,0.43278760298890684
-0.026179938779914945,-0.017453292519943295,0.1,0.2867844579253721
-0.026179938779914945,-0.008726646259971648,0.1,0.14271000708332612
-0.026179938779914945,0.0,0.1,0.0
-0.026179938779914945,0.008726646259971648,0.1,-0.14271000708332612
-0.026179938779914945,0.017453292519943295,0.1,-0.2867844579253721
-0.026179938779914945,0.026179938779914945,0.1,-0.43278760298890684
-0.026179938779914945,0.03490658503988659,0.1,-0.581182940692691
-0.017453292519943295,-0.03490658503988659,0.1,0.573515761469925
-0.017453292519943295,-0.026179938779914945,0.1,0.42615800828944983
-0.017453292519943295,-0.017453292519943295,0.1,0.28179573867109836
-0.017453292519943295,-0.008726646259971648,0.1,0.14006481578060204
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.008726646259971648,0.1,-0.14006481578060204
-0.017453292519943295,0.017453292519943295,0.1,-0.28179573867109836
-0.017453292519943295,0.026179938779914945,0.1,-0.42615800828944983
-0.017453292519943295,0.03490658503988659,0.1,-0.573515761469925
-0.008726646259971648,-0.03490658503988659,0.1,0.5683549563157848
-0.008726646259971648,-0.026179938779914945,0.1,0.4216594896870245
-0.008726646259971648,-0.017453292519943295,0.1,0.2785617067154312
-0.008726646259971648,-0.008726646259971648,0.1,0.13829812539250497
-0.008726646259971648,0.0,0.1,0.0
-0.008726646259971648,0.008726646259971648,0.1,-0.13829812539250497
-0.008726646259971648,0.017453292519943295,0.1,-0.2785617067154312
-0.008726646259971648,0.026179938779914945,0.1,-0.4216594896870245
-0.008726646259971648,0.03490658503988659,0.1,-0.5683549563157848
0.0,-0.03490658503988659,0.1,0.5665012960117555
0.0,-0.026179938779914945,0.1,0.4200931281593515
0.0,-0.017453292519943295,0.1,0.27738353980208547
0.0,-0.008726646259971648,0.1,0.13760884057785439
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,-0.13760884057785439
0.0,0.017453292519943295,0.1,-0.27738353980208547
0.0,0.026179938779914945,0.1,-0.4200931281593515
0.0,0.03490658503988659,0.1,-0.5665012960117555
0.008726646259971648,-0.03490658503988659,0.1,0.5683549563157848
0.008726646259971648,-0.026179938779914945,0.1,0.4216594896870245
0.008726646259971648,-0.017453292519943295,0.1,0.2785617067154312
0.008726646259971648,-0.008726646259971648,0.1,0.13829812539250497
0.008726646259971648,0.0,0.1,0.0
0.008726646259971648,0.008726646259971648,0.1,-0.13829812539250497
0.008726646259971648,0.017453292519943295,0.1,-0.2785617067154312
0.008726646259971648,0.026179938779914945,0.1,-0.4216594896870245
0.008726646259971648,0.03490658503988659,0.1,-0.5683549563157848
0.017453292519943295,-0.03490658503988659,0.1,0.573515761469925
0.017453292519943295,-0.026179938779914945,0.1,0.42615800828944983
0.017453292519943295,-0.017453292519943295,0.1,0.28179573867109836
0.017453292519943295,-0.008726646259971648,0.1,0.14006481578060204
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.008726646259971648,0.1,-0.14006481578060204
0.017453292519943295,0.017453292519943295,0.1,-0.28179573867109836
0.017453292519943295,0.026179938779914945,0.1,-0.42615800828944983
0.017453292519943295,0.03490658503988659,0.1,-0.573515761469925
0.026179938779914945,-0.03490658503988659,0.1,0.581182940692691
0.026179938779914945,-0.026179938779914945,0.1,0.43278760298890684
0.026179938779914945,-0.017453292519943295,0.1,0.2867844579253721
0.026179938779914945,-0.008726646259971648,0.1,0.14271000708332612
0.026179938779914945,0.0,0.1,0.0
0.026179938779914945,0.008726646259971648,0.1,-0.14271000708332612
0.026179938779914945,0.017453292519943295,0.1,-0.2867844579253721
0.026179938779914945,0.026179938779914945,0.1,-0.43278760298890684
0.026179938779914945,0.03490658503988659,0.1,-0.581182940692691
0.03490658503988659,-0.03490658503988659,0.1,0.5907587381735269
0.03490658503988659,-0.026179938779914945,0.1,0.44104664395701526
0.03490658503988659,-0.017453292519943295,0.1,0.2929264959520401
0.03490658503988659,-0.008726646259971648,0.1,0.14613193292571966
0.03490658503988659,0.0,0.1,0.0
0.03490658503988659,0.008726646259971648,0.1,-0.14613193292571966
0.03490658503988659,0.017453292519943295,0.1,-0.2929264959520401
0.03490658503988659,0.026179938779914945,0.1,-0.44104664395701526
0.03490658503988659,0.03490658503988659,0.1,-0.5907587381735269
-0.03490658503988659,-0.03490658503988659,0.2,0.5927791710048314
-0.03490658503988659,-0.026179938779914945,0.2,0.44253983644524986
-0.03490658503988659,-0.017453292519943295,0.2,0.29398883128889663
-0.03490658503988659,-0.008726646259971648,0.2,0.14666315128228388
-0.03490658503988659,0.0,0.2,0.0
-0.03490658503988659,0.008726646259971648,0.2,-0.14666315128228388
-0.03490658503988659,0.017453292519943295,0.2,-0.29398883128889663
-0.03490658503988659,0.026179938779914945,0.2,-0.44253983644524986
-0.03490658503988659,0.03490658503988659,0.2,-0.5927791710048314
-0.026179938779914945,-0.03490658503988659,0.2,0.5833077629138691
-0.026179938779914945,-0.026179938779914945,0.2,0.43438150596936437
-0.026179938779914945,-0.017453292519943295,0.2,0.28784727457727743
-0.026179938779914945,-0.008726646259971648,0.2,0.14324146610657865
-0.026179938779914945,0.0,0.2,0.0
-0.026179938779914945,0.008726646259971648,0.2,-0.14324146610657865
-0.026179938779914945,0.017453292519943295,0.2,-0.28784727457727743
-0.026179938779914945,0.026179938779914945,0.2,-0.43438150596936437
-0.026179938779914945,0.03490658503988659,0.2,-0.5833077629138691
-0.017453292519943295,-0.03490658503988659,0.2,0.5755412625845284
-0.017453292519943295,-0.026179938779914945,0.2,0.42765247758395103
-0.017453292519943295,-0.017453292519943295,0.2,0.2827589100472684
-0.017453292519943295,-0.008726646259971648,0.2,0.14059644455720838
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.008726646259971648,0.2,-0.14059644455720838
-0.017453292519943295,0.017453292519943295,0.2,-0.2827589100472684
-0.017453292519943295,0.026179938779914945,0.2,-0.42765247758395103
-0.017453292519943295,0.03490658503988659,0.2,-0.5755412625845284
-0.008726646259971648,-0.03490658503988659,0.2,0.5703808830699674
-0.008726646259971648,-0.026179938779914945,0.2,0.42315427823957547
-0.008726646259971648,-0.017453292519943295,0.2,0.2795250604851601
-0.008726646259971648,-0.008726646259971648,0.2,0.1388289727490416
-0.008726646259971648,0.0,0.2,0.0
-0.008726646259971648,0.008726646259971648,0.2,-0.1388289727490416
-0.008726646259971648,0.017453292519943295,0.2,-0.2795250604851601
-0.008726646259971648,0.026179938779914945,0.2,-0.42315427823957547
-0.008726646259971648,0.03490658503988659,0.2,-0.5703808830699674
0.0,-0.03490658503988659,0.2,0.5685273646524919
0.0,-0.026179938779914945,0.2,0.42168798886877107
0.0,-0.017453292519943295,0.2,0.2784469492954136
0.0,-0.008726646259971648,0.2,0.13814059603310552
0.0,0.0,0.2,0.0
0.0,0.008726646259971648,0.2,-0.13814059603310552
0.0,0.017453292519943295,0.2,-0.2784469492954136
0.0,0.026179938779914945,0.2,-0.42168798886877107
0.0,0.03490658503988659,0.2,-0.5685273646524919
0.008726646259971648,-0.03490658503988659,0.2,0.5703808830699674
