alpha,beta,mach,CL0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-0.5881817211965776
-0.03490658503988659,-0.017453292519943295,0.01,-0.5703925644756377
-0.03490658503988659,0.0,0.01,-0.5631934605714299
-0.03490658503988659,0.017453292519943295,0.01,-0.5703925644756377
-0.03490658503988659,0.03490658503988659,0.01,-0.5881817211965776
-0.017453292519943295,-0.03490658503988659,0.01,-0.29172858711715133
-0.017453292519943295,-0.017453292519943295,0.01,-0.2802285933822091
-0.017453292519943295,0.0,0.01,-0.27573102399464905
-0.017453292519943295,0.017453292519943295,0.01,-0.2802285933822091
-0.017453292519943295,0.03490658503988659,0.01,-0.29172858711715133
0.0,-0.03490658503988659,0.01,-0.0
0.0,-0.017453292519943295,0.01,-0.0
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,-0.0
0.0,0.03490658503988659,0.01,-0.0
0.017453292519943295,-0.03490658503988659,0.01,0.29172858711715133
0.017453292519943295,-0.017453292519943295,0.01,0.2802285933822091
0.017453292519943295,0.0,0.01,0.27573102399464905
0.017453292519943295,0.017453292519943295,0.01,0.2802285933822091
0.017453292519943295,0.03490658503988659,0.01,0.29172858711715133
0.03490658503988659,-0.03490658503988659,0.01,0.5881817211965776
0.03490658503988659,-0.017453292519943295,0.01,0.5703925644756377
0.03490658503988659,0.0,0.01,0.5631934605714299
0.03490658503988659,0.017453292519943295,0.01,0.5703925644756377
0.03490658503988659,0.03490658503988659,0.01,0.5881817211965776
-0.03490658503988659,-0.03490658503988659,0.1,-0.5948503781693539
-0.03490658503988659,-0.017453292519943295,0.1,-0.5770577314987438
-0.03490658503988659,0.0,0.1,-0.5698621175442063
-0.03490658503988659,0.017453292519943295,0.1,-0.5770577314987438
-0.03490658503988659,0.03490658503988659,0.1,-0.5948503781693539
-0.017453292519943295,-0.03490658503988659,0.1,-0.2949617848949825
-0.017453292519943295,-0.017453292519943295,0.1,-0.2835652664108434
-0.017453292519943295,0.0,0.1,-0.2790659517826396
-0.017453292519943295,0.017453292519943295,0.1,-0.2835652664108434
-0.017453292519943295,0.03490658503988659,0.1,-0.2949617848949825
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.017453292519943295,0.1,-0.0
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.017453292519943295,-0.03490658503988659,0.1,0.2949617848949825
0.017453292519943295,-0.017453292519943295,0.1,0.2835652664108434
0.017453292519943295,0.0,0.1,0.2790659517826396
0.017453292519943295,0.017453292519943295,0.1,0.2835652664108434
0.017453292519943295,0.03490658503988659,0.1,0.2949617848949825
0.03490658503988659,-0.03490658503988659,0.1,0.5948503781693539
0.03490658503988659,-0.017453292519943295,0.1,0.5770577314987438
0.03490658503988659,0.0,0.1,0.5698621175442063
0.03490658503988659,0.017453292519943295,0.1,0.5770577314987438
0.03490658503988659,0.03490658503988659,0.1,0.5948503781693539
-0.03490658503988659,-0.03490658503988659,0.2,-0.5964087935542768
-0.03490658503988659,-0.017453292519943295,0.2,-0.5786196368333368
-0.03490658503988659,0.0,0.2,-0.5714240228787995
-0.03490658503988659,0.017453292519943295,0.2,-0.5786196368333368
-0.03490658503988659,0.03490658503988659,0.2,-0.5964087935542768
-0.017453292519943295,-0.03490658503988659,0.2,-0.2957930773826948
-0.017453292519943295,-0.017453292519943295,0.2,-0.28429657412903997
-0.017453292519943295,0.0,0.2,-0.27989724427035184
-0.017453292519943295,0.017453292519943295,0.2,-0.28429657412903997
-0.017453292519943295,0.03490658503988659,0.2,-0.2957930773826948
0.0,-0.03490658503988659,0.2,-0.0
0.0,-0.017453292519943295,0.2,-0.0
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,-0.0
0.0,0.03490658503988659,0.2,-0.0
0.017453292519943295,-0.03490658503988659,0.2,0.2957930773826948
0.017453292519943295,-0.017453292519943295,0.2,0.28429657412903997
0.017453292519943295,0.0,0.2,0.27989724427035184
0.017453292519943295,0.017453292519943295,0.2,0.28429657412903997
0.017453292519943295,0.03490658503988659,0.2,0.2957930773826948
0.03490658503988659,-0.03490658503988659,0.2,0.5964087935542768
0.03490658503988659,-0.017453292519943295,0.2,0.5786196368333368
0.03490658503988659,0.0,0.2,0.5714240228787995
0.03490658503988659,0.017453292519943295,0.2,0.5786196368333368
0.03490658503988659,0.03490658503988659,0.2,0.5964087935542768
-0.03490658503988659,-0.03490658503988659,0.5,-0.6116544222854915
-0.03490658503988659,-0.017453292519943295,0.5,-0.594161592862987
-0.03490658503988659,0.0,0.5,-0.5870659179911515
-0.03490658503988659,0.017453292519943295,0.5,-0.594161592862987
-0.03490658503988659,0.03490658503988659,0.5,-0.6116544222854915
-0.017453292519943295,-0.03490658503988659,0.5,-0.3034175924227161
-0.017453292519943295,-0.017453292519943295,0.5,-0.2921210587080926
-0.017453292519943295,0.0,0.5,-0.28772172884940445
-0.017453292519943295,0.017453292519943295,0.5,-0.2921210587080926
-0.017453292519943295,0.03490658503988659,0.5,-0.3034175924227161
0.0,-0.03490658503988659,0.5,-0.0
0.0,-0.017453292519943295,0.5,-0.0
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,-0.0
0.0,0.03490658503988659,0.5,-0.0
0.017453292519943295,-0.03490658503988659,0.5,0.3034175924227161
0.017453292519943295,-0.017453292519943295,0.5,0.2921210587080926
0.017453292519943295,0.0,0.5,0.28772172884940445
0.017453292519943295,0.017453292519943295,0.5,0.2921210587080926
0.017453292519943295,0.03490658503988659,0.5,0.3034175924227161
0.03490658503988659,-0.03490658503988659,0.5,0.6116544222854915
0.03490658503988659,-0.017453292519943295,0.5,0.594161592862987
0.03490658503988659,0.0,0.5,0.5870659179911515
0.03490658503988659,0.017453292519943295,0.5,0.594161592862987
0.03490658503988659,0.03490658503988659,0.5,0.6116544222854915
-0.03490658503988659,-0.03490658503988659,0.75,-0.6227990586762577
-0.03490658503988659,-0.017453292519943295,0.75,-0.607804706321301
-0.03490658503988659,0.0,0.75,-0.6017084222764845
-0.03490658503988659,0.017453292519943295,0.75,-0.607804706321301
-0.03490658503988659,0.03490658503988659,0.75,-0.6227990586762577
-0.017453292519943295,-0.03490658503988659,0.75,-0.30914239684194034
-0.017453292519943295,-0.017453292519943295,0.75,-0.2994438741989234
-0.017453292519943295,0.0,0.75,-0.29554621342845716
-0.017453292519943295,0.017453292519943295,0.75,-0.2994438741989234
-0.017453292519943295,0.03490658503988659,0.75,-0.30914239684194034
0.0,-0.03490658503988659,0.75,-0.0
0.0,-0.017453292519943295,0.75,-0.0
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,-0.0
0.0,0.03490658503988659,0.75,-0.0
0.017453292519943295,-0.03490658503988659,0.75,0.30914239684194034
0.017453292519943295,-0.017453292519943295,0.75,0.2994438741989234
0.017453292519943295,0.0,0.75,0.29554621342845716
0.017453292519943295,0.017453292519943295,0.75,0.2994438741989234
0.017453292519943295,0.03490658503988659,0.75,0.30914239684194034
0.03490658503988659,-0.03490658503988659,0.75,0.6227990586762577
0.03490658503988659,-0.017453292519943295,0.75,0.607804706321301
0.03490658503988659,0.0,0.75,0.6017084222764845
0.03490658503988659,0.017453292519943295,0.75,0.607804706321301
0.03490658503988659,0.03490658503988659,0.75,0.6227990586762577
-0.03490658503988659,-0.03490658503988659,1,-0.6684242198799683
-0.03490658503988659,-0.017453292519943295,1,-0.654029502021223
-0.03490658503988659,0.0,1,-0.6481330961418104
-0.03490658503988659,0.017453292519943295,1,-0.654029502021223
-0.03490658503988659,0.03490658503988659,1,-0.6684242198799683
-0.017453292519943295,-0.03490658503988659,1,-0.33181717255424026
-0.017453292519943295,-0.017453292519943295,1,-0.3223186194502546
-0.017453292519943295,0.0,1,-0.3185191982086603
-0.017453292519943295,0.017453292519943295,1,-0.3223186194502546
-0.017453292519943295,0.03490658503988659,1,-0.33181717255424026
0.0,-0.03490658503988659,1,-0.0
0.0,-0.017453292519943295,1,-0.0
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,-0.0
0.0,0.03490658503988659,1,-0.0
0.017453292519943295,-0.03490658503988659,1,0.33181717255424026
0.017453292519943295,-0.017453292519943295,1,0.3223186194502546
0.017453292519943295,0.0,1,0.3185191982086603
0.017453292519943295,0.017453292519943295,1,0.3223186194502546
0.017453292519943295,0.03490658503988659,1,0.33181717255424026
0.03490658503988659,-0.03490658503988659,1,0.6684242198799683
0.03490658503988659,-0.017453292519943295,1,0.654029502021223
0.03490658503988659,0.0,1,0.6481330961418104
0.03490658503988659,0.017453292519943295,1,0.654029502021223
0.03490658503988659,0.03490658503988659,1,0.6684242198799683
