alpha,beta,mach,Cnr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,706.1483
-0.03490658503988659,-0.017453292519943295,0.01,872.7631
-0.03490658503988659,0.0,0.01,-1083.0579
-0.03490658503988659,0.017453292519943295,0.01,892.1541
-0.03490658503988659,0.03490658503988659,0.01,706.1484
-0.017453292519943295,-0.03490658503988659,0.01,430.3254
-0.017453292519943295,-0.017453292519943295,0.01,709.1202
-0.017453292519943295,0.0,0.01,-1086.2279
-0.017453292519943295,0.017453292519943295,0.01,709.1202
-0.017453292519943295,0.03490658503988659,0.01,481.7158
0.0,-0.03490658503988659,0.01,-95.3273
0.0,-0.017453292519943295,0.01,-71.8153
0.0,0.0,0.01,-1087.8031
0.0,0.017453292519943295,0.01,-14.9541
0.0,0.03490658503988659,0.01,8.7363
0.017453292519943295,-0.03490658503988659,0.01,-568.3068
0.017453292519943295,-0.017453292519943295,0.01,-795.8893
0.017453292519943295,0.0,0.01,-1086.2278
0.017453292519943295,0.017453292519943295,0.01,-795.8893
0.017453292519943295,0.03490658503988659,0.01,-516.9164
0.03490658503988659,-0.03490658503988659,0.01,-792.7392
0.03490658503988659,-0.017453292519943295,0.01,-978.9232
0.03490658503988659,0.0,0.01,-1083.0581
0.03490658503988659,0.017453292519943295,0.01,-959.5323
0.03490658503988659,0.03490658503988659,0.01,-792.7393
-0.03490658503988659,-0.03490658503988659,0.1,705.6963
-0.03490658503988659,-0.017453292519943295,0.1,872.4639
-0.03490658503988659,0.0,0.1,-1084.0654
-0.03490658503988659,0.017453292519943295,0.1,891.9899
-0.03490658503988659,0.03490658503988659,0.1,705.6964
-0.017453292519943295,-0.03490658503988659,0.1,429.8455
-0.017453292519943295,-0.017453292519943295,0.1,708.6593
-0.017453292519943295,0.0,0.1,-1087.323
-0.017453292519943295,0.017453292519943295,0.1,708.6593
-0.017453292519943295,0.03490658503988659,0.1,481.0242
0.0,-0.03490658503988659,0.1,-95.5662
0.0,-0.017453292519943295,0.1,-72.1575
0.0,0.0,0.1,-1088.9402
0.0,0.017453292519943295,0.1,-15.6086
0.0,0.03490658503988659,0.1,7.9813
0.017453292519943295,-0.03490658503988659,0.1,-568.6089
0.017453292519943295,-0.017453292519943295,0.1,-796.4253
0.017453292519943295,0.0,0.1,-1087.3229
0.017453292519943295,0.017453292519943295,0.1,-796.4252
0.017453292519943295,0.03490658503988659,0.1,-517.4304
0.03490658503988659,-0.03490658503988659,0.1,-793.2811
0.03490658503988659,-0.017453292519943295,0.1,-979.7558
0.03490658503988659,0.0,0.1,-1084.0654
0.03490658503988659,0.017453292519943295,0.1,-960.2298
0.03490658503988659,0.03490658503988659,0.1,-793.2811
-0.03490658503988659,-0.03490658503988659,0.2,704.5926
-0.03490658503988659,-0.017453292519943295,0.2,871.7718
-0.03490658503988659,0.0,0.2,-1086.9204
-0.03490658503988659,0.017453292519943295,0.2,891.5386
-0.03490658503988659,0.03490658503988659,0.2,704.5928
-0.017453292519943295,-0.03490658503988659,0.2,428.5612
-0.017453292519943295,-0.017453292519943295,0.2,707.5274
-0.017453292519943295,0.0,0.2,-1090.3737
-0.017453292519943295,0.017453292519943295,0.2,707.5275
-0.017453292519943295,0.03490658503988659,0.2,479.2651
0.0,-0.03490658503988659,0.2,-96.3599
0.0,-0.017453292519943295,0.2,-73.1856
0.0,0.0,0.2,-1092.1104
0.0,0.017453292519943295,0.2,-17.6408
0.0,0.03490658503988659,0.2,5.7217
0.017453292519943295,-0.03490658503988659,0.2,-569.9033
0.017453292519943295,-0.017453292519943295,0.2,-798.3538
0.017453292519943295,0.0,0.2,-1090.3735
0.017453292519943295,0.017453292519943295,0.2,-798.3538
0.017453292519943295,0.03490658503988659,0.2,-519.1994
0.03490658503988659,-0.03490658503988659,0.2,-795.2308
0.03490658503988659,-0.017453292519943295,0.2,-982.3649
0.03490658503988659,0.0,0.2,-1086.9204
0.03490658503988659,0.017453292519943295,0.2,-962.5981
0.03490658503988659,0.03490658503988659,0.2,-795.2308
-0.03490658503988659,-0.03490658503988659,0.5,697.6965
-0.03490658503988659,-0.017453292519943295,0.5,869.1779
-0.03490658503988659,0.0,0.5,-1114.4325
-0.03490658503988659,0.017453292519943295,0.5,892.0789
-0.03490658503988659,0.03490658503988659,0.5,697.6965
-0.017453292519943295,-0.03490658503988659,0.5,420.2487
-0.017453292519943295,-0.017453292519943295,0.5,700.4019
-0.017453292519943295,0.0,0.5,-1119.4623
-0.017453292519943295,0.017453292519943295,0.5,700.4019
-0.017453292519943295,0.03490658503988659,0.5,465.659
0.0,-0.03490658503988659,0.5,-102.5715
0.0,-0.017453292519943295,0.5,-81.5309
0.0,0.0,0.5,-1121.9867
0.0,0.017453292519943295,0.5,-32.3912
0.0,0.03490658503988659,0.5,-11.1111
0.017453292519943295,-0.03490658503988659,0.5,-579.3417
0.017453292519943295,-0.017453292519943295,0.5,-814.3239
0.017453292519943295,0.0,0.5,-1119.4622
0.017453292519943295,0.017453292519943295,0.5,-814.3239
0.017453292519943295,0.03490658503988659,0.5,-533.9315
0.03490658503988659,-0.03490658503988659,0.5,-811.379
0.03490658503988659,-0.017453292519943295,0.5,-1006.0008
0.03490658503988659,0.0,0.5,-1114.4325
0.03490658503988659,0.017453292519943295,0.5,-983.0995
0.03490658503988659,0.03490658503988659,0.5,-811.3791
-0.03490658503988659,-0.03490658503988659,0.75,655.7722
-0.03490658503988659,-0.017453292519943295,0.75,829.9176
-0.03490658503988659,0.0,0.75,-1116.8313
-0.03490658503988659,0.017453292519943295,0.75,852.9951
-0.03490658503988659,0.03490658503988659,0.75,655.7723
-0.017453292519943295,-0.03490658503988659,0.75,387.1291
-0.017453292519943295,-0.017453292519943295,0.75,658.1855
-0.017453292519943295,0.0,0.75,-1122.0325
-0.017453292519943295,0.017453292519943295,0.75,658.1855
-0.017453292519943295,0.03490658503988659,0.75,418.7729
0.0,-0.03490658503988659,0.75,-110.835
0.0,-0.017453292519943295,0.75,-95.6104
0.0,0.0,0.75,-1124.4755
0.0,0.017453292519943295,0.75,-58.2177
0.0,0.03490658503988659,0.75,-42.6661
0.017453292519943295,-0.03490658503988659,0.75,-572.274
0.017453292519943295,-0.017453292519943295,0.75,-812.0136
0.017453292519943295,0.0,0.75,-1122.0325
0.017453292519943295,0.017453292519943295,0.75,-812.0136
0.017453292519943295,0.03490658503988659,0.75,-540.6302
0.03490658503988659,-0.03490658503988659,0.75,-809.2734
0.03490658503988659,-0.017453292519943295,0.75,-1006.8228
0.03490658503988659,0.0,0.75,-1116.8312
0.03490658503988659,0.017453292519943295,0.75,-983.7456
0.03490658503988659,0.03490658503988659,0.75,-809.2734
-0.03490658503988659,-0.03490658503988659,1,629.9922
-0.03490658503988659,-0.017453292519943295,1,810.1246
-0.03490658503988659,0.0,1,-1157.2061
-0.03490658503988659,0.017453292519943295,1,828.5571
-0.03490658503988659,0.03490658503988659,1,629.9925
-0.017453292519943295,-0.03490658503988659,1,357.8479
-0.017453292519943295,-0.017453292519943295,1,632.7142
-0.017453292519943295,0.0,1,-1161.6423
-0.017453292519943295,0.017453292519943295,1,632.7142
-0.017453292519943295,0.03490658503988659,1,384.7791
0.0,-0.03490658503988659,1,-136.7535
0.0,-0.017453292519943295,1,-124.4473
0.0,0.0,1,-1163.8575
0.0,0.017453292519943295,1,-94.4742
0.0,0.03490658503988659,1,-81.805
0.017453292519943295,-0.03490658503988659,1,-603.3375
0.017453292519943295,-0.017453292519943295,1,-851.6356
0.017453292519943295,0.0,1,-1161.6423
0.017453292519943295,0.017453292519943295,1,-851.6357
0.017453292519943295,0.03490658503988659,1,-576.4064
0.03490658503988659,-0.03490658503988659,1,-848.5508
0.03490658503988659,-0.017453292519943295,1,-1047.4784
0.03490658503988659,0.0,1,-1157.2062
0.03490658503988659,0.017453292519943295,1,-1029.046
0.03490658503988659,0.03490658503988659,1,-848.5508
