alpha,beta,mach,CLq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-114.02539646966102
-0.03490658503988659,-0.017453292519943295,0.01,-147.9892939695742
-0.03490658503988659,0.0,0.01,196.1288507771743
-0.03490658503988659,0.017453292519943295,0.01,-147.9892939695742
-0.03490658503988659,0.03490658503988659,0.01,-114.02539646966102
-0.017453292519943295,-0.03490658503988659,0.01,-70.05642844129238
-0.017453292519943295,-0.017453292519943295,0.01,-115.76306603859359
-0.017453292519943295,0.0,0.01,200.9952827817392
-0.017453292519943295,0.017453292519943295,0.01,-115.76296605382409
-0.017453292519943295,0.03490658503988659,0.01,-70.05642844129238
0.0,-0.03490658503988659,0.01,21.5544
0.0,-0.017453292519943295,0.01,20.4945
0.0,0.0,0.01,206.3813
0.0,0.017453292519943295,0.01,20.4945
0.0,0.03490658503988659,0.01,21.5544
0.017453292519943295,-0.03490658503988659,0.01,113.15866276225022
0.017453292519943295,-0.017453292519943295,0.01,156.7458232153589
0.017453292519943295,0.0,0.01,211.14373688757658
0.017453292519943295,0.017453292519943295,0.01,156.7458232153589
0.017453292519943295,0.03490658503988659,0.01,113.15866276225022
0.03490658503988659,-0.03490658503988659,0.01,157.10793575346182
0.03490658503988659,-0.017453292519943295,0.01,188.95342451734263
0.03490658503988659,0.0,0.01,214.69353477988102
0.03490658503988659,0.017453292519943295,0.01,188.95342451734263
0.03490658503988659,0.03490658503988659,0.01,157.10793575346182
-0.03490658503988659,-0.03490658503988659,0.1,-113.94954270589028
-0.03490658503988659,-0.017453292519943295,0.1,-147.9855962235142
-0.03490658503988659,0.0,0.1,196.2746618988364
-0.03490658503988659,0.017453292519943295,0.1,-147.9855962235142
-0.03490658503988659,0.03490658503988659,0.1,-113.94954270589028
-0.017453292519943295,-0.03490658503988659,0.1,-69.98093994030808
-0.017453292519943295,-0.017453292519943295,0.1,-115.73217074481325
-0.017453292519943295,0.0,0.1,201.13886091076364
-0.017453292519943295,0.017453292519943295,0.1,-115.73207076004374
-0.017453292519943295,0.03490658503988659,0.1,-69.98093994030808
0.0,-0.03490658503988659,0.1,21.5629
0.0,-0.017453292519943295,0.1,20.498
0.0,0.0,0.1,206.5048
0.0,0.017453292519943295,0.1,20.498
0.0,0.03490658503988659,0.1,21.5629
0.017453292519943295,-0.03490658503988659,0.1,113.1002716568531
0.017453292519943295,-0.017453292519943295,0.1,156.72182687067516
0.017453292519943295,0.0,0.1,211.23202343905888
0.017453292519943295,0.017453292519943295,0.1,156.72182687067516
0.017453292519943295,0.03490658503988659,0.1,113.1002716568531
0.03490658503988659,-0.03490658503988659,0.1,157.0490716337504
0.03490658503988659,-0.017453292519943295,0.1,188.95652262890636
0.03490658503988659,0.0,0.1,214.74810151903628
0.03490658503988659,0.017453292519943295,0.1,188.95652262890636
0.03490658503988659,0.03490658503988659,0.1,157.0490716337504
-0.03490658503988659,-0.03490658503988659,0.2,-113.79783517834878
-0.03490658503988659,-0.017453292519943295,0.2,-148.0248722830161
-0.03490658503988659,0.0,0.2,196.66652304211058
-0.03490658503988659,0.017453292519943295,0.2,-148.0248722830161
-0.03490658503988659,0.03490658503988659,0.2,-113.79773523926607
-0.017453292519943295,-0.03490658503988659,0.2,-69.83396232912008
-0.017453292519943295,-0.017453292519943295,0.2,-115.69767599933036
-0.017453292519943295,0.0,0.2,201.5253020449416
-0.017453292519943295,0.017453292519943295,0.2,-115.69767599933036
-0.017453292519943295,0.03490658503988659,0.2,-69.83386234435056
0.0,-0.03490658503988659,0.2,21.5724
0.0,-0.017453292519943295,0.2,20.5018
0.0,0.0,0.2,206.8237
0.0,0.017453292519943295,0.2,20.5018
0.0,0.03490658503988659,0.2,21.5724
0.017453292519943295,-0.03490658503988659,0.2,112.97219116710356
0.017453292519943295,-0.017453292519943295,0.2,156.69493096767545
0.017453292519943295,0.0,0.2,211.44049168349898
0.017453292519943295,0.017453292519943295,0.2,156.69493096767545
0.017453292519943295,0.03490658503988659,0.2,112.97209118233404
0.03490658503988659,-0.03490658503988659,0.2,156.91625259283956
0.03490658503988659,-0.017453292519943295,0.2,189.00349399777625
0.03490658503988659,0.0,0.2,214.8808206208644
0.03490658503988659,0.017453292519943295,0.2,189.00349399777625
0.03490658503988659,0.03490658503988659,0.2,156.91625259283956
-0.03490658503988659,-0.03490658503988659,0.5,-112.47544123603711
-0.03490658503988659,-0.017453292519943295,0.5,-148.59722340964993
-0.03490658503988659,0.0,0.5,200.6702825733145
-0.03490658503988659,0.017453292519943295,0.5,-148.59722340964993
-0.03490658503988659,0.03490658503988659,0.5,-112.47544123603711
-0.017453292519943295,-0.03490658503988659,0.5,-68.52676145247261
-0.017453292519943295,-0.017453292519943295,0.5,-115.50970463264096
-0.017453292519943295,0.0,0.5,205.44150549733016
-0.017453292519943295,0.017453292519943295,0.5,-115.50970463264096
-0.017453292519943295,0.03490658503988659,0.5,-68.52676145247261
0.0,-0.03490658503988659,0.5,21.6009
0.0,-0.017453292519943295,0.5,20.5131
0.0,0.0,0.5,210.315
0.0,0.017453292519943295,0.5,20.5132
0.0,0.03490658503988659,0.5,21.6009
0.017453292519943295,-0.03490658503988659,0.5,111.72188162431048
0.017453292519943295,-0.017453292519943295,0.5,156.5297561284356
0.017453292519943295,0.0,0.5,214.22326778865826
0.017453292519943295,0.017453292519943295,0.5,156.5297561284356
0.017453292519943295,0.03490658503988659,0.5,111.72188162431048
0.03490658503988659,-0.03490658503988659,0.5,155.65082392766797
0.03490658503988659,-0.017453292519943295,0.5,189.59853129618344
0.03490658503988659,0.0,0.5,217.00792405709186
0.03490658503988659,0.017453292519943295,0.5,189.59843135710074
0.03490658503988659,0.03490658503988659,0.5,155.65082392766797
-0.03490658503988659,-0.03490658503988659,0.75,-106.69186658099491
-0.03490658503988659,-0.017453292519943295,0.75,-143.84841801690328
-0.03490658503988659,0.0,0.75,200.08633851308724
-0.03490658503988659,0.017453292519943295,0.75,-143.84841801690328
-0.03490658503988659,0.03490658503988659,0.75,-106.69186658099491
-0.017453292519943295,-0.03490658503988659,0.75,-63.49942725645676
-0.017453292519943295,-0.017453292519943295,0.75,-110.72313376161877
-0.017453292519943295,0.0,0.75,203.86654540791983
-0.017453292519943295,0.017453292519943295,0.75,-110.72313376161877
-0.017453292519943295,0.03490658503988659,0.75,-63.49942725645676
0.0,-0.03490658503988659,0.75,21.6246
0.0,-0.017453292519943295,0.75,20.5226
0.0,0.0,0.75,207.6857
0.0,0.017453292519943295,0.75,20.5226
0.0,0.03490658503988659,0.75,21.6246
0.017453292519943295,-0.03490658503988659,0.75,106.74204019381457
0.017453292519943295,-0.017453292519943295,0.75,151.7621823636214
0.017453292519943295,0.0,0.75,210.56662479793232
0.017453292519943295,0.017453292519943295,0.75,151.7620823788519
0.017453292519943295,0.03490658503988659,0.75,106.74204019381457
0.03490658503988659,-0.03490658503988659,0.75,149.9147203369092
0.03490658503988659,-0.017453292519943295,0.75,184.86861439006745
