alpha,beta,mach,Cl_r [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.0
-0.03490658503988659,-0.017453292519943295,0.01,0.2148
-0.03490658503988659,0.0,0.01,-0.2671
-0.03490658503988659,0.017453292519943295,0.01,-0.2587
-0.03490658503988659,0.03490658503988659,0.01,0.0
-0.017453292519943295,-0.03490658503988659,0.01,-0.2587
-0.017453292519943295,-0.017453292519943295,0.01,0.0
-0.017453292519943295,0.0,0.01,-0.1485
-0.017453292519943295,0.017453292519943295,0.01,0.0
-0.017453292519943295,0.03490658503988659,0.01,0.2148
0.0,-0.03490658503988659,0.01,0.2671
0.0,-0.017453292519943295,0.01,0.1486
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,0.1486
0.0,0.03490658503988659,0.01,0.2671
0.017453292519943295,-0.03490658503988659,0.01,0.2148
0.017453292519943295,-0.017453292519943295,0.01,0.0
0.017453292519943295,0.0,0.01,0.1486
0.017453292519943295,0.017453292519943295,0.01,0.0
0.017453292519943295,0.03490658503988659,0.01,-0.2587
0.03490658503988659,-0.03490658503988659,0.01,0.0
0.03490658503988659,-0.017453292519943295,0.01,-0.2587
0.03490658503988659,0.0,0.01,0.2671
0.03490658503988659,0.017453292519943295,0.01,0.2148
0.03490658503988659,0.03490658503988659,0.01,0.0
-0.03490658503988659,-0.03490658503988659,0.1,0.0
-0.03490658503988659,-0.017453292519943295,0.1,0.1874
-0.03490658503988659,0.0,0.1,-0.2351
-0.03490658503988659,0.017453292519943295,0.1,-0.2307
-0.03490658503988659,0.03490658503988659,0.1,0.0
-0.017453292519943295,-0.03490658503988659,0.1,-0.2307
-0.017453292519943295,-0.017453292519943295,0.1,0.0
-0.017453292519943295,0.0,0.1,-0.1265
-0.017453292519943295,0.017453292519943295,0.1,0.0
-0.017453292519943295,0.03490658503988659,0.1,0.1874
0.0,-0.03490658503988659,0.1,0.2351
0.0,-0.017453292519943295,0.1,0.1265
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,0.1265
0.0,0.03490658503988659,0.1,0.2351
0.017453292519943295,-0.03490658503988659,0.1,0.1874
0.017453292519943295,-0.017453292519943295,0.1,0.0
0.017453292519943295,0.0,0.1,0.1265
0.017453292519943295,0.017453292519943295,0.1,0.0
0.017453292519943295,0.03490658503988659,0.1,-0.2307
0.03490658503988659,-0.03490658503988659,0.1,0.0
0.03490658503988659,-0.017453292519943295,0.1,-0.2307
0.03490658503988659,0.0,0.1,0.2351
0.03490658503988659,0.017453292519943295,0.1,0.1874
0.03490658503988659,0.03490658503988659,0.1,0.0
-0.03490658503988659,-0.03490658503988659,0.2,0.0
-0.03490658503988659,-0.017453292519943295,0.2,0.1591
-0.03490658503988659,0.0,0.2,-0.1991
-0.03490658503988659,0.017453292519943295,0.2,-0.1989
-0.03490658503988659,0.03490658503988659,0.2,0.0
-0.017453292519943295,-0.03490658503988659,0.2,-0.1989
-0.017453292519943295,-0.017453292519943295,0.2,0.0
-0.017453292519943295,0.0,0.2,-0.1047
-0.017453292519943295,0.017453292519943295,0.2,0.0
-0.017453292519943295,0.03490658503988659,0.2,0.1591
0.0,-0.03490658503988659,0.2,0.1991
0.0,-0.017453292519943295,0.2,0.1047
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,0.1047
0.0,0.03490658503988659,0.2,0.1991
0.017453292519943295,-0.03490658503988659,0.2,0.1591
0.017453292519943295,-0.017453292519943295,0.2,0.0
0.017453292519943295,0.0,0.2,0.1047
0.017453292519943295,0.017453292519943295,0.2,0.0
0.017453292519943295,0.03490658503988659,0.2,-0.1989
0.03490658503988659,-0.03490658503988659,0.2,0.0
0.03490658503988659,-0.017453292519943295,0.2,-0.1989
0.03490658503988659,0.0,0.2,0.1991
0.03490658503988659,0.017453292519943295,0.2,0.1591
0.03490658503988659,0.03490658503988659,0.2,0.0
-0.03490658503988659,-0.03490658503988659,0.5,0.0
-0.03490658503988659,-0.017453292519943295,0.5,0.1005
-0.03490658503988659,0.0,0.5,-0.1166
-0.03490658503988659,0.017453292519943295,0.5,-0.1166
-0.03490658503988659,0.03490658503988659,0.5,0.0
-0.017453292519943295,-0.03490658503988659,0.5,-0.1166
-0.017453292519943295,-0.017453292519943295,0.5,0.0
-0.017453292519943295,0.0,0.5,-0.0574
-0.017453292519943295,0.017453292519943295,0.5,0.0
-0.017453292519943295,0.03490658503988659,0.5,0.1005
0.0,-0.03490658503988659,0.5,0.1166
0.0,-0.017453292519943295,0.5,0.0574
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,0.0574
0.0,0.03490658503988659,0.5,0.1166
0.017453292519943295,-0.03490658503988659,0.5,0.1005
0.017453292519943295,-0.017453292519943295,0.5,0.0
0.017453292519943295,0.0,0.5,0.0574
0.017453292519943295,0.017453292519943295,0.5,0.0
0.017453292519943295,0.03490658503988659,0.5,-0.1166
0.03490658503988659,-0.03490658503988659,0.5,0.0
0.03490658503988659,-0.017453292519943295,0.5,-0.1166
0.03490658503988659,0.0,0.5,0.1166
0.03490658503988659,0.017453292519943295,0.5,0.1005
0.03490658503988659,0.03490658503988659,0.5,0.0
-0.03490658503988659,-0.03490658503988659,0.75,0.0
-0.03490658503988659,-0.017453292519943295,0.75,0.0633
-0.03490658503988659,0.0,0.75,-0.0578
-0.03490658503988659,0.017453292519943295,0.75,-0.0584
-0.03490658503988659,0.03490658503988659,0.75,0.0
