alpha,beta,mach,CD0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5875321802358108
-0.03490658503988659,-0.017453292519943295,0.01,0.5712234342566549
-0.03490658503988659,0.0,0.01,0.5658998992486014
-0.03490658503988659,0.017453292519943295,0.01,0.5712234342566549
-0.03490658503988659,0.03490658503988659,0.01,0.5875321802358108
-0.017453292519943295,-0.03490658503988659,0.01,0.5712233659760602
-0.017453292519943295,-0.017453292519943295,0.01,0.5558483706925793
-0.017453292519943295,0.0,0.01,0.5506960435729154
-0.017453292519943295,0.017453292519943295,0.01,0.5558483706925793
-0.017453292519943295,0.03490658503988659,0.01,0.5712233659760602
0.0,-0.03490658503988659,0.01,0.5658998992486014
0.0,-0.017453292519943295,0.01,0.5506960435729154
0.0,0.0,0.01,0.5457
0.0,0.017453292519943295,0.01,0.5506960435729154
0.0,0.03490658503988659,0.01,0.5658998992486014
0.017453292519943295,-0.03490658503988659,0.01,0.5712233659760602
0.017453292519943295,-0.017453292519943295,0.01,0.5558483706925793
0.017453292519943295,0.0,0.01,0.5506960435729154
0.017453292519943295,0.017453292519943295,0.01,0.5558483706925793
0.017453292519943295,0.03490658503988659,0.01,0.5712233659760602
0.03490658503988659,-0.03490658503988659,0.01,0.5875321802358108
0.03490658503988659,-0.017453292519943295,0.01,0.5712234342566549
0.03490658503988659,0.0,0.01,0.5658998992486014
0.03490658503988659,0.017453292519943295,0.01,0.5712234342566549
0.03490658503988659,0.03490658503988659,0.01,0.5875321802358108
-0.03490658503988659,-0.03490658503988659,0.1,0.4138858527058639
-0.03490658503988659,-0.017453292519943295,0.1,0.39758018996748357
-0.03490658503988659,0.0,0.1,0.3921267741280022
-0.03490658503988659,0.017453292519943295,0.1,0.39758018996748357
-0.03490658503988659,0.03490658503988659,0.1,0.4138858527058639
-0.017453292519943295,-0.03490658503988659,0.1,0.3975801227497995
-0.017453292519943295,-0.017453292519943295,0.1,0.3819118393883546
-0.017453292519943295,0.0,0.1,0.37682776510715005
-0.017453292519943295,0.017453292519943295,0.1,0.3819118393883546
-0.017453292519943295,0.03490658503988659,0.1,0.3975801227497995
0.0,-0.03490658503988659,0.1,0.3921267741280022
0.0,-0.017453292519943295,0.1,0.37682776510715005
0.0,0.0,0.1,0.3717
0.0,0.017453292519943295,0.1,0.37682776510715005
0.0,0.03490658503988659,0.1,0.3921267741280022
0.017453292519943295,-0.03490658503988659,0.1,0.3975801227497995
0.017453292519943295,-0.017453292519943295,0.1,0.3819118393883546
0.017453292519943295,0.0,0.1,0.37682776510715005
0.017453292519943295,0.017453292519943295,0.1,0.3819118393883546
0.017453292519943295,0.03490658503988659,0.1,0.3975801227497995
0.03490658503988659,-0.03490658503988659,0.1,0.4138858527058639
0.03490658503988659,-0.017453292519943295,0.1,0.39758018996748357
0.03490658503988659,0.0,0.1,0.3921267741280022
0.03490658503988659,0.017453292519943295,0.1,0.39758018996748357
0.03490658503988659,0.03490658503988659,0.1,0.4138858527058639
-0.03490658503988659,-0.03490658503988659,0.2,0.41229258986350487
-0.03490658503988659,-0.017453292519943295,0.2,0.39584786365772373
-0.03490658503988659,0.0,0.2,0.3903802198844215
-0.03490658503988659,0.017453292519943295,0.2,0.39584786365772373
-0.03490658503988659,0.03490658503988659,0.2,0.41229258986350487
-0.017453292519943295,-0.03490658503988659,0.2,0.39584779590785546
-0.017453292519943295,-0.017453292519943295,0.2,0.38013681915238934
-0.017453292519943295,0.0,0.2,0.3750420011810184
-0.017453292519943295,0.017453292519943295,0.2,0.38013681915238934
-0.017453292519943295,0.03490658503988659,0.2,0.39584779590785546
0.0,-0.03490658503988659,0.2,0.3903802198844215
0.0,-0.017453292519943295,0.2,0.3750420011810184
0.0,0.0,0.2,0.3699
0.0,0.017453292519943295,0.2,0.3750420011810184
0.0,0.03490658503988659,0.2,0.3903802198844215
0.017453292519943295,-0.03490658503988659,0.2,0.39584779590785546
0.017453292519943295,-0.017453292519943295,0.2,0.38013681915238934
0.017453292519943295,0.0,0.2,0.3750420011810184
0.017453292519943295,0.017453292519943295,0.2,0.38013681915238934
0.017453292519943295,0.03490658503988659,0.2,0.39584779590785546
0.03490658503988659,-0.03490658503988659,0.2,0.41229258986350487
0.03490658503988659,-0.017453292519943295,0.2,0.39584786365772373
0.03490658503988659,0.0,0.2,0.3903802198844215
0.03490658503988659,0.017453292519943295,0.2,0.39584786365772373
0.03490658503988659,0.03490658503988659,0.2,0.41229258986350487
-0.03490658503988659,-0.03490658503988659,0.5,0.40604814708367504
-0.03490658503988659,-0.017453292519943295,0.5,0.38931811965282764
-0.03490658503988659,0.0,0.5,0.3837220581791026
-0.03490658503988659,0.017453292519943295,0.5,0.38931811965282764
-0.03490658503988659,0.03490658503988659,0.5,0.40604814708367504
-0.017453292519943295,-0.03490658503988659,0.5,0.3893180534914955
-0.017453292519943295,-0.017453292519943295,0.5,0.37320775876699236
-0.017453292519943295,0.0,0.5,0.3679774813054595
-0.017453292519943295,0.017453292519943295,0.5,0.37320775876699236
-0.017453292519943295,0.03490658503988659,0.5,0.3893180534914955
0.0,-0.03490658503988659,0.5,0.3837220581791026
0.0,-0.017453292519943295,0.5,0.3679774813054595
0.0,0.0,0.5,0.3628
0.0,0.017453292519943295,0.5,0.3679774813054595
0.0,0.03490658503988659,0.5,0.3837220581791026
0.017453292519943295,-0.03490658503988659,0.5,0.3893180534914955
0.017453292519943295,-0.017453292519943295,0.5,0.37320775876699236
0.017453292519943295,0.0,0.5,0.3679774813054595
0.017453292519943295,0.017453292519943295,0.5,0.37320775876699236
0.017453292519943295,0.03490658503988659,0.5,0.3893180534914955
0.03490658503988659,-0.03490658503988659,0.5,0.40604814708367504
0.03490658503988659,-0.017453292519943295,0.5,0.38931811965282764
0.03490658503988659,0.0,0.5,0.3837220581791026
0.03490658503988659,0.017453292519943295,0.5,0.38931811965282764
0.03490658503988659,0.03490658503988659,0.5,0.40604814708367504
-0.03490658503988659,-0.03490658503988659,0.75,0.39961749379870243
-0.03490658503988659,-0.017453292519943295,0.75,0.3826889171311545
-0.03490658503988659,0.0,0.75,0.3770289969770811
-0.03490658503988659,0.017453292519943295,0.75,0.3826889171311545
-0.03490658503988659,0.03490658503988659,0.75,0.39961749379870243
-0.017453292519943295,-0.03490658503988659,0.75,0.38268886265908547
-0.017453292519943295,-0.017453292519943295,0.75,0.36636121684555195
-0.017453292519943295,0.0,0.75,0.36091296142990054
-0.017453292519943295,0.017453292519943295,0.75,0.36636121684555195
-0.017453292519943295,0.03490658503988659,0.75,0.38268886265908547
0.0,-0.03490658503988659,0.75,0.3770289969770811
0.0,-0.017453292519943295,0.75,0.36091296142990054
0.0,0.0,0.75,0.3556
0.0,0.017453292519943295,0.75,0.36091296142990054
0.0,0.03490658503988659,0.75,0.3770289969770811
0.017453292519943295,-0.03490658503988659,0.75,0.38268886265908547
0.017453292519943295,-0.017453292519943295,0.75,0.36636121684555195
0.017453292519943295,0.0,0.75,0.36091296142990054
0.017453292519943295,0.017453292519943295,0.75,0.36636121684555195
0.017453292519943295,0.03490658503988659,0.75,0.38268886265908547
