alpha,beta,mach,CLr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-133.70000392485517
-0.03490658503988659,-0.017453292519943295,0.01,-93.66100946565832
-0.03490658503988659,0.0,0.01,-9.282342001353362
-0.03490658503988659,0.017453292519943295,0.01,84.49309771399865
-0.03490658503988659,0.03490658503988659,0.01,133.70000392485517
-0.017453292519943295,-0.03490658503988659,0.01,-166.97456509111734
-0.017453292519943295,-0.017453292519943295,0.01,-134.30594143865548
-0.017453292519943295,0.0,0.01,-5.074227052918686
-0.017453292519943295,0.017453292519943295,0.01,134.30594143865548
-0.017453292519943295,0.03490658503988659,0.01,163.51369227910303
0.0,-0.03490658503988659,0.01,-185.5798
0.0,-0.017453292519943295,0.01,-186.1443
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,186.1443
0.0,0.03490658503988659,0.01,185.5797
0.017453292519943295,-0.03490658503988659,0.01,-163.51369227910303
0.017453292519943295,-0.017453292519943295,0.01,-134.30594143865548
0.017453292519943295,0.0,0.01,5.074227052918686
0.017453292519943295,0.017453292519943295,0.01,134.30594143865548
0.017453292519943295,0.03490658503988659,0.01,166.97456509111734
0.03490658503988659,-0.03490658503988659,0.01,-133.70000392485517
0.03490658503988659,-0.017453292519943295,0.01,-84.49309771399865
0.03490658503988659,0.0,0.01,9.282342001353362
0.03490658503988659,0.017453292519943295,0.01,93.66100946565832
0.03490658503988659,0.03490658503988659,0.01,133.70000392485517
-0.03490658503988659,-0.03490658503988659,0.1,-133.71369557918533
-0.03490658503988659,-0.017453292519943295,0.1,-93.63022822818613
-0.03490658503988659,0.0,0.1,-9.23676977964129
-0.03490658503988659,0.017453292519943295,0.1,84.49969369345696
-0.03490658503988659,0.03490658503988659,0.1,133.71369557918533
-0.017453292519943295,-0.03490658503988659,0.1,-167.04125493238428
-0.017453292519943295,-0.017453292519943295,0.1,-134.3182395653059
-0.017453292519943295,0.0,0.1,-5.046631256532369
-0.017453292519943295,0.017453292519943295,0.1,134.3182395653059
-0.017453292519943295,0.03490658503988659,0.1,163.55608582137762
0.0,-0.03490658503988659,0.1,-185.6783
0.0,-0.017453292519943295,0.1,-186.2585
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,186.2585
0.0,0.03490658503988659,0.1,185.6783
0.017453292519943295,-0.03490658503988659,0.1,-163.55608582137762
0.017453292519943295,-0.017453292519943295,0.1,-134.3182395653059
0.017453292519943295,0.0,0.1,5.046531271762854
0.017453292519943295,0.017453292519943295,0.1,134.3182395653059
0.017453292519943295,0.03490658503988659,0.1,167.04125493238428
0.03490658503988659,-0.03490658503988659,0.1,-133.71369557918533
0.03490658503988659,-0.017453292519943295,0.1,-84.49959375437427
0.03490658503988659,0.0,0.1,9.236669840558589
0.03490658503988659,0.017453292519943295,0.1,93.63022822818613
0.03490658503988659,0.03490658503988659,0.1,133.7135956401026
-0.03490658503988659,-0.03490658503988659,0.2,-133.8067388651808
-0.03490658503988659,-0.017453292519943295,0.2,-93.60104601603717
-0.03490658503988659,0.0,0.2,-9.107148789376915
-0.03490658503988659,0.017453292519943295,0.2,84.5540605544468
-0.03490658503988659,0.03490658503988659,0.2,133.8067388651808
-0.017453292519943295,-0.03490658503988659,0.2,-167.25582224776483
-0.017453292519943295,-0.017453292519943295,0.2,-134.4070260406358
-0.017453292519943295,0.0,0.2,-4.95764481166345
-0.017453292519943295,0.017453292519943295,0.2,134.4070260406358
-0.017453292519943295,0.03490658503988659,0.2,163.7272597467884
