alpha,beta,mach,CLp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-0.6121268815491961
-0.03490658503988659,-0.017453292519943295,0.01,-1.066649829677481
-0.03490658503988659,0.0,0.01,-1.2765219033514912
-0.03490658503988659,0.017453292519943295,0.01,-1.0679490377526057
-0.03490658503988659,0.03490658503988659,0.01,-0.6121268815491961
-0.017453292519943295,-0.03490658503988659,0.01,-0.2979546131566046
-0.017453292519943295,-0.017453292519943295,0.01,-0.6388026924354184
-0.017453292519943295,0.0,0.01,-0.7739821008205625
-0.017453292519943295,0.017453292519943295,0.01,-0.6388026924354184
-0.017453292519943295,0.03490658503988659,0.01,-0.29375525283694776
0.0,-0.03490658503988659,0.01,-0.0031
0.0,-0.017453292519943295,0.01,-0.0005
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,0.0005
0.0,0.03490658503988659,0.01,0.0031
0.017453292519943295,-0.03490658503988659,0.01,0.29375525283694776
0.017453292519943295,-0.017453292519943295,0.01,0.6388026924354184
0.017453292519943295,0.0,0.01,0.7739821008205625
0.017453292519943295,0.017453292519943295,0.01,0.6388026924354184
0.017453292519943295,0.03490658503988659,0.01,0.2979546131566046
0.03490658503988659,-0.03490658503988659,0.01,0.6121268815491961
0.03490658503988659,-0.017453292519943295,0.01,1.0679490377526057
0.03490658503988659,0.0,0.01,1.2765219033514912
0.03490658503988659,0.017453292519943295,0.01,1.066649829677481
0.03490658503988659,0.03490658503988659,0.01,0.6121268815491961
-0.03490658503988659,-0.03490658503988659,0.1,-0.6139257850378305
-0.03490658503988659,-0.017453292519943295,0.1,-1.0693481849104325
-0.03490658503988659,0.0,0.1,-1.2795200758325482
-0.03490658503988659,0.017453292519943295,0.1,-1.0706473929855571
-0.03490658503988659,0.03490658503988659,0.1,-0.6139257850378305
-0.017453292519943295,-0.03490658503988659,0.1,-0.29875449131272974
-0.017453292519943295,-0.017453292519943295,0.1,-0.6403024639781529
-0.017453292519943295,0.0,0.1,-0.7759817962108753
-0.017453292519943295,0.017453292519943295,0.1,-0.6403024639781529
-0.017453292519943295,0.03490658503988659,0.1,-0.29455513099307284
0.0,-0.03490658503988659,0.1,-0.0031
0.0,-0.017453292519943295,0.1,-0.0005
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,0.0005
0.0,0.03490658503988659,0.1,0.0031
0.017453292519943295,-0.03490658503988659,0.1,0.29455513099307284
0.017453292519943295,-0.017453292519943295,0.1,0.6403024639781529
0.017453292519943295,0.0,0.1,0.7759817962108753
0.017453292519943295,0.017453292519943295,0.1,0.6403024639781529
0.017453292519943295,0.03490658503988659,0.1,0.29875449131272974
0.03490658503988659,-0.03490658503988659,0.1,0.6139257850378305
0.03490658503988659,-0.017453292519943295,0.1,1.0706473929855571
0.03490658503988659,0.0,0.1,1.2795200758325482
0.03490658503988659,0.017453292519943295,0.1,1.0693481849104325
0.03490658503988659,0.03490658503988659,0.1,0.6139257850378305
-0.03490658503988659,-0.03490658503988659,0.2,-0.6148252367821477
-0.03490658503988659,-0.017453292519943295,0.2,-1.0706473929855571
-0.03490658503988659,0.0,0.2,-1.2809192229903752
-0.03490658503988659,0.017453292519943295,0.2,-1.0719466010606822
-0.03490658503988659,0.03490658503988659,0.2,-0.6149251758648496
-0.017453292519943295,-0.03490658503988659,0.2,-0.2990544456212766
-0.017453292519943295,-0.017453292519943295,0.2,-0.6410023573647624
-0.017453292519943295,0.0,0.2,-0.7770816286755473
-0.017453292519943295,0.017453292519943295,0.2,-0.6410023573647624
-0.017453292519943295,0.03490658503988659,0.2,-0.29475510053210413
0.0,-0.03490658503988659,0.2,-0.0031
0.0,-0.017453292519943295,0.2,-0.0005
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,0.0005
0.0,0.03490658503988659,0.2,0.0031
0.017453292519943295,-0.03490658503988659,0.2,0.2948550853016198
0.017453292519943295,-0.017453292519943295,0.2,0.6410023573647624
0.017453292519943295,0.0,0.2,0.7769816439060316
0.017453292519943295,0.017453292519943295,0.2,0.6410023573647624
0.017453292519943295,0.03490658503988659,0.2,0.2990544456212766
0.03490658503988659,-0.03490658503988659,0.2,0.6148252367821477
0.03490658503988659,-0.017453292519943295,0.2,1.0719466010606822
0.03490658503988659,0.0,0.2,1.2809192229903752
0.03490658503988659,0.017453292519943295,0.2,1.0706473929855571
0.03490658503988659,0.03490658503988659,0.2,0.6148252367821477
-0.03490658503988659,-0.03490658503988659,0.5,-0.6060305975043797
-0.03490658503988659,-0.017453292519943295,0.5,-1.056855799572694
-0.03490658503988659,0.0,0.5,-1.2650289088407713
-0.03490658503988659,0.017453292519943295,0.5,-1.0581550076478186
-0.03490658503988659,0.03490658503988659,0.5,-0.6060305975043797
-0.017453292519943295,-0.03490658503988659,0.5,-0.2935552832979165
-0.017453292519943295,-0.017453292519943295,0.5,-0.6330035758035113
-0.017453292519943295,0.0,0.5,-0.7685829232667181
-0.017453292519943295,0.017453292519943295,0.5,-0.6330035758035113
-0.017453292519943295,0.03490658503988659,0.5,-0.28945590774777524
0.0,-0.03490658503988659,0.5,-0.0031
0.0,-0.017453292519943295,0.5,-0.0005
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,0.0005
0.0,0.03490658503988659,0.5,0.0031
0.017453292519943295,-0.03490658503988659,0.5,0.28945590774777524
0.017453292519943295,-0.017453292519943295,0.5,0.6330035758035113
0.017453292519943295,0.0,0.5,0.7685829232667181
0.017453292519943295,0.017453292519943295,0.5,0.6330035758035113
0.017453292519943295,0.03490658503988659,0.5,0.2935552832979165
0.03490658503988659,-0.03490658503988659,0.5,0.6060305975043797
0.03490658503988659,-0.017453292519943295,0.5,1.0581550076478186
0.03490658503988659,0.0,0.5,1.2650289088407713
0.03490658503988659,0.017453292519943295,0.5,1.056855799572694
0.03490658503988659,0.03490658503988659,0.5,0.6060305975043797
-0.03490658503988659,-0.03490658503988659,0.75,-0.49319937313392376
-0.03490658503988659,-0.017453292519943295,0.75,-0.8790641714459967
-0.03490658503988659,0.0,0.75,-1.0567558604899918
-0.03490658503988659,0.017453292519943295,0.75,-0.8801635013557176
-0.03490658503988659,0.03490658503988659,0.75,-0.49319937313392376
-0.017453292519943295,-0.03490658503988659,0.75,-0.2384636752947993
-0.017453292519943295,-0.017453292519943295,0.75,-0.5288194459682154
-0.017453292519943295,0.0,0.75,-0.645001748145388
-0.017453292519943295,0.017453292519943295,0.75,-0.5288194459682154
-0.017453292519943295,0.03490658503988659,0.75,-0.23506419313126758
0.0,-0.03490658503988659,0.75,-0.0025
0.0,-0.017453292519943295,0.75,-0.0004
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,0.0004
0.0,0.03490658503988659,0.75,0.0025
0.017453292519943295,-0.03490658503988659,0.75,0.23506419313126758
0.017453292519943295,-0.017453292519943295,0.75,0.5288194459682154
0.017453292519943295,0.0,0.75,0.645001748145388
0.017453292519943295,0.017453292519943295,0.75,0.5288194459682154
0.017453292519943295,0.03490658503988659,0.75,0.2384636752947993
0.03490658503988659,-0.03490658503988659,0.75,0.49319937313392376
0.03490658503988659,-0.017453292519943295,0.75,0.8801635013557176
0.03490658503988659,0.0,0.75,1.0567558604899918
0.03490658503988659,0.017453292519943295,0.75,0.8790641714459967
0.03490658503988659,0.03490658503988659,0.75,0.49319937313392376
-0.03490658503988659,-0.03490658503988659,1,-0.42094341634044313
-0.03490658503988659,-0.017453292519943295,1,-0.7770263680073469
-0.03490658503988659,0.0,1,-0.9414261590519881
-0.03490658503988659,0.017453292519943295,1,-0.7779258197516641
-0.03490658503988659,0.03490658503988659,1,-0.42094341634044313
-0.017453292519943295,-0.03490658503988659,1,-0.20306906688626308
-0.017453292519943295,-0.017453292519943295,1,-0.47102824918817593
-0.017453292519943295,0.0,1,-0.5780119525699098
-0.017453292519943295,0.017453292519943295,1,-0.47102824918817593
-0.017453292519943295,0.03490658503988659,1,-0.19996953903127826
0.0,-0.03490658503988659,1,-0.0023
0.0,-0.017453292519943295,1,-0.0004
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,0.0004
0.0,0.03490658503988659,1,0.0023
0.017453292519943295,-0.03490658503988659,1,0.19996953903127826
0.017453292519943295,-0.017453292519943295,1,0.47102824918817593
0.017453292519943295,0.0,1,0.5780119525699098
0.017453292519943295,0.017453292519943295,1,0.47102824918817593
0.017453292519943295,0.03490658503988659,1,0.20306906688626308
0.03490658503988659,-0.03490658503988659,1,0.42094341634044313
0.03490658503988659,-0.017453292519943295,1,0.7779258197516641
0.03490658503988659,0.0,1,0.9414261590519881
0.03490658503988659,0.017453292519943295,1,0.7770263680073469
0.03490658503988659,0.03490658503988659,1,0.42094341634044313
