alpha,beta,mach,CDq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,8.713521246140864
-0.03490658503988659,-0.017453292519943295,0.01,6.7661285821469335
-0.03490658503988659,0.0,0.01,-6.848970388671091
-0.03490658503988659,0.017453292519943295,0.01,6.7661285821469335
-0.03490658503988659,0.03490658503988659,0.01,8.713521246140864
-0.017453292519943295,-0.03490658503988659,0.01,7.10524234342149
-0.017453292519943295,-0.017453292519943295,0.01,4.398674256653726
-0.017453292519943295,0.0,0.01,-3.5083857112207117
-0.017453292519943295,0.017453292519943295,0.01,4.398672511678891
-0.017453292519943295,0.03490658503988659,0.01,7.105245833371159
0.0,-0.03490658503988659,0.01,6.800788143523618
0.0,-0.017453292519943295,0.01,3.337236942252847
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,3.337236942252847
0.0,0.03490658503988659,0.01,6.800788143523618
0.017453292519943295,-0.03490658503988659,0.01,7.857136329352615
0.017453292519943295,-0.017453292519943295,0.01,5.113921991823132
0.017453292519943295,0.0,0.01,3.685527636559139
0.017453292519943295,0.017453292519943295,0.01,5.113921991823132
0.017453292519943295,0.03490658503988659,0.01,7.857136329352615
0.03490658503988659,-0.03490658503988659,0.01,10.21708018381124
0.03490658503988659,-0.017453292519943295,0.01,8.196409670514987
0.03490658503988659,0.0,0.01,7.497263439416749
0.03490658503988659,0.017453292519943295,0.01,8.196409670514987
0.03490658503988659,0.03490658503988659,0.01,10.21708018381124
-0.03490658503988659,-0.03490658503988659,0.1,8.708521761884526
-0.03490658503988659,-0.017453292519943295,0.1,6.764831907685321
-0.03490658503988659,0.0,0.1,-6.854062225239986
-0.03490658503988659,0.017453292519943295,0.1,6.764831907685321
-0.03490658503988659,0.03490658503988659,0.1,8.708521761884526
-0.017453292519943295,-0.03490658503988659,0.1,7.103918509516985
-0.017453292519943295,-0.017453292519943295,0.1,4.397655118252646
-0.017453292519943295,0.0,0.1,-3.5108918767851054
-0.017453292519943295,0.017453292519943295,0.1,4.3976533732778105
-0.017453292519943295,0.03490658503988659,0.1,7.103918509516985
0.0,-0.03490658503988659,0.1,6.80263083694951
0.0,-0.017453292519943295,0.1,3.338746575409672
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,3.338748320650316
0.0,0.03490658503988659,0.1,6.80263083694951
0.017453292519943295,-0.03490658503988659,0.1,7.856110749798948
0.017453292519943295,-0.017453292519943295,0.1,5.1130232566856755
0.017453292519943295,0.0,0.1,3.687068684047551
0.017453292519943295,0.017453292519943295,0.1,5.1130232566856755
0.017453292519943295,0.03490658503988659,0.1,7.856110749798948
0.03490658503988659,-0.03490658503988659,0.1,10.212673629581726
0.03490658503988659,-0.017453292519943295,0.1,8.195348531245843
0.03490658503988659,0.0,0.1,7.4991689519367055
0.03490658503988659,0.017453292519943295,0.1,8.195350276486487
0.03490658503988659,0.03490658503988659,0.1,10.212673629581726
-0.03490658503988659,-0.03490658503988659,0.2,8.698257557196913
-0.03490658503988659,-0.017453292519943295,0.2,6.763801797886218
-0.03490658503988659,0.0,0.2,-6.867746317897036
-0.03490658503988659,0.017453292519943295,0.2,6.763801797886218
-0.03490658503988659,0.03490658503988659,0.2,8.698257559322895
-0.017453292519943295,-0.03490658503988659,0.2,7.102858736914147
-0.017453292519943295,-0.017453292519943295,0.2,4.396517313056903
-0.017453292519943295,0.0,0.2,-3.5176372318731155
-0.017453292519943295,0.017453292519943295,0.2,4.396517313056903
-0.017453292519943295,0.03490658503988659,0.2,7.1028569927366565
0.0,-0.03490658503988659,0.2,6.807202671017539
0.0,-0.017453292519943295,0.2,3.342353987820258
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,3.342353987820258
0.0,0.03490658503988659,0.2,6.807202671017539
0.017453292519943295,-0.03490658503988659,0.2,7.855380626741773
0.017453292519943295,-0.017453292519943295,0.2,5.1120180695774025
0.017453292519943295,0.0,0.2,3.690707510789725
0.017453292519943295,0.017453292519943295,0.2,5.1120180695774025
0.017453292519943295,0.03490658503988659,0.2,7.855378882564283
0.03490658503988659,-0.03490658503988659,0.2,10.203068623570994
0.03490658503988659,-0.017453292519943295,0.2,8.19458710664306
0.03490658503988659,0.0,0.2,7.503803605098797
