alpha,beta,mach,Cnq [1/rad]
0.03490658503988659,0.03490658503988659,0.75,716.38
-0.03490658503988659,-0.03490658503988659,1,-727.1996
-0.03490658503988659,-0.017453292519943295,1,-477.6762
-0.03490658503988659,0.0,1,0.0
-0.03490658503988659,0.017453292519943295,1,477.6761
-0.03490658503988659,0.03490658503988659,1,727.1996
-0.017453292519943295,-0.03490658503988659,1,-929.4147
-0.017453292519943295,-0.017453292519943295,1,-740.8834
-0.017453292519943295,0.0,1,0.0
-0.017453292519943295,0.017453292519943295,1,740.8834
-0.017453292519943295,0.03490658503988659,1,929.4147
0.0,-0.03490658503988659,1,-1075.1221
0.0,-0.017453292519943295,1,-1067.0707
0.0,0.0,1,0.0001
0.0,0.017453292519943295,1,1067.0707
0.0,0.03490658503988659,1,1075.1223
0.017453292519943295,-0.03490658503988659,1,-929.4147
0.017453292519943295,-0.017453292519943295,1,-740.8832
0.017453292519943295,0.0,1,0.0001
0.017453292519943295,0.017453292519943295,1,740.8834
0.017453292519943295,0.03490658503988659,1,929.4147
0.03490658503988659,-0.03490658503988659,1,-727.1996
0.03490658503988659,-0.017453292519943295,1,-477.676
0.03490658503988659,0.0,1,0.0001
0.03490658503988659,0.017453292519943295,1,477.6761
0.03490658503988659,0.03490658503988659,1,727.1996
