alpha,beta,mach,CQ0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,0.5874532832809655
-0.03490658503988659,-0.017453292519943295,0.01,0.29137515430616
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.017453292519943295,0.01,-0.29137515430616
-0.03490658503988659,0.03490658503988659,0.01,-0.5874532832809655
-0.017453292519943295,-0.03490658503988659,0.01,0.5702119497358948
-0.017453292519943295,-0.017453292519943295,0.01,0.2801417752664415
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.017453292519943295,0.01,-0.2801417752664415
-0.017453292519943295,0.03490658503988659,0.01,-0.5702119497358948
0.0,-0.03490658503988659,0.01,0.5631934605714299
0.0,-0.017453292519943295,0.01,0.27573102399464905
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,-0.27573102399464905
0.0,0.03490658503988659,0.01,-0.5631934605714299
0.017453292519943295,-0.03490658503988659,0.01,0.5702119497358948
0.017453292519943295,-0.017453292519943295,0.01,0.2801417752664415
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.017453292519943295,0.01,-0.2801417752664415
0.017453292519943295,0.03490658503988659,0.01,-0.5702119497358948
0.03490658503988659,-0.03490658503988659,0.01,0.5874532832809655
0.03490658503988659,-0.017453292519943295,0.01,0.29137515430616
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.017453292519943295,0.01,-0.29137515430616
0.03490658503988659,0.03490658503988659,0.01,-0.5874532832809655
-0.03490658503988659,-0.03490658503988659,0.1,0.5941175123843064
-0.03490658503988659,-0.017453292519943295,0.1,0.29460613887518267
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.017453292519943295,0.1,-0.29460613887518267
-0.03490658503988659,0.03490658503988659,0.1,-0.5941175123843064
-0.017453292519943295,-0.03490658503988659,0.1,0.576876071132978
-0.017453292519943295,-0.017453292519943295,0.1,0.2834778944121589
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.017453292519943295,0.1,-0.2834778944121589
-0.017453292519943295,0.03490658503988659,0.1,-0.576876071132978
0.0,-0.03490658503988659,0.1,0.5698621175442063
0.0,-0.017453292519943295,0.1,0.2790659517826396
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,-0.2790659517826396
0.0,0.03490658503988659,0.1,-0.5698621175442063
0.017453292519943295,-0.03490658503988659,0.1,0.576876071132978
0.017453292519943295,-0.017453292519943295,0.1,0.2834778944121589
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.017453292519943295,0.1,-0.2834778944121589
0.017453292519943295,0.03490658503988659,0.1,-0.576876071132978
0.03490658503988659,-0.03490658503988659,0.1,0.5941175123843064
0.03490658503988659,-0.017453292519943295,0.1,0.29460613887518267
