alpha,beta,mach,Cmp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,3.4313
-0.03490658503988659,-0.017453292519943295,0.01,5.9789
-0.03490658503988659,0.0,0.01,7.1552
-0.03490658503988659,0.017453292519943295,0.01,5.9863
-0.03490658503988659,0.03490658503988659,0.01,3.4313
-0.017453292519943295,-0.03490658503988659,0.01,1.6697
-0.017453292519943295,-0.017453292519943295,0.01,3.579
-0.017453292519943295,0.0,0.01,4.3367
-0.017453292519943295,0.017453292519943295,0.01,3.579
-0.017453292519943295,0.03490658503988659,0.01,1.646
0.0,-0.03490658503988659,0.01,0.0176
0.0,-0.017453292519943295,0.01,0.0027
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,-0.0027
0.0,0.03490658503988659,0.01,-0.0176
0.017453292519943295,-0.03490658503988659,0.01,-1.646
0.017453292519943295,-0.017453292519943295,0.01,-3.579
0.017453292519943295,0.0,0.01,-4.3367
0.017453292519943295,0.017453292519943295,0.01,-3.579
0.017453292519943295,0.03490658503988659,0.01,-1.6696
0.03490658503988659,-0.03490658503988659,0.01,-3.4313
0.03490658503988659,-0.017453292519943295,0.01,-5.9863
0.03490658503988659,0.0,0.01,-7.1552
0.03490658503988659,0.017453292519943295,0.01,-5.9789
0.03490658503988659,0.03490658503988659,0.01,-3.4313
-0.03490658503988659,-0.03490658503988659,0.1,3.4413
-0.03490658503988659,-0.017453292519943295,0.1,5.994
-0.03490658503988659,0.0,0.1,7.1719
-0.03490658503988659,0.017453292519943295,0.1,6.0014
-0.03490658503988659,0.03490658503988659,0.1,3.4413
-0.017453292519943295,-0.03490658503988659,0.1,1.6741
-0.017453292519943295,-0.017453292519943295,0.1,3.5873
-0.017453292519943295,0.0,0.1,4.3474
-0.017453292519943295,0.017453292519943295,0.1,3.5874
-0.017453292519943295,0.03490658503988659,0.1,1.6504
0.0,-0.03490658503988659,0.1,0.0176
0.0,-0.017453292519943295,0.1,0.0027
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,-0.0027
0.0,0.03490658503988659,0.1,-0.0175
0.017453292519943295,-0.03490658503988659,0.1,-1.6504
0.017453292519943295,-0.017453292519943295,0.1,-3.5873
0.017453292519943295,0.0,0.1,-4.3474
0.017453292519943295,0.017453292519943295,0.1,-3.5873
0.017453292519943295,0.03490658503988659,0.1,-1.6741
0.03490658503988659,-0.03490658503988659,0.1,-3.4413
0.03490658503988659,-0.017453292519943295,0.1,-6.0014
0.03490658503988659,0.0,0.1,-7.1719
0.03490658503988659,0.017453292519943295,0.1,-5.994
0.03490658503988659,0.03490658503988659,0.1,-3.4413
-0.03490658503988659,-0.03490658503988659,0.2,3.446
-0.03490658503988659,-0.017453292519943295,0.2,6.0005
-0.03490658503988659,0.0,0.2,7.1791
-0.03490658503988659,0.017453292519943295,0.2,6.0079
-0.03490658503988659,0.03490658503988659,0.2,3.446
-0.017453292519943295,-0.03490658503988659,0.2,1.6751
-0.017453292519943295,-0.017453292519943295,0.2,3.5909
-0.017453292519943295,0.0,0.2,4.3529
-0.017453292519943295,0.017453292519943295,0.2,3.5909
-0.017453292519943295,0.03490658503988659,0.2,1.6515
0.0,-0.03490658503988659,0.2,0.0175
0.0,-0.017453292519943295,0.2,0.0027
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,-0.0027
0.0,0.03490658503988659,0.2,-0.0175
0.017453292519943295,-0.03490658503988659,0.2,-1.6515
0.017453292519943295,-0.017453292519943295,0.2,-3.5909
0.017453292519943295,0.0,0.2,-4.3529
0.017453292519943295,0.017453292519943295,0.2,-3.5909
0.017453292519943295,0.03490658503988659,0.2,-1.6751
0.03490658503988659,-0.03490658503988659,0.2,-3.446
0.03490658503988659,-0.017453292519943295,0.2,-6.0079
0.03490658503988659,0.0,0.2,-7.179
0.03490658503988659,0.017453292519943295,0.2,-6.0005
0.03490658503988659,0.03490658503988659,0.2,-3.446
-0.03490658503988659,-0.03490658503988659,0.5,3.3927
-0.03490658503988659,-0.017453292519943295,0.5,5.9165
-0.03490658503988659,0.0,0.5,7.0817
-0.03490658503988659,0.017453292519943295,0.5,5.9238
