alpha,beta,mach,CDr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.7286981381740203
-0.03490658503988659,-0.017453292519943295,0.01,0.7643649551728662
-0.03490658503988659,0.0,0.01,0.324146525372829
-0.03490658503988659,0.017453292519943295,0.01,-0.43985295954263126
-0.03490658503988659,0.03490658503988659,0.01,-0.9299216562613006
-0.017453292519943295,-0.03490658503988659,0.01,0.6937547300381772
-0.017453292519943295,-0.017453292519943295,0.01,0.34793538841922933
-0.017453292519943295,0.0,0.01,0.08857096266921383
-0.017453292519943295,0.017453292519943295,0.01,-0.403933179713897
-0.017453292519943295,0.03490658503988659,0.01,-0.5144547554764083
0.0,-0.03490658503988659,0.01,1.0556888355526328
0.0,-0.017453292519943295,0.01,0.43686165697550594
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,-0.3157192681723899
0.0,0.03490658503988659,0.01,-0.6086193028942549
0.017453292519943295,-0.03490658503988659,0.01,1.149849893020809
0.017453292519943295,-0.017453292519943295,0.01,0.3486477454339987
0.017453292519943295,0.0,0.01,0.08857096266921383
0.017453292519943295,0.017453292519943295,0.01,-0.40464553672866677
0.017453292519943295,0.03490658503988659,0.01,-0.9705499184590405
0.03490658503988659,-0.03490658503988659,0.01,0.7343864821855872
0.03490658503988659,-0.017453292519943295,0.01,0.31272796560526483
0.03490658503988659,0.0,0.01,0.324146525372829
0.03490658503988659,0.017453292519943295,0.01,0.011785775265614085
0.03490658503988659,0.03490658503988659,0.01,-0.9356100002728676
-0.03490658503988659,-0.03490658503988659,0.1,0.7288793242971958
-0.03490658503988659,-0.017453292519943295,0.1,0.762579901445593
-0.03490658503988659,0.0,0.1,0.32255510832319495
-0.03490658503988659,0.017453292519943295,0.1,-0.43918795268924393
-0.03490658503988659,0.03490658503988659,0.1,-0.9314080835611489
-0.017453292519943295,-0.03490658503988659,0.1,0.6948692371288119
-0.017453292519943295,-0.017453292519943295,0.1,0.34796327957507067
-0.017453292519943295,0.0,0.1,0.08808927625154479
-0.017453292519943295,0.017453292519943295,0.1,-0.4042001688379291
-0.017453292519943295,0.03490658503988659,0.1,-0.5177559097902513
0.0,-0.03490658503988659,0.1,1.0542754059361816
0.0,-0.017453292519943295,0.1,0.4364096396487803
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,-0.31646972164919307
0.0,0.03490658503988659,0.1,-0.6117009284530858
0.017453292519943295,-0.03490658503988659,0.1,1.148216934649346
0.017453292519943295,-0.017453292519943295,0.1,0.3486774472194005
0.017453292519943295,0.0,0.1,0.08808753101090107
0.017453292519943295,0.017453292519943295,0.1,-0.4049143364822587
0.017453292519943295,0.03490658503988659,0.1,-0.971103607310785
0.03490658503988659,-0.03490658503988659,0.1,0.7345612709287774
