alpha,beta,mach,Cn0 [-]
-0.03490658503988659,-0.03490658503988659,0.01,-2.2831
-0.03490658503988659,-0.017453292519943295,0.01,-1.1393
-0.03490658503988659,0.0,0.01,-0.0
-0.03490658503988659,0.017453292519943295,0.01,1.1393
-0.03490658503988659,0.03490658503988659,0.01,2.2831
-0.017453292519943295,-0.03490658503988659,0.01,-2.207
-0.017453292519943295,-0.017453292519943295,0.01,-1.0918
-0.017453292519943295,0.0,0.01,-0.0
-0.017453292519943295,0.017453292519943295,0.01,1.0918
-0.017453292519943295,0.03490658503988659,0.01,2.207
0.0,-0.03490658503988659,0.01,-2.1762
0.0,-0.017453292519943295,0.01,-1.0752
0.0,0.0,0.01,-0.0
0.0,0.017453292519943295,0.01,1.0752
0.0,0.03490658503988659,0.01,2.1762
0.017453292519943295,-0.03490658503988659,0.01,-2.207
0.017453292519943295,-0.017453292519943295,0.01,-1.0918
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.017453292519943295,0.01,1.0918
0.017453292519943295,0.03490658503988659,0.01,2.207
0.03490658503988659,-0.03490658503988659,0.01,-2.2831
0.03490658503988659,-0.017453292519943295,0.01,-1.1393
0.03490658503988659,0.0,0.01,-0.0
0.03490658503988659,0.017453292519943295,0.01,1.1393
0.03490658503988659,0.03490658503988659,0.01,2.2831
-0.03490658503988659,-0.03490658503988659,0.1,-2.2859
-0.03490658503988659,-0.017453292519943295,0.1,-1.1407
-0.03490658503988659,0.0,0.1,-0.0
-0.03490658503988659,0.017453292519943295,0.1,1.1407
-0.03490658503988659,0.03490658503988659,0.1,2.2859
-0.017453292519943295,-0.03490658503988659,0.1,-2.2099
-0.017453292519943295,-0.017453292519943295,0.1,-1.0933
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.017453292519943295,0.1,1.0933
-0.017453292519943295,0.03490658503988659,0.1,2.2099
0.0,-0.03490658503988659,0.1,-2.1791
0.0,-0.017453292519943295,0.1,-1.0766
0.0,0.0,0.1,-0.0
0.0,0.017453292519943295,0.1,1.0766
0.0,0.03490658503988659,0.1,2.1791
0.017453292519943295,-0.03490658503988659,0.1,-2.2099
0.017453292519943295,-0.017453292519943295,0.1,-1.0933
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.017453292519943295,0.1,1.0933
0.017453292519943295,0.03490658503988659,0.1,2.2099
0.03490658503988659,-0.03490658503988659,0.1,-2.2859
0.03490658503988659,-0.017453292519943295,0.1,-1.1407
0.03490658503988659,0.0,0.1,-0.0
0.03490658503988659,0.017453292519943295,0.1,1.1407
0.03490658503988659,0.03490658503988659,0.1,2.2859
-0.03490658503988659,-0.03490658503988659,0.2,-2.2936
-0.03490658503988659,-0.017453292519943295,0.2,-1.1446
-0.03490658503988659,0.0,0.2,-0.0
-0.03490658503988659,0.017453292519943295,0.2,1.1446
-0.03490658503988659,0.03490658503988659,0.2,2.2936
-0.017453292519943295,-0.03490658503988659,0.2,-2.2179
-0.017453292519943295,-0.017453292519943295,0.2,-1.0973
-0.017453292519943295,0.0,0.2,-0.0
-0.017453292519943295,0.017453292519943295,0.2,1.0973
-0.017453292519943295,0.03490658503988659,0.2,2.2179
0.0,-0.03490658503988659,0.2,-2.1872
0.0,-0.017453292519943295,0.2,-1.0807
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,1.0807
0.0,0.03490658503988659,0.2,2.1872
0.017453292519943295,-0.03490658503988659,0.2,-2.2179
0.017453292519943295,-0.017453292519943295,0.2,-1.0973
0.017453292519943295,0.0,0.2,0.0
0.017453292519943295,0.017453292519943295,0.2,1.0973
0.017453292519943295,0.03490658503988659,0.2,2.2179
0.03490658503988659,-0.03490658503988659,0.2,-2.2936
0.03490658503988659,-0.017453292519943295,0.2,-1.1446
0.03490658503988659,0.0,0.2,-0.0
0.03490658503988659,0.017453292519943295,0.2,1.1446
0.03490658503988659,0.03490658503988659,0.2,2.2936
-0.03490658503988659,-0.03490658503988659,0.5,-2.3728
-0.03490658503988659,-0.017453292519943295,0.5,-1.1845
-0.03490658503988659,0.0,0.5,-0.0
-0.03490658503988659,0.017453292519943295,0.5,1.1845
-0.03490658503988659,0.03490658503988659,0.5,2.3728
-0.017453292519943295,-0.03490658503988659,0.5,-2.2993
-0.017453292519943295,-0.017453292519943295,0.5,-1.1385
-0.017453292519943295,0.0,0.5,-0.0
-0.017453292519943295,0.017453292519943295,0.5,1.1385
-0.017453292519943295,0.03490658503988659,0.5,2.2993
0.0,-0.03490658503988659,0.5,-2.2695
0.0,-0.017453292519943295,0.5,-1.1225
0.0,0.0,0.5,-0.0
0.0,0.017453292519943295,0.5,1.1225
0.0,0.03490658503988659,0.5,2.2695
0.017453292519943295,-0.03490658503988659,0.5,-2.2993
0.017453292519943295,-0.017453292519943295,0.5,-1.1385
0.017453292519943295,0.0,0.5,0.0
0.017453292519943295,0.017453292519943295,0.5,1.1385
0.017453292519943295,0.03490658503988659,0.5,2.2993
0.03490658503988659,-0.03490658503988659,0.5,-2.3728
0.03490658503988659,-0.017453292519943295,0.5,-1.1845
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.017453292519943295,0.5,1.1845
0.03490658503988659,0.03490658503988659,0.5,2.3728
-0.03490658503988659,-0.03490658503988659,0.75,-2.4249
-0.03490658503988659,-0.017453292519943295,0.75,-1.2119
-0.03490658503988659,0.0,0.75,-0.0
-0.03490658503988659,0.017453292519943295,0.75,1.2119
-0.03490658503988659,0.03490658503988659,0.75,2.4249
-0.017453292519943295,-0.03490658503988659,0.75,-2.366
-0.017453292519943295,-0.017453292519943295,0.75,-1.1748
-0.017453292519943295,0.0,0.75,-0.0
-0.017453292519943295,0.017453292519943295,0.75,1.1748
-0.017453292519943295,0.03490658503988659,0.75,2.366
0.0,-0.03490658503988659,0.75,-2.3419
0.0,-0.017453292519943295,0.75,-1.1619
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,1.1619
0.0,0.03490658503988659,0.75,2.3419
0.017453292519943295,-0.03490658503988659,0.75,-2.366
0.017453292519943295,-0.017453292519943295,0.75,-1.1748
0.017453292519943295,0.0,0.75,0.0
0.017453292519943295,0.017453292519943295,0.75,1.1748
0.017453292519943295,0.03490658503988659,0.75,2.366
0.03490658503988659,-0.03490658503988659,0.75,-2.4249
0.03490658503988659,-0.017453292519943295,0.75,-1.2119
0.03490658503988659,0.0,0.75,-0.0
0.03490658503988659,0.017453292519943295,0.75,1.2119
0.03490658503988659,0.03490658503988659,0.75,2.4249
-0.03490658503988659,-0.03490658503988659,1,-2.6421
-0.03490658503988659,-0.017453292519943295,1,-1.3219
-0.03490658503988659,0.0,1,-0.0
-0.03490658503988659,0.017453292519943295,1,1.3219
-0.03490658503988659,0.03490658503988659,1,2.6421
-0.017453292519943295,-0.03490658503988659,1,-2.5926
-0.017453292519943295,-0.017453292519943295,1,-1.2904
-0.017453292519943295,0.0,1,0.0
-0.017453292519943295,0.017453292519943295,1,1.2904
-0.017453292519943295,0.03490658503988659,1,2.5926
0.0,-0.03490658503988659,1,-2.5721
0.0,-0.017453292519943295,1,-1.2796
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,1.2796
0.0,0.03490658503988659,1,2.5721
0.017453292519943295,-0.03490658503988659,1,-2.5926
0.017453292519943295,-0.017453292519943295,1,-1.2904
0.017453292519943295,0.0,1,0.0
