alpha [deg],beta [deg],mach [-],CNq [1/rad]
0,0,0.01,206.3813
0,0,0.1,206.5048
0,0,0.2,206.8237
0,0,0.3,207.4139
0,0,0.4,208.5223
0,0,0.5,210.0725
0,0,0.6,211.809
0,0,0.7,208.8384
0,0,0.8,210.1947
0,0,0.9,212.0269
0,0,1,215.2348
